N,block_size,grid_size,total_threads,warps_per_block,max_abs_error,correctness
1,16,1,16,1,0.000000e+00,PASS
1,32,1,32,1,0.000000e+00,PASS
1,64,1,64,2,0.000000e+00,PASS
1,128,1,128,4,0.000000e+00,PASS
1,256,1,256,8,0.000000e+00,PASS
1,512,1,512,16,0.000000e+00,PASS
1,1024,1,1024,32,0.000000e+00,PASS
31,16,2,32,1,0.000000e+00,PASS
31,32,1,32,1,0.000000e+00,PASS
31,64,1,64,2,0.000000e+00,PASS
31,128,1,128,4,0.000000e+00,PASS
31,256,1,256,8,0.000000e+00,PASS
31,512,1,512,16,0.000000e+00,PASS
31,1024,1,1024,32,0.000000e+00,PASS
32,16,2,32,1,0.000000e+00,PASS
32,32,1,32,1,0.000000e+00,PASS
32,64,1,64,2,0.000000e+00,PASS
32,128,1,128,4,0.000000e+00,PASS
32,256,1,256,8,0.000000e+00,PASS
32,512,1,512,16,0.000000e+00,PASS
32,1024,1,1024,32,0.000000e+00,PASS
33,16,3,48,1,0.000000e+00,PASS
33,32,2,64,1,0.000000e+00,PASS
33,64,1,64,2,0.000000e+00,PASS
33,128,1,128,4,0.000000e+00,PASS
33,256,1,256,8,0.000000e+00,PASS
33,512,1,512,16,0.000000e+00,PASS
33,1024,1,1024,32,0.000000e+00,PASS
255,16,16,256,1,0.000000e+00,PASS
255,32,8,256,1,0.000000e+00,PASS
255,64,4,256,2,0.000000e+00,PASS
255,128,2,256,4,0.000000e+00,PASS
255,256,1,256,8,0.000000e+00,PASS
255,512,1,512,16,0.000000e+00,PASS
255,1024,1,1024,32,0.000000e+00,PASS
256,16,16,256,1,0.000000e+00,PASS
256,32,8,256,1,0.000000e+00,PASS
256,64,4,256,2,0.000000e+00,PASS
256,128,2,256,4,0.000000e+00,PASS
256,256,1,256,8,0.000000e+00,PASS
256,512,1,512,16,0.000000e+00,PASS
256,1024,1,1024,32,0.000000e+00,PASS
257,16,17,272,1,0.000000e+00,PASS
257,32,9,288,1,0.000000e+00,PASS
257,64,5,320,2,0.000000e+00,PASS
257,128,3,384,4,0.000000e+00,PASS
257,256,2,512,8,0.000000e+00,PASS
257,512,1,512,16,0.000000e+00,PASS
257,1024,1,1024,32,0.000000e+00,PASS
1000,16,63,1008,1,0.000000e+00,PASS
1000,32,32,1024,1,0.000000e+00,PASS
1000,64,16,1024,2,0.000000e+00,PASS
1000,128,8,1024,4,0.000000e+00,PASS
1000,256,4,1024,8,0.000000e+00,PASS
1000,512,2,1024,16,0.000000e+00,PASS
1000,1024,1,1024,32,0.000000e+00,PASS
1024,16,64,1024,1,0.000000e+00,PASS
1024,32,32,1024,1,0.000000e+00,PASS
1024,64,16,1024,2,0.000000e+00,PASS
1024,128,8,1024,4,0.000000e+00,PASS
1024,256,4,1024,8,0.000000e+00,PASS
1024,512,2,1024,16,0.000000e+00,PASS
1024,1024,1,1024,32,0.000000e+00,PASS
1025,16,65,1040,1,0.000000e+00,PASS
1025,32,33,1056,1,0.000000e+00,PASS
1025,64,17,1088,2,0.000000e+00,PASS
1025,128,9,1152,4,0.000000e+00,PASS
1025,256,5,1280,8,0.000000e+00,PASS
1025,512,3,1536,16,0.000000e+00,PASS
1025,1024,2,2048,32,0.000000e+00,PASS
1048576,16,65536,1048576,1,0.000000e+00,PASS
1048576,32,32768,1048576,1,0.000000e+00,PASS
1048576,64,16384,1048576,2,0.000000e+00,PASS
1048576,128,8192,1048576,4,0.000000e+00,PASS
1048576,256,4096,1048576,8,0.000000e+00,PASS
1048576,512,2048,1048576,16,0.000000e+00,PASS
1048576,1024,1024,1048576,32,0.000000e+00,PASS
