09-01-2026 15:00:21 RAM 3347/7620MB (lfb 12x4MB) SWAP 281/3810MB (cached 0MB) CPU [80%@1344,22%@1344,25%@1344,30%@1344,57%@806,23%@806] GR3D_FREQ 0% cpu@49.25C soc2@48.375C soc0@49.031C gpu@49.75C tj@49.75C soc1@48.968C VDD_IN 5484mW/5484mW VDD_CPU_GPU_CV 1031mW/1031mW VDD_SOC 1587mW/1587mW
09-01-2026 15:00:22 RAM 3423/7620MB (lfb 8x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,95%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.187C soc2@48.312C soc0@49C gpu@49.687C tj@49.687C soc1@49.093C VDD_IN 5475mW/5480mW VDD_CPU_GPU_CV 990mW/1011mW VDD_SOC 1626mW/1607mW
09-01-2026 15:00:22 RAM 3441/7620MB (lfb 8x4MB) SWAP 281/3810MB (cached 0MB) CPU [55%@1344,30%@1344,33%@1344,30%@1344,76%@1344,90%@1344] GR3D_FREQ 0% cpu@49.5C soc2@48.531C soc0@49.031C gpu@49.718C tj@49.718C soc1@49.125C VDD_IN 5902mW/5620mW VDD_CPU_GPU_CV 1305mW/1109mW VDD_SOC 1624mW/1612mW
09-01-2026 15:00:22 RAM 3460/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,65%@729] GR3D_FREQ 0% cpu@49.312C soc2@48.5C soc0@49.125C gpu@50C tj@50C soc1@48.875C VDD_IN 5942mW/5701mW VDD_CPU_GPU_CV 1305mW/1158mW VDD_SOC 1663mW/1625mW
09-01-2026 15:00:22 RAM 3492/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [100%@1344,4%@1344,0%@1344,4%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.437C soc0@49.156C gpu@49.843C tj@49.843C soc1@48.906C VDD_IN 5783mW/5717mW VDD_CPU_GPU_CV 1186mW/1163mW VDD_SOC 1624mW/1625mW
09-01-2026 15:00:22 RAM 3507/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [95%@1344,35%@1344,33%@1344,33%@1344,33%@729,35%@729] GR3D_FREQ 0% cpu@49.375C soc2@48.468C soc0@49.062C gpu@49.75C tj@49.75C soc1@48.968C VDD_IN 5783mW/5728mW VDD_CPU_GPU_CV 1226mW/1174mW VDD_SOC 1624mW/1625mW
09-01-2026 15:00:23 RAM 3516/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [95%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C soc2@48.437C soc0@49.281C gpu@50.125C tj@50.125C soc1@49C VDD_IN 5704mW/5725mW VDD_CPU_GPU_CV 1147mW/1170mW VDD_SOC 1624mW/1625mW
09-01-2026 15:00:23 RAM 3524/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.5C soc0@49.093C gpu@49.906C tj@49.906C soc1@49.062C VDD_IN 5625mW/5712mW VDD_CPU_GPU_CV 1147mW/1167mW VDD_SOC 1624mW/1625mW
09-01-2026 15:00:23 RAM 3530/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [95%@1344,4%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.625C soc2@48.562C soc0@49.093C gpu@49.937C tj@49.937C soc1@49.125C VDD_IN 5625mW/5703mW VDD_CPU_GPU_CV 1107mW/1160mW VDD_SOC 1624mW/1624mW
09-01-2026 15:00:23 RAM 3537/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.468C soc2@48.531C soc0@49.062C gpu@49.812C tj@49.812C soc1@48.906C VDD_IN 5585mW/5691mW VDD_CPU_GPU_CV 1107mW/1155mW VDD_SOC 1584mW/1620mW
09-01-2026 15:00:23 RAM 3540/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.625C soc2@48.437C soc0@49.156C gpu@49.718C tj@49.718C soc1@48.937C VDD_IN 5546mW/5678mW VDD_CPU_GPU_CV 1107mW/1151mW VDD_SOC 1584mW/1617mW
