09-01-2026 14:59:12 RAM 2818/7620MB (lfb 9x4MB) SWAP 6/3810MB (cached 0MB) CPU [47%@883,9%@883,10%@883,23%@883,70%@1344,15%@1344] GR3D_FREQ 0% cpu@49.218C soc2@48.406C soc0@49.062C gpu@49.781C tj@49.781C soc1@49.125C VDD_IN 5405mW/5405mW VDD_CPU_GPU_CV 992mW/992mW VDD_SOC 1587mW/1587mW
09-01-2026 14:59:12 RAM 2903/7620MB (lfb 9x4MB) SWAP 6/3810MB (cached 0MB) CPU [33%@1344,25%@1344,33%@1344,33%@1344,95%@1344,30%@1344] GR3D_FREQ 0% cpu@49.5C soc2@48.375C soc0@49.062C gpu@49.687C tj@49.687C soc1@48.875C VDD_IN 5674mW/5540mW VDD_CPU_GPU_CV 1228mW/1110mW VDD_SOC 1587mW/1587mW
09-01-2026 14:59:12 RAM 2919/7620MB (lfb 9x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,4%@1344,0%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.406C soc0@49.125C gpu@49.843C tj@49.843C soc1@48.937C VDD_IN 5594mW/5558mW VDD_CPU_GPU_CV 1148mW/1123mW VDD_SOC 1584mW/1586mW
09-01-2026 14:59:12 RAM 2932/7620MB (lfb 9x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.156C soc2@48.375C soc0@49.25C gpu@49.906C tj@49.906C soc1@49C VDD_IN 5555mW/5557mW VDD_CPU_GPU_CV 1109mW/1119mW VDD_SOC 1584mW/1586mW
09-01-2026 14:59:13 RAM 2966/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [33%@1344,100%@1344,30%@1344,35%@1344,33%@1036,35%@1036] GR3D_FREQ 0% cpu@49.375C soc2@48.375C soc0@49.031C gpu@49.812C tj@49.812C soc1@49C VDD_IN 5665mW/5579mW VDD_CPU_GPU_CV 1226mW/1141mW VDD_SOC 1584mW/1585mW
09-01-2026 14:59:13 RAM 2980/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.468C soc0@49.125C gpu@49.812C tj@49.812C soc1@49.093C VDD_IN 5625mW/5586mW VDD_CPU_GPU_CV 1147mW/1142mW VDD_SOC 1624mW/1592mW
09-01-2026 14:59:13 RAM 2988/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.437C soc0@49.031C gpu@50.218C tj@50.218C soc1@49.093C VDD_IN 5625mW/5592mW VDD_CPU_GPU_CV 1147mW/1142mW VDD_SOC 1584mW/1591mW
09-01-2026 14:59:13 RAM 2995/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C soc2@48.468C soc0@49.125C gpu@49.906C tj@49.906C soc1@49C VDD_IN 5585mW/5591mW VDD_CPU_GPU_CV 1107mW/1138mW VDD_SOC 1584mW/1590mW
09-01-2026 14:59:13 RAM 3003/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.468C soc2@48.437C soc0@49.125C gpu@50.031C tj@50.031C soc1@49C VDD_IN 5585mW/5590mW VDD_CPU_GPU_CV 1107mW/1135mW VDD_SOC 1584mW/1589mW
09-01-2026 14:59:14 RAM 3006/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@1344,100%@1344,0%@1344,4%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@49.375C soc2@48.343C soc0@49.25C gpu@49.875C tj@49.875C soc1@49.062C VDD_IN 5546mW/5586mW VDD_CPU_GPU_CV 1107mW/1132mW VDD_SOC 1584mW/1589mW
09-01-2026 14:59:14 RAM 3008/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,4%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.468C soc0@49.093C gpu@49.968C tj@49.968C soc1@49.187C VDD_IN 5585mW/5586mW VDD_CPU_GPU_CV 1067mW/1126mW VDD_SOC 1624mW/1592mW
09-01-2026 14:59:14 RAM 3014/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.406C soc2@48.437C soc0@49.062C gpu@49.75C tj@49.75C soc1@49.218C VDD_IN 5546mW/5582mW VDD_CPU_GPU_CV 1067mW/1121mW VDD_SOC 1624mW/1595mW
09-01-2026 14:59:14 RAM 3019/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,4%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.531C soc2@48.375C soc0@49.093C gpu@49.75C tj@49.75C soc1@49C VDD_IN 5546mW/5580mW VDD_CPU_GPU_CV 1067mW/1117mW VDD_SOC 1584mW/1594mW
09-01-2026 14:59:14 RAM 3025/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,14%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.312C soc2@48.531C soc0@49.156C gpu@49.968C tj@49.968C soc1@49.031C VDD_IN 5585mW/5580mW VDD_CPU_GPU_CV 1107mW/1116mW VDD_SOC 1584mW/1593mW
09-01-2026 14:59:15 RAM 3030/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.468C soc0@49.031C gpu@50.093C tj@50.093C soc1@49.062C VDD_IN 5585mW/5580mW VDD_CPU_GPU_CV 1107mW/1116mW VDD_SOC 1584mW/1592mW
