stage,layer_id,mem_available_bytes,swap_used_bytes,cuda_free_bytes,cuda_total_bytes,torch_allocated_bytes,torch_reserved_bytes,torch_max_allocated_bytes,torch_max_reserved_bytes
before_load,-1,5057708032,1924288512,5036007424,7989940224,0,0,0,0
after_load,-1,4036784128,1924288512,4036640768,7989940224,1192638976,1509949440,1503803392,1509949440
prefill,0,3619762176,1924288512,3619762176,7989940224,1201210368,1509949440,1503803392,1509949440
prefill,1,3619762176,1924288512,3619762176,7989940224,1201243136,1509949440,1503803392,1509949440
prefill,2,3619762176,1924288512,3619762176,7989940224,1201275904,1509949440,1503803392,1509949440
prefill,3,3619762176,1924288512,3619762176,7989940224,1201308672,1509949440,1503803392,1509949440
prefill,4,3619762176,1924288512,3619762176,7989940224,1201341440,1509949440,1503803392,1509949440
prefill,5,3619504128,1924288512,3619504128,7989940224,1201374208,1509949440,1503803392,1509949440
prefill,6,3616145408,1924288512,3616321536,7989940224,1201406976,1509949440,1503803392,1509949440
prefill,7,3616317440,1924288512,3616317440,7989940224,1201439744,1509949440,1503803392,1509949440
decode_8_to_9,0,3609251840,1924288512,3607515136,7989940224,1201446400,1509949440,1503803392,1509949440
decode_8_to_9,1,3609108480,1924288512,3609108480,7989940224,1201450496,1509949440,1503803392,1509949440
decode_8_to_9,2,3609108480,1924288512,3609108480,7989940224,1201454592,1509949440,1503803392,1509949440
decode_8_to_9,3,3609108480,1924288512,3609108480,7989940224,1201458688,1509949440,1503803392,1509949440
decode_8_to_9,4,3609108480,1924288512,3609108480,7989940224,1201462784,1509949440,1503803392,1509949440
decode_8_to_9,5,3609108480,1924288512,3609108480,7989940224,1201466880,1509949440,1503803392,1509949440
decode_8_to_9,6,3609108480,1924288512,3609108480,7989940224,1201470976,1509949440,1503803392,1509949440
decode_8_to_9,7,3609108480,1924288512,3609108480,7989940224,1201475072,1509949440,1503803392,1509949440
