stage,layer,tensor,max_abs_error,rmse,relative_l2,cosine,finite,shape_equal
prefill,0,hidden,0.009765625,0.0012070535449311137,0.001118506072089076,0.9999984502792358,True,True
prefill,0,k,1.0,0.021634375676512718,0.0022738208062946796,0.9999977350234985,True,True
prefill,0,v,0.001953125,0.00025451957480981946,0.0017472913023084402,0.9999977350234985,True,True
prefill,3,hidden,0.875,0.014005698263645172,0.004857856780290604,0.9999899864196777,True,True
prefill,3,k,0.1328125,0.007645270321518183,0.0036254925653338432,0.9999927878379822,True,True
prefill,3,v,0.00927734375,0.0017109810141846538,0.003561933059245348,0.9999931454658508,True,True
prefill,7,hidden,0.75,0.023594088852405548,0.005561213940382004,0.9999837875366211,True,True
prefill,7,k,0.25,0.012592480517923832,0.0057015554048120975,0.9999833106994629,True,True
prefill,7,v,0.02294921875,0.004281190689653158,0.0059153432957828045,0.9999822378158569,True,True
prefill,15,hidden,0.625,0.05015239119529724,0.008189794607460499,0.999966025352478,True,True
prefill,15,k,0.46875,0.026258401572704315,0.007068310864269733,0.99997478723526,True,True
prefill,15,v,0.130859375,0.021090460941195488,0.010498247109353542,0.999944269657135,True,True
prefill,27,hidden,4.0,0.5086112022399902,0.02014921046793461,0.9997966289520264,True,True
prefill,27,k,0.31640625,0.03335469588637352,0.012326481752097607,0.9999237656593323,True,True
prefill,27,v,1.312530517578125,0.2562619745731354,0.019683383405208588,0.9998055100440979,True,True
decode_8_to_9,0,hidden,0.00390625,0.0010768277570605278,0.0010290443897247314,0.999999463558197,True,True
decode_8_to_9,0,k,1.0,0.021328719332814217,0.002247278345748782,0.9999974966049194,True,True
decode_8_to_9,0,v,0.001953125,0.0002567598130553961,0.0017641762970015407,0.9999979734420776,True,True
decode_8_to_9,3,hidden,0.0234375,0.0066838450729846954,0.003955983091145754,0.9999924302101135,True,True
decode_8_to_9,3,k,0.1328125,0.007416879758238792,0.003556004958227277,0.9999929666519165,True,True
decode_8_to_9,3,v,0.00927734375,0.0016840086318552494,0.0034784318413585424,0.999993085861206,True,True
decode_8_to_9,7,hidden,0.078125,0.021398721262812614,0.006591434124857187,0.9999783635139465,True,True
decode_8_to_9,7,k,0.25,0.012737608514726162,0.005816716235131025,0.9999828338623047,True,True
decode_8_to_9,7,v,0.02294921875,0.004376605618745089,0.005986437201499939,0.9999813437461853,True,True
decode_8_to_9,15,hidden,0.189453125,0.053938258439302444,0.011232835240662098,0.9999375343322754,True,True
decode_8_to_9,15,k,0.46875,0.026040516793727875,0.0069349054247140884,0.9999759793281555,True,True
decode_8_to_9,15,v,0.130859375,0.021602310240268707,0.010652250610291958,0.9999427199363708,True,True
decode_8_to_9,27,hidden,1.921875,0.555836021900177,0.02555975690484047,0.99967360496521,True,True
decode_8_to_9,27,k,0.31640625,0.03355356305837631,0.012361832894384861,0.9999226927757263,True,True
decode_8_to_9,27,v,1.312530517578125,0.26310741901397705,0.02028145082294941,0.9997933506965637,True,True
decode_9_to_10,0,hidden,0.005859375,0.0010762896854430437,0.0009914879919961095,0.9999995827674866,True,True
decode_9_to_10,0,k,1.0,0.020813217386603355,0.002200320130214095,0.9999971985816956,True,True
decode_9_to_10,0,v,0.001953125,0.0002582677116151899,0.0017740324838086963,0.9999980330467224,True,True
decode_9_to_10,3,hidden,0.21875,0.009513910859823227,0.0038027921691536903,0.9999933242797852,True,True
decode_9_to_10,3,k,0.1328125,0.007339318282902241,0.003550939494743943,0.9999929666519165,True,True
decode_9_to_10,3,v,0.00927734375,0.0016474624862894416,0.003484660293906927,0.9999933838844299,True,True
decode_9_to_10,7,hidden,0.21875,0.018452253192663193,0.005867638159543276,0.9999828934669495,True,True
decode_9_to_10,7,k,0.25,0.012714688666164875,0.005878538824617863,0.9999823570251465,True,True
decode_9_to_10,7,v,0.02294921875,0.004327768459916115,0.005980339832603931,0.9999814033508301,True,True
decode_9_to_10,15,hidden,0.1875,0.048338599503040314,0.009850433096289635,0.9999523758888245,True,True
decode_9_to_10,15,k,0.46875,0.02585860900580883,0.006739313248544931,0.9999771118164062,True,True
decode_9_to_10,15,v,0.130859375,0.02153036743402481,0.010709153488278389,0.9999419450759888,True,True
decode_9_to_10,27,hidden,1.75,0.5548197627067566,0.025893835350871086,0.9996647238731384,True,True
decode_9_to_10,27,k,0.31640625,0.03386278450489044,0.01244233176112175,0.9999213814735413,True,True
decode_9_to_10,27,v,1.312530517578125,0.26770102977752686,0.02067774347960949,0.9997853636741638,True,True
decode_10_to_11,0,hidden,0.0042724609375,0.0011082063429057598,0.0010235699592158198,0.999999463558197,True,True
decode_10_to_11,0,k,1.0,0.021009618416428566,0.0021907200571149588,0.9999974370002747,True,True
decode_10_to_11,0,v,0.001953125,0.000259409163845703,0.001785134430974722,0.9999977946281433,True,True
decode_10_to_11,3,hidden,0.03515625,0.00945617537945509,0.004164011683315039,0.9999912977218628,True,True
decode_10_to_11,3,k,0.1328125,0.0074569243006408215,0.00355692976154387,0.9999929070472717,True,True
decode_10_to_11,3,v,0.00927734375,0.0016504392260685563,0.0034433938562870026,0.9999935030937195,True,True
decode_10_to_11,7,hidden,0.0927734375,0.02523007057607174,0.005961424671113491,0.9999831318855286,True,True
decode_10_to_11,7,k,0.25,0.012618573382496834,0.005839575547724962,0.9999825954437256,True,True
decode_10_to_11,7,v,0.02294921875,0.00433340622112155,0.00592949241399765,0.9999814033508301,True,True
decode_10_to_11,15,hidden,0.171875,0.047329142689704895,0.009876231662929058,0.9999512434005737,True,True
decode_10_to_11,15,k,0.46875,0.025422774255275726,0.00653668399900198,0.9999785423278809,True,True
decode_10_to_11,15,v,0.130859375,0.021459106355905533,0.010531275533139706,0.9999436140060425,True,True
decode_10_to_11,27,hidden,1.90625,0.5463371872901917,0.024833258241415024,0.9996917247772217,True,True
decode_10_to_11,27,k,0.31640625,0.03420622646808624,0.012484082952141762,0.9999209046363831,True,True
decode_10_to_11,27,v,1.312530517578125,0.2714443504810333,0.02102888561785221,0.9997776746749878,True,True
decode_11_to_12,0,hidden,0.004638671875,0.001106904586777091,0.0010174880735576153,0.9999995827674866,True,True
decode_11_to_12,0,k,1.0,0.02131122164428234,0.002141887554898858,0.9999974370002747,True,True
decode_11_to_12,0,v,0.001953125,0.0002614800469018519,0.001800526981242001,0.9999977350234985,True,True
decode_11_to_12,3,hidden,0.02734375,0.008122123777866364,0.003523625433444977,0.9999939799308777,True,True
decode_11_to_12,3,k,0.1328125,0.007338119205087423,0.0035080034285783768,0.9999932646751404,True,True
decode_11_to_12,3,v,0.00927734375,0.001639699563384056,0.003363460535183549,0.9999933838844299,True,True
decode_11_to_12,7,hidden,0.0859375,0.024469835683703423,0.005853891838341951,0.9999830722808838,True,True
decode_11_to_12,7,k,0.25,0.012579547241330147,0.005845488049089909,0.999982476234436,True,True
decode_11_to_12,7,v,0.02294921875,0.004320017993450165,0.005867339670658112,0.9999818205833435,True,True
decode_11_to_12,15,hidden,0.216796875,0.060114581137895584,0.009998559951782227,0.999950110912323,True,True
decode_11_to_12,15,k,0.46875,0.02520829811692238,0.006491425912827253,0.9999786019325256,True,True
decode_11_to_12,15,v,0.130859375,0.021541913971304893,0.010445421561598778,0.9999445676803589,True,True
decode_11_to_12,27,hidden,1.6875,0.4818315804004669,0.02171778492629528,0.9997643828392029,True,True
decode_11_to_12,27,k,0.31640625,0.03395143151283264,0.012266519479453564,0.9999237060546875,True,True
decode_11_to_12,27,v,1.312530517578125,0.270769864320755,0.021044423803687096,0.9997772574424744,True,True
