case,dtype,trial,mean_ms,median_ms,min_ms,max_ms,stddev_ms,cv
prefill_s8,bfloat16,0,0.288893280,0.286464006,0.099168003,0.356352001,0.022678950,0.078502863
prefill_s8,bfloat16,1,0.276748640,0.277488008,0.108000003,0.364800006,0.018296534,0.066112463
prefill_s8,bfloat16,2,0.272224480,0.273744002,0.094751999,0.324864000,0.021597318,0.079336430
prefill_s8,bfloat16,3,0.242438239,0.271072000,0.096064001,0.325823992,0.068052932,0.280702136
prefill_s8,bfloat16,4,0.245395840,0.273424000,0.098208003,0.336448014,0.068267619,0.278193870
prefill_s8,float16,0,0.275146560,0.274560004,0.242816001,0.345568001,0.012944474,0.047045740
prefill_s8,float16,1,0.272135200,0.272927999,0.100000001,0.336831987,0.017315620,0.063628741
prefill_s8,float16,2,0.272889280,0.272880003,0.250559986,0.304735988,0.009656321,0.035385491
prefill_s8,float16,3,0.273007841,0.271632001,0.243008003,0.333983988,0.012745502,0.046685481
prefill_s8,float16,4,0.271826240,0.271183997,0.244736001,0.324479997,0.011754765,0.043243675
decode_s1,bfloat16,0,0.270467200,0.270432010,0.241055995,0.313760012,0.011703893,0.043272874
decode_s1,bfloat16,1,0.270655679,0.270336002,0.242272004,0.328927994,0.011809977,0.043634692
decode_s1,bfloat16,2,0.271586719,0.271055996,0.247520000,0.326496005,0.010814995,0.039821517
decode_s1,bfloat16,3,0.271536801,0.269776002,0.242303997,0.311327994,0.010645808,0.039205764
decode_s1,bfloat16,4,0.272134720,0.270687997,0.242016003,0.324896008,0.011095880,0.040773480
decode_s1,float16,0,0.271093441,0.270848006,0.244415998,0.317151994,0.011980636,0.044193753
decode_s1,float16,1,0.271745760,0.271744013,0.243680000,0.307424009,0.010814535,0.039796518
decode_s1,float16,2,0.271444480,0.271200001,0.238751993,0.316287994,0.013125489,0.048354229
decode_s1,float16,3,0.270604321,0.270127997,0.240416005,0.303647995,0.012134768,0.044843216
decode_s1,float16,4,0.270334880,0.269247994,0.242464006,0.314208001,0.012705253,0.046998201
