Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.2,1274831520,1418,899034.9,106272.0,73408,15176800,1262469.6,cuModuleLoadData
18.5,710958368,1434,495786.9,36720.0,25344,2294784,736616.0,cuModuleUnload
17.9,687862176,42,16377670.9,22032.0,7168,348872192,60140899.8,cudaMalloc
14.5,554219168,21,26391389.0,46016.0,1088,207480064,62550363.8,cudaMemcpyAsync
6.8,262322176,78,3363104.8,16784.0,1376,124269888,16167558.0,cudaFree
6.2,238801600,105,2274301.0,10944.0,2624,22507008,5870644.3,cudaStreamSynchronize
0.6,22940672,1662,13803.1,12608.0,8288,88608,7480.5,cuLaunchKernel
0.5,20664864,392,52716.5,49536.0,44896,180928,10463.1,cuMemcpyDtoH_v2
0.5,18723488,948,19750.5,19712.0,12128,43968,3554.6,cuLaunchKernelEx
0.3,11048992,266,41537.6,16480.0,13120,5842560,357208.2,cudaLaunchKernel
0.2,9491936,7122,1332.8,1152.0,896,353600,4291.7,cudaEventCreateWithFlags
0.2,7977792,7122,1120.2,832.0,736,213056,3344.1,cudaEventDestroy
0.2,6784992,16,424062.0,450560.0,125504,983424,236337.0,cuModuleLoadFatBinary
0.0,1517344,66,22990.1,992.0,320,466496,64414.7,cudaMemsetAsync
0.0,955264,30,31842.1,7024.0,4576,551424,104646.0,cudaStreamIsCapturing_v10000
0.0,948288,330,2873.6,2720.0,1856,9216,881.0,cuEventRecord
0.0,892928,41,21778.7,14048.0,6016,90816,17039.8,cudaStreamCreate
0.0,748128,330,2267.1,2208.0,1504,8928,656.1,cuStreamWaitEvent
0.0,491552,31,15856.5,11360.0,5056,40224,10845.4,cuStreamCreate
0.0,482144,41,11759.6,8160.0,4224,47296,11019.9,cudaStreamDestroy
0.0,377120,358,1053.4,512.0,448,16928,2312.9,cuEventCreate
0.0,301152,31,9714.6,8480.0,5248,16448,3627.5,cuStreamDestroy_v2
0.0,250176,410,610.2,512.0,320,5056,345.3,cuGetProcAddress_v2
0.0,242432,358,677.2,384.0,320,12192,861.4,cuEventDestroy_v2
0.0,138816,56,2478.9,1984.0,1088,7008,1462.6,cuCtxSetCurrent
0.0,82752,6,13792.0,13472.0,11392,17184,1881.4,cudaDeviceSynchronize
0.0,31968,30,1065.6,944.0,672,3552,513.2,cuModuleGetLoadingMode
0.0,12544,1,12544.0,12544.0,12544,12544,0.0,cuInit
