Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.8,77410720,328,236008.3,242192.0,101856,311424,56816.7,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
20.9,70801536,7,10114505.1,10114400.0,10111584,10118560,2188.3,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
19.2,65044384,252,258112.6,237024.0,234080,303872,30592.2,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
10.2,34473632,168,205200.2,205536.0,161952,259776,37451.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
8.4,28510464,112,254557.7,256544.0,171712,264640,11614.1,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
7.5,25437376,112,227119.4,228640.0,141056,230848,11606.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
1.7,5594656,112,49952.3,50048.0,44800,51264,828.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.0,3472544,112,31004.9,30816.0,28288,33280,535.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.8,2766848,81,34158.6,34016.0,29088,37120,1553.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.7,2471040,84,29417.1,29360.0,26080,31904,1121.8,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
0.5,1843488,84,21946.3,21760.0,21280,23168,500.2,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.4,1490720,108,13803.0,13728.0,10912,14944,423.4,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.4,1479936,81,18270.8,18528.0,17376,19104,492.7,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.4,1406528,112,12558.3,12512.0,12384,13376,161.6,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.4,1345568,84,16018.7,15904.0,14848,17664,432.2,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
0.4,1342368,112,11985.4,11936.0,9216,12672,327.3,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.4,1287552,84,15328.0,15184.0,14816,16544,410.0,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
0.4,1264512,84,15053.7,15008.0,14688,16032,256.9,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
0.4,1204800,4,301200.0,301648.0,299520,301984,1152.7,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.4,1196448,84,14243.4,14112.0,13600,15360,483.7,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
0.3,1164608,81,14377.9,14240.0,13760,15296,428.5,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.3,1144384,81,14128.2,13952.0,13728,15040,385.4,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
0.3,1139808,112,10176.9,10016.0,8384,11136,398.4,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.3,1007168,108,9325.6,9312.0,7392,9792,211.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.3,992224,84,11812.2,12016.0,9920,12448,532.0,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
0.3,948800,84,11295.2,11264.0,10912,12288,181.5,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
0.2,635456,4,158864.0,158704.0,158144,159904,744.8,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
0.2,569504,27,21092.7,20928.0,20224,22048,521.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.1,503456,28,17980.6,17696.0,17376,19648,590.7,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
0.1,353344,28,12619.4,12560.0,12096,14784,446.6,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.0,142944,7,20420.6,20288.0,18720,21472,934.7,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,122272,3,40757.3,40416.0,39424,42432,1532.8,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
0.0,93952,4,23488.0,23504.0,22368,24576,904.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
0.0,89280,3,29760.0,29536.0,29472,30272,444.6,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.0,78336,4,19584.0,19200.0,19136,20800,811.6,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
0.0,56160,3,18720.0,18752.0,18240,19168,464.8,__myl_MovMulMeaAddSqrDivMulMul_0x8c7c765d132892c540be4329124deccc_com_vec
0.0,49088,3,16362.7,16576.0,15840,16672,455.2,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
0.0,34432,3,11477.3,11456.0,11232,11744,256.7,__myl_RepIotIotRepCasAddCasEqlLtOrSel_0xeed00a2999d9a920ce4be4d44852c879_com
0.0,29440,3,9813.3,9696.0,9632,10112,260.6,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,28096,1,28096.0,28096.0,28096,28096,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
