NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,648714,648714,0,2,19328,9664.0,9664.0,9632,9696,45.3,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
:A1_decode_step_0,PushPop,648714,648714,1,82,19388864,236449.6,242400.0,162688,308096,56150.4,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_0,PushPop,648714,648714,1,1,10114560,10114560.0,10114560.0,10114560,10114560,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:A1_decode_step_0,PushPop,648714,648714,1,28,7161824,255779.4,255584.0,250400,264640,3254.3,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_0,PushPop,648714,648714,1,28,6402400,228657.1,228656.0,227040,230336,799.7,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_0,PushPop,648714,648714,1,28,1383840,49422.9,49456.0,48032,50272,646.1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_0,PushPop,648714,648714,1,28,872832,31172.6,30944.0,30560,31840,477.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_0,PushPop,648714,648714,1,27,569504,21092.7,20928.0,20224,22048,521.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:A1_decode_step_0,PushPop,648714,648714,1,28,503456,17980.6,17696.0,17376,19648,590.7,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
:A1_decode_step_0,PushPop,648714,648714,1,27,374176,13858.4,13792.0,13600,14880,317.3,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:A1_decode_step_0,PushPop,648714,648714,1,28,353344,12619.4,12560.0,12096,14784,446.6,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:A1_decode_step_0,PushPop,648714,648714,1,28,351936,12569.1,12544.0,12416,12832,124.5,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:A1_decode_step_0,PushPop,648714,648714,1,28,335776,11992.0,11936.0,11744,12416,188.1,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:A1_decode_step_0,PushPop,648714,648714,1,1,301984,301984.0,301984.0,301984,301984,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_0,PushPop,648714,648714,1,28,288736,10312.0,10160.0,9856,11136,383.8,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:A1_decode_step_0,PushPop,648714,648714,1,27,252704,9359.4,9344.0,9248,9792,109.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:A1_decode_step_0,PushPop,648714,648714,1,1,159904,159904.0,159904.0,159904,159904,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:A1_decode_step_0,PushPop,648714,648714,1,1,28096,28096.0,28096.0,28096,28096,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
:A1_decode_step_0,PushPop,648714,648714,1,1,23424,23424.0,23424.0,23424,23424,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
