Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.6,4002126400,2372,1687237.1,669504.0,70464,13168992,1586521.8,cuModuleLoadData
29.5,2243499424,2388,939488.9,148992.0,22240,2877344,929339.7,cuModuleUnload
5.9,447869504,21,21327119.2,44544.0,1152,150070784,47929811.6,cudaMemcpyAsync
5.6,424551360,44,9648894.5,17072.0,7168,162032608,33877906.2,cudaMalloc
2.5,188210688,80,2352633.6,16752.0,1472,92490784,11458871.0,cudaFree
1.3,96303200,105,917173.3,9120.0,2304,10943168,2695069.6,cudaStreamSynchronize
0.8,58746688,1152,50995.4,49024.0,44960,454336,13095.1,cuMemcpyDtoH_v2
0.7,53860448,100,538604.5,15872.0,14048,48396928,4846584.1,cudaLaunchKernel
0.4,29667520,1492,19884.4,18496.0,12576,61792,4906.9,cuLaunchKernelEx
0.4,26839872,1756,15284.7,14000.0,8384,82400,7327.7,cuLaunchKernel
0.1,11207104,9570,1171.1,1056.0,896,19968,536.9,cudaEventCreateWithFlags
0.1,10010784,9570,1046.1,832.0,736,105536,1700.8,cudaEventDestroy
0.0,3370560,16,210660.0,128544.0,107776,614752,161616.5,cuModuleLoadFatBinary
0.0,1722400,804,2142.3,2144.0,992,13504,792.8,cuStreamWaitEvent
0.0,1718688,608,2826.8,2592.0,1472,11168,1043.3,cuEventRecord
0.0,1615840,66,24482.4,640.0,288,576544,75798.3,cudaMemsetAsync
0.0,986400,52,18969.2,11248.0,3808,120768,19933.6,cudaStreamCreate
0.0,644384,52,12392.0,6352.0,3552,46752,14195.3,cudaStreamDestroy
0.0,563008,636,885.2,512.0,448,17568,1789.1,cuEventCreate
0.0,543488,42,12940.2,8640.0,3808,39936,11160.6,cuStreamCreate
0.0,345312,636,542.9,352.0,320,11360,635.5,cuEventDestroy_v2
0.0,323040,42,7691.4,6016.0,4672,16000,3558.3,cuStreamDestroy_v2
0.0,244640,410,596.7,480.0,320,5376,358.8,cuGetProcAddress_v2
0.0,207296,30,6909.9,6544.0,4544,13248,2217.6,cudaStreamIsCapturing_v10000
0.0,125024,56,2232.6,1520.0,1088,6656,1621.6,cuCtxSetCurrent
0.0,75808,6,12634.7,12576.0,12096,13472,459.5,cudaDeviceSynchronize
0.0,29280,30,976.0,896.0,576,3264,477.7,cuModuleGetLoadingMode
0.0,11616,1,11616.0,11616.0,11616,11616,0.0,cuInit
