NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,649196,649196,0,2,19840,9920.0,9920.0,9408,10432,724.1,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
:A1_decode_step_0,PushPop,649196,649196,1,1,10118432,10118432.0,10118432.0,10118432,10118432,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:A1_decode_step_0,PushPop,649196,649196,1,106,8834752,83346.7,84624.0,52832,94464,9787.0,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:A1_decode_step_0,PushPop,649196,649196,1,28,6444096,230146.3,230176.0,223648,235232,2448.8,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_0,PushPop,649196,649196,1,26,6329504,243442.5,241456.0,234432,305088,13034.6,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_0,PushPop,649196,649196,1,27,3782144,140079.4,140512.0,134752,144032,2281.6,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:A1_decode_step_0,PushPop,649196,649196,1,28,1412512,50446.9,50512.0,49856,50976,296.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_0,PushPop,649196,649196,1,28,910560,32520.0,32768.0,30528,33632,774.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_0,PushPop,649196,649196,1,4,779488,194872.0,172592.0,172192,262112,44827.1,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_0,PushPop,649196,649196,1,3,730400,243466.7,242080.0,240768,247552,3598.3,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_0,PushPop,649196,649196,1,27,583264,21602.4,21248.0,20384,23296,790.8,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:A1_decode_step_0,PushPop,649196,649196,1,27,577472,21387.9,18112.0,16768,47520,8668.2,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com
:A1_decode_step_0,PushPop,649196,649196,1,26,468160,18006.2,17968.0,17760,18496,204.2,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
:A1_decode_step_0,PushPop,649196,649196,1,28,350976,12534.9,12512.0,12064,13664,331.5,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:A1_decode_step_0,PushPop,649196,649196,1,27,328736,12175.4,12576.0,10816,13472,806.6,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
:A1_decode_step_0,PushPop,649196,649196,1,27,318816,11808.0,11968.0,10752,12992,601.1,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
:A1_decode_step_0,PushPop,649196,649196,1,27,298240,11045.9,11424.0,9248,12064,846.1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:A1_decode_step_0,PushPop,649196,649196,1,1,28640,28640.0,28640.0,28640,28640,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
:A1_decode_step_0,PushPop,649196,649196,1,2,26336,13168.0,13168.0,12768,13568,565.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
:A1_decode_step_0,PushPop,649196,649196,1,2,24928,12464.0,12464.0,12416,12512,67.9,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:A1_decode_step_0,PushPop,649196,649196,1,1,24288,24288.0,24288.0,24288,24288,0.0,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
:A1_decode_step_0,PushPop,649196,649196,1,2,23456,11728.0,11728.0,10400,13056,1878.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
