Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
27.0,1274831520,1418,899034.9,106272.0,73408,15176800,1262469.6,CUDA_API,cuModuleLoadData
15.0,710958368,1434,495786.9,36720.0,25344,2294784,736616.0,CUDA_API,cuModuleUnload
14.6,687862176,42,16377670.9,22032.0,7168,348872192,60140899.8,CUDA_API,cudaMalloc
11.7,554219168,21,26391389.0,46016.0,1088,207480064,62550363.8,CUDA_API,cudaMemcpyAsync
8.5,403305312,16,25206582.0,2544.0,1440,148923104,51430954.1,MEMORY_OPER,[CUDA memcpy Host-to-Device]
5.5,262322176,78,3363104.8,16784.0,1376,124269888,16167558.0,CUDA_API,cudaFree
5.1,238801600,105,2274301.0,10944.0,2624,22507008,5870644.3,CUDA_API,cudaStreamSynchronize
3.1,148831392,17,8754787.8,161344.0,1952,30087680,11316612.6,MEMORY_OPER,[CUDA memset]
1.6,77410720,328,236008.3,242192.0,101856,311424,56816.7,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
1.5,70801536,7,10114505.1,10114400.0,10111584,10118560,2188.3,CUDA_KERNEL,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
1.4,65044384,252,258112.6,237024.0,234080,303872,30592.2,CUDA_KERNEL,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
0.7,34473632,168,205200.2,205536.0,161952,259776,37451.2,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
0.6,28510464,112,254557.7,256544.0,171712,264640,11614.1,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
0.5,25437376,112,227119.4,228640.0,141056,230848,11606.2,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
0.5,22940672,1662,13803.1,12608.0,8288,88608,7480.5,CUDA_API,cuLaunchKernel
0.4,20664864,392,52716.5,49536.0,44896,180928,10463.1,CUDA_API,cuMemcpyDtoH_v2
0.4,18723488,948,19750.5,19712.0,12128,43968,3554.6,CUDA_API,cuLaunchKernelEx
0.2,11048992,266,41537.6,16480.0,13120,5842560,357208.2,CUDA_API,cudaLaunchKernel
0.2,9491936,7122,1332.8,1152.0,896,353600,4291.7,CUDA_API,cudaEventCreateWithFlags
0.2,7977792,7122,1120.2,832.0,736,213056,3344.1,CUDA_API,cudaEventDestroy
0.1,6784992,16,424062.0,450560.0,125504,983424,236337.0,CUDA_API,cuModuleLoadFatBinary
0.1,5594656,112,49952.3,50048.0,44800,51264,828.2,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.1,3472544,112,31004.9,30816.0,28288,33280,535.6,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.1,2766848,81,34158.6,34016.0,29088,37120,1553.0,CUDA_KERNEL,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
