PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
648714,648714,0,81,81,12007268.7,12088928.0,1484352,22442560,6310719.2,11046.3,10720.0,9504,16640,1271.9,11962063.8,12042656.0,1433504,22395424,6311146.9,34158.6,34016.0,29088,37120,1553.0,cuLaunchKernel,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
648714,648714,0,108,108,11938159.7,12094640.0,1593472,22556704,6174762.1,15808.9,16176.0,10592,20640,2105.6,11908547.9,12067232.0,1559328,22527360,6174839.9,13803.0,13728.0,10912,14944,423.4,cuLaunchKernel,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
648714,648714,0,112,112,11936791.1,11817696.0,1228896,22903104,6395515.1,21421.4,20848.0,16096,43968,3791.3,11688250.3,11564480.0,963552,22656832,6398609.0,227119.4,228640.0,141056,230848,11606.2,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
648714,648714,0,112,112,11849797.1,11734304.0,1137888,22814976,6400075.0,22080.0,22304.0,17632,28384,2136.1,11573159.4,11455520.0,856448,22590240,6402216.2,254557.7,256544.0,171712,264640,11614.1,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
648714,648714,0,328,328,11827921.8,11980688.0,1065408,22757664,6235633.6,19007.0,19328.0,12160,30016,2966.1,11572906.4,11653296.0,805312,22499904,6237150.8,236008.3,242192.0,101856,311424,56816.7,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
648714,648714,0,108,108,11816461.6,11978464.0,1478816,22441952,6178907.2,9598.5,9184.0,8352,16480,1552.7,11797537.5,11956544.0,1455456,22423232,6179131.3,9325.6,9312.0,7392,9792,211.5,cuLaunchKernel,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
648714,648714,0,84,84,11604616.0,11602144.0,783904,22432512,6537921.8,13766.9,13920.0,9792,18592,2181.9,11574830.5,11574256.0,750528,22397248,6537854.5,16018.7,15904.0,14848,17664,432.2,cuLaunchKernel,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
648714,648714,0,84,84,11590649.1,11587360.0,791552,22422240,6538050.1,15653.0,15552.0,11072,24224,2252.2,11545579.0,11540048.0,737376,22377312,6538395.0,29417.1,29360.0,26080,31904,1121.8,cuLaunchKernel,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
648714,648714,0,112,112,11430648.3,11314672.0,789504,22439840,6401578.5,17850.6,17680.0,12256,25760,2805.5,11362845.4,11247600.0,722976,22369856,6401140.0,49952.3,50048.0,44800,51264,828.2,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
648714,648714,0,112,112,11423193.4,11311728.0,773088,22442304,6403578.7,9634.3,9408.0,8608,15264,1122.1,11403382.3,11291504.0,748096,22421824,6403881.4,10176.9,10016.0,8384,11136,398.4,cuLaunchKernel,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
