Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:A1_decode_step_0,PushPop,2130581568,2131432064,1,2130581568.0,2130581568.0,2130581568,2130581568,0.0,481,481.0,0.0,5.0
:A1_decode_step_1,PushPop,2018738912,2019755104,1,2018738912.0,2018738912.0,2018738912,2018738912,0.0,481,481.0,0.0,5.0
:A1_decode_step_3,PushPop,2012743328,2013661792,1,2012743328.0,2012743328.0,2012743328,2012743328,0.0,481,481.0,0.0,5.0
:A1_decode_step_2,PushPop,2011312896,2012740352,1,2011312896.0,2011312896.0,2011312896,2011312896,0.0,481,481.0,0.0,5.0
:A1_prefill_S8,PushPop,1569567552,1571058400,1,1569567552.0,1569567552.0,1569567552,1569567552,0.0,454,454.0,0.0,5.0
myelin-exec:myelinGraphLoadPersistent,StartEnd,1260913408,3832845632,7,180130486.9,167262208.0,166434592,216399936,19068830.4,392,56.0,0.7,0.0
TensorRT:ExecutionContext::enqueue,PushPop,419280800,215962208,28,14974314.3,5068080.0,15840,98533536,23240869.0,2873,102.6,0.7,1.0
myelin-exec:myelinGraphExecute ,StartEnd,419280800,201084032,28,14974314.3,5068080.0,15840,98533536,23240869.0,2873,102.6,2.7,102.6
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,348193280,203103840,7,49741897.1,41030304.0,39449504,98533536,21703476.7,2852,407.4,1.7,1.0
myelin-exec:/MatMul,PushPop,70931136,1141536,11,6448285.1,10113184.0,31488,10118560,5086674.2,11,1.0,3.8,0.0
TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},PushPop,70801536,1290656,7,10114505.1,10114400.0,10111584,10118560,2188.3,7,1.0,1.7,1.0
myelin-exec:__myl_FcAdd,PushPop,59911008,44377952,280,213967.9,228640.0,141056,259776,31762.5,280,1.0,3.6,0.0
myelin-exec:__myl_FcNegExpAddDivMulMul,PushPop,28510464,17197760,112,254557.7,256544.0,171712,264640,11614.1,112,1.0,4.0,0.0
myelin-exec:__myl_MulMeaAddSqrDivMulMul,PushPop,3747360,4939776,277,13528.4,13792.0,12384,15360,875.8,277,1.0,3.6,0.0
myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra,PushPop,3336352,1618720,108,30892.1,33664.0,20224,37120,5846.2,108,1.0,4.0,0.0
myelin-exec:__myl_MovResConResRep,PushPop,2974496,2313024,112,26558.0,28928.0,17376,31904,5076.5,112,1.0,4.0,0.0
myelin-exec:__myl_MovResMulMea,PushPop,2482176,2919872,224,11081.1,11024.0,8384,12672,976.6,224,1.0,4.0,0.0
myelin-exec:/v_proj_16/MatMul+/k_proj_16/MatMul+/q_proj_16/MatMul,PushPop,2130752,340544,7,304393.1,302880.0,301024,307648,2948.4,7,1.0,3.7,0.0
myelin-exec:/v_proj_24/MatMul+/k_proj_24/MatMul+/q_proj_24/MatMul,PushPop,2127392,351872,7,303913.1,301728.0,300448,307680,3433.7,7,1.0,3.7,0.0
myelin-exec:/v_proj_12/MatMul+/k_proj_12/MatMul+/q_proj_12/MatMul,PushPop,2127104,359680,7,303872.0,302752.0,301568,308992,2577.7,7,1.0,3.7,0.0
myelin-exec:/v_proj_14/MatMul+/k_proj_14/MatMul+/q_proj_14/MatMul,PushPop,2127008,347328,7,303858.3,301728.0,300576,309920,3585.5,7,1.0,3.7,0.0
myelin-exec:/v_proj_10/MatMul+/k_proj_10/MatMul+/q_proj_10/MatMul,PushPop,2122976,311776,7,303282.3,303872.0,298592,307136,2808.3,7,1.0,3.7,0.0
myelin-exec:/v_proj_7/MatMul+/k_proj_7/MatMul+/q_proj_7/MatMul,PushPop,2120576,331392,7,302939.4,301600.0,300544,306688,2495.1,7,1.0,3.7,0.0
myelin-exec:/v_proj_21/MatMul+/k_proj_21/MatMul+/q_proj_21/MatMul,PushPop,2120160,342944,7,302880.0,302240.0,299808,307648,3079.4,7,1.0,3.7,0.0
myelin-exec:/v_proj_23/MatMul+/k_proj_23/MatMul+/q_proj_23/MatMul,PushPop,2120064,339232,7,302866.3,301344.0,299552,308224,3130.4,7,1.0,3.7,0.0
myelin-exec:/v_proj_11/MatMul+/k_proj_11/MatMul+/q_proj_11/MatMul,PushPop,2118816,312128,7,302688.0,301760.0,300416,307040,2389.1,7,1.0,3.7,0.0
myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul,PushPop,2117856,337088,7,302550.9,301600.0,300224,308096,2755.0,7,1.0,3.7,0.0
myelin-exec:/v_proj_8/MatMul+/k_proj_8/MatMul+/q_proj_8/MatMul,PushPop,2117664,343232,7,302523.4,302112.0,299776,306048,2146.4,7,1.0,3.7,0.0
myelin-exec:/v_proj_9/MatMul+/k_proj_9/MatMul+/q_proj_9/MatMul,PushPop,2117632,314432,7,302518.9,301760.0,298624,309440,3398.8,7,1.0,3.7,0.0
myelin-exec:/v_proj_20/MatMul+/k_proj_20/MatMul+/q_proj_20/MatMul,PushPop,2117472,350720,7,302496.0,301344.0,299744,311424,4038.2,7,1.0,3.7,0.0
myelin-exec:/v_proj_13/MatMul+/k_proj_13/MatMul+/q_proj_13/MatMul,PushPop,2116832,326592,7,302404.6,300960.0,300160,307712,2637.7,7,1.0,3.7,0.0
myelin-exec:/v_proj_25/MatMul+/k_proj_25/MatMul+/q_proj_25/MatMul,PushPop,2116288,345920,7,302326.9,302208.0,299840,304736,1804.6,7,1.0,3.7,0.0
myelin-exec:/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul,PushPop,2115520,332544,7,302217.1,301664.0,298432,307456,2904.1,7,1.0,3.7,0.0
myelin-exec:/v_proj_6/MatMul+/k_proj_6/MatMul+/q_proj_6/MatMul,PushPop,2113760,374080,7,301965.7,301664.0,300064,304448,1580.2,7,1.0,3.7,0.0
myelin-exec:/v_proj_26/MatMul+/k_proj_26/MatMul+/q_proj_26/MatMul,PushPop,2113600,343328,7,301942.9,301504.0,300992,303680,952.5,7,1.0,3.7,0.0
myelin-exec:/v_proj_27/MatMul+/k_proj_27/MatMul+/q_proj_27/MatMul,PushPop,2112512,339680,7,301787.4,301120.0,298272,309984,3782.1,7,1.0,3.7,0.0
