Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
20.6,2131432064,1,2131432064.0,2131432064.0,2131432064,2131432064,0.0,:A1_decode_step_0
19.5,2019755104,1,2019755104.0,2019755104.0,2019755104,2019755104,0.0,:A1_decode_step_1
19.4,2013661792,1,2013661792.0,2013661792.0,2013661792,2013661792,0.0,:A1_decode_step_3
19.4,2012740352,1,2012740352.0,2012740352.0,2012740352,2012740352,0.0,:A1_decode_step_2
15.2,1571058400,1,1571058400.0,1571058400.0,1571058400,1571058400,0.0,:A1_prefill_S8
2.1,215962208,28,7712936.0,213712.0,138272,80056128,16845056.8,TensorRT:ExecutionContext::enqueue
2.0,203103840,7,29014834.3,19550912.0,18639776,79036864,22294271.0,TensorRT:{ForeignNode[/Cast.../Add_111]}
0.6,65532576,7,9361796.6,119488.0,101536,57434336,21375840.7,myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul
0.4,44377952,280,158492.7,150080.0,129504,1834208,101650.8,myelin-exec:__myl_FcAdd
0.2,17197760,112,153551.4,150800.0,139424,209120,12771.3,myelin-exec:__myl_FcNegExpAddDivMulMul
0.0,4939776,277,17833.1,17056.0,13696,45536,3591.5,myelin-exec:__myl_MulMeaAddSqrDivMulMul
0.0,2919872,224,13035.1,12368.0,9952,35776,2711.9,myelin-exec:__myl_MovResMulMea
0.0,2734016,168,16273.9,14912.0,11744,80096,6125.8,myelin-exec:__myl_ResMulMea
0.0,2313024,112,20652.0,20320.0,14208,31008,3093.9,myelin-exec:__myl_MovResConResRep
0.0,1993248,108,18456.0,18912.0,12544,23328,2286.1,myelin-exec:__myl_AddMulMeaAddSqrDivMulMul
0.0,1849152,112,16510.3,16640.0,11488,21856,2429.3,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,1618880,7,231268.6,111296.0,89184,1000704,339441.0,TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]}
0.0,1618720,108,14988.1,14560.0,12832,32736,2183.0,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1472704,81,18181.5,15424.0,13120,63776,6651.3,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes
0.0,1462080,84,17405.7,16896.0,13920,32608,2502.7,myelin-exec:__myl_NegExpAddDivMulMul
