PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
649196,649196,0,88,88,2222608.7,801280.0,294656,49154112,5766636.9,569715.3,15872.0,14144,48396928,5157013.1,609105.8,498000.0,15840,2534624,650272.7,1043787.6,261600.0,241568,10121376,2682612.9,cudaLaunchKernel,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
649196,649196,0,4,4,1738496.0,2266976.0,58944,2361088,1123200.8,17808.0,17072.0,16096,20992,2173.9,1711968.0,2241664.0,29376,2335168,1125185.0,8720.0,8768.0,8576,8768,96.0,cuLaunchKernel,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
649196,649196,0,4,4,1713936.0,2220720.0,101024,2313280,1078681.6,16792.0,15984.0,15040,20160,2289.0,1686352.0,2194368.0,70464,2286208,1080700.4,10792.0,10736.0,10336,11360,504.2,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
649196,649196,0,81,81,1702528.0,1812640.0,302720,2632032,609437.0,16478.8,13504.0,10720,69824,8362.5,1653785.7,1761408.0,258912,2581312,610799.1,32263.5,33184.0,27680,35648,2281.5,cuLaunchKernel,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
649196,649196,0,4,4,1698592.0,2173344.0,62400,2385280,1096262.8,16784.0,16400.0,15392,18944,1525.9,1672912.0,2148368.0,34880,2360032,1097486.0,8896.0,8896.0,8576,9216,334.6,cuLaunchKernel,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
649196,649196,0,4,4,1695216.0,2212688.0,44224,2311264,1102932.4,20520.0,19616.0,14880,27968,6269.5,1666152.0,2184832.0,8288,2286656,1107743.1,8544.0,8704.0,7968,8800,386.7,cuLaunchKernel,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
649196,649196,0,4,4,1671144.0,2159440.0,97312,2268384,1052481.3,18168.0,17696.0,15488,21792,2785.1,1640608.0,2128688.0,65184,2239872,1053646.4,12368.0,13024.0,10336,13088,1355.0,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
649196,649196,0,8,8,1640092.0,2082096.0,97696,2329856,956811.0,14804.0,15008.0,11808,18368,2363.0,1613752.0,2056128.0,69088,2307392,957006.5,11536.0,10784.0,10240,13600,1461.1,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
649196,649196,0,4,4,1629104.0,2080832.0,61344,2293408,1050608.7,16440.0,15552.0,14560,20096,2602.6,1603848.0,2056480.0,32736,2269696,1052886.4,8816.0,8800.0,8512,9152,267.1,cuLaunchKernel,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
649196,649196,0,12,12,1601538.7,1547952.0,364352,2653984,748923.4,17048.0,16720.0,12576,24384,3139.8,1340557.3,1285600.0,99200,2395040,750826.0,243933.3,244320.0,238720,247552,2778.0,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
649196,649196,0,16,16,1593918.0,1586320.0,199744,2779520,876376.5,20394.0,19120.0,15744,28192,3816.4,1373690.0,1394880.0,2912,2505280,863853.6,199834.0,183728.0,172192,262112,36693.2,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
649196,649196,0,81,81,1561707.5,1621120.0,216896,2446528,574870.3,14016.4,12032.0,10592,34976,3918.1,1513400.9,1574176.0,163552,2396352,575821.5,34290.2,34656.0,31136,37472,1832.6,cuLaunchKernel,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
649196,649196,0,4,4,1559312.0,1992944.0,58176,2193184,1005669.9,17296.0,15792.0,15552,22048,3174.6,1533488.0,1968416.0,28160,2168960,1008461.6,8528.0,8640.0,7968,8864,388.0,cuLaunchKernel,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
649196,649196,0,4,4,1528928.0,1944992.0,61504,2164224,983866.7,17832.0,18592.0,13632,20512,3140.6,1502432.0,1920832.0,32480,2135584,985350.0,8664.0,8688.0,8512,8768,108.9,cuLaunchKernel,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
649196,649196,0,4,4,1505256.0,1904352.0,100416,2111904,941862.8,16744.0,16688.0,15392,18208,1172.7,1476160.0,1875440.0,71904,2081856,941428.2,12352.0,13008.0,10304,13088,1366.4,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
649196,649196,0,104,104,1501442.2,1555856.0,297856,2653856,701294.5,13065.2,12496.0,10752,17984,1647.3,1470356.9,1524608.0,262432,2624224,702001.1,18020.0,17920.0,17760,18496,209.7,cuLaunchKernel,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
649196,649196,0,8,8,1496772.0,1889456.0,98208,2149600,869133.1,14812.0,15120.0,11520,17728,2395.8,1469632.0,1862000.0,70016,2127648,870106.9,12328.0,11056.0,10400,15136,2318.0,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
649196,649196,0,4,4,1486640.0,1755840.0,498592,1936288,666774.4,17304.0,16608.0,14976,21024,2626.0,1460520.0,1730192.0,469216,1912480,669072.5,8816.0,8880.0,8352,9152,337.1,cuLaunchKernel,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
649196,649196,0,112,112,1486572.0,1534528.0,302688,2838016,740725.2,18511.4,17472.0,15168,33952,3082.1,1236912.6,1284096.0,53728,2586496,740658.9,231148.0,230656.0,223648,236352,2009.3,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
649196,649196,0,4,4,1486040.0,1707712.0,689568,1839168,540788.6,15448.0,15504.0,13504,17280,1545.6,1461688.0,1683584.0,664608,1814976,541413.9,8904.0,8784.0,8704,9344,296.0,cuLaunchKernel,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
649196,649196,0,4,4,1477920.0,1872080.0,71712,2095808,943680.5,18248.0,18320.0,15680,20672,2335.0,1450984.0,1845424.0,43104,2069984,944872.9,8688.0,8896.0,7936,9024,505.0,cuLaunchKernel,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
649196,649196,0,84,84,1466676.2,1554784.0,109344,2382848,619469.8,12495.6,11664.0,10816,22048,2092.6,1437753.1,1526864.0,69504,2355712,620052.5,16427.4,16384.0,15712,17792,323.5,cuLaunchKernel,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
649196,649196,0,4,4,1441320.0,1662736.0,644256,1795552,540975.0,16352.0,16336.0,16000,16736,333.6,1411480.0,1632992.0,614176,1765760,541123.7,13488.0,13488.0,13056,13920,431.3,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
649196,649196,0,4,4,1438952.0,1779760.0,264832,1931456,786508.5,17168.0,16336.0,15392,20608,2402.7,1412816.0,1754752.0,234848,1906912,789059.0,8968.0,8864.0,8768,9376,277.0,cuLaunchKernel,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
649196,649196,0,4,4,1438072.0,1708496.0,444320,1890976,670552.4,16632.0,16544.0,16416,17024,269.5,1410592.0,1681664.0,415392,1863648,671470.6,10848.0,10336.0,10304,12416,1045.4,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
649196,649196,0,4,4,1434360.0,1655776.0,653728,1772160,527665.9,16208.0,16080.0,15648,17024,592.6,1409176.0,1631056.0,628352,1746240,527775.7,8976.0,8896.0,8672,9440,326.9,cuLaunchKernel,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
