Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
myelin-exec:myelinGraphLoadPersistent,StartEnd,4193833888,6961895040,7,599119126.9,594942112.0,576945376,645590848,21606851.1,1152,164.6,0.7,0.0
:A1_decode_step_0,PushPop,2943976544,2944838624,1,2943976544.0,2943976544.0,2943976544,2943976544,0.0,669,669.0,0.0,5.0
:A1_decode_step_2,PushPop,2758705504,2759425664,1,2758705504.0,2758705504.0,2758705504,2758705504,0.0,669,669.0,0.0,5.0
:A1_decode_step_3,PushPop,2741163904,2741906368,1,2741163904.0,2741163904.0,2741163904,2741163904,0.0,669,669.0,0.0,5.0
:A1_decode_step_1,PushPop,2738421600,2739096416,1,2738421600.0,2738421600.0,2738421600,2738421600,0.0,669,669.0,0.0,5.0
:A1_prefill_S8,PushPop,2310736512,2311468928,1,2310736512.0,2310736512.0,2310736512,2310736512,0.0,614,614.0,0.0,5.0
TensorRT:ExecutionContext::enqueue,PushPop,357866208,297558112,28,12780936.0,5067856.0,15840,82573248,19162601.6,3345,119.5,0.7,1.0
myelin-exec:myelinGraphExecute ,StartEnd,357866208,280562560,28,12780936.0,5067856.0,15840,82573248,19162601.6,3345,119.5,2.7,119.5
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,286770304,282802080,7,40967186.3,34589632.0,32733504,82573248,18365426.9,3324,474.9,1.7,1.0
myelin-exec:/MatMul,PushPop,70944320,1201408,11,6449483.6,10114400.0,30528,10121376,5088677.7,11,1.0,3.8,0.0
TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},PushPop,70820032,1159552,7,10117147.4,10117664.0,10111456,10121376,3431.2,7,1.0,1.7,1.0
myelin-exec:__myl_FcAdd,PushPop,50286848,31105376,217,231736.6,232832.0,162464,265728,21220.5,217,1.0,3.7,0.0
myelin-exec:__myl_FcCas,PushPop,48230592,82174944,567,85062.8,84960.0,52832,98496,8093.9,567,1.0,3.7,0.0
myelin-exec:__myl_FcCasNegExpAddDivMulMul,PushPop,26803264,27458688,189,141816.2,141632.0,134752,147648,2037.1,189,1.0,3.7,0.0
myelin-exec:__myl_FcCasAdd,PushPop,15684064,25395744,175,89623.2,89216.0,87424,92672,1422.3,175,1.0,3.7,0.0
myelin-exec:__myl_ResMulMea,PushPop,4664576,6877888,384,12147.3,12192.0,9728,14272,702.1,384,1.0,3.7,0.0
myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra,PushPop,3360768,1981568,108,31118.2,33296.0,20384,37472,5755.8,108,1.0,4.0,0.0
myelin-exec:__myl_ResConResRep,PushPop,3190816,2306080,108,29544.6,31904.0,16768,47520,6673.4,108,1.0,4.0,0.0
myelin-exec:__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas,PushPop,2456128,3868352,189,12995.4,13088.0,10240,16640,1560.1,189,1.0,3.7,0.0
myelin-exec:_gemm_mha_v2,PushPop,2177888,1547008,84,25927.2,26048.0,23968,27520,769.2,84,1.0,3.3,0.0
myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul,PushPop,2122496,304000,7,303213.7,304320.0,300384,306816,2567.2,7,1.0,3.7,0.0
myelin-exec:__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas,PushPop,1874080,1654240,104,18020.0,17920.0,17760,18496,209.7,104,1.0,4.0,0.0
myelin-exec:/up_proj_8/MatMul,PushPop,1787552,317888,7,255364.6,247552.0,244000,268512,11330.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_6/MatMul,PushPop,1781056,291456,7,254436.6,245984.0,239040,270496,14045.6,7,1.0,3.7,0.0
myelin-exec:/up_proj_20/MatMul,PushPop,1779136,314464,7,254162.3,245312.0,236064,274080,16475.8,7,1.0,3.7,0.0
myelin-exec:/up_proj_23/MatMul,PushPop,1774016,321312,7,253430.9,247136.0,243008,267936,11522.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_7/MatMul,PushPop,1770016,295072,7,252859.4,242656.0,238336,269600,14596.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_24/MatMul,PushPop,1769408,331392,7,252772.6,245536.0,241408,267616,11093.1,7,1.0,3.7,0.0
myelin-exec:/up_proj_22/MatMul,PushPop,1766880,319456,7,252411.4,244960.0,237888,268320,12801.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_21/MatMul,PushPop,1765440,341280,7,252205.7,243136.0,237504,269184,14079.4,7,1.0,3.7,0.0
myelin-exec:/up_proj_3/MatMul,PushPop,1764448,294464,7,252064.0,245824.0,242592,274368,11577.3,7,1.0,3.7,0.0
myelin-exec:/up_proj_26/MatMul,PushPop,1759616,318848,7,251373.7,245696.0,243488,260960,7928.3,7,1.0,3.7,0.0
myelin-exec:/up_proj_9/MatMul,PushPop,1759616,345792,7,251373.7,242752.0,238720,266240,12847.6,7,1.0,3.7,0.0
myelin-exec:/up_proj_11/MatMul,PushPop,1757536,291616,7,251076.6,242528.0,237984,265920,13286.4,7,1.0,3.7,0.0
myelin-exec:/up_proj_10/MatMul,PushPop,1752096,289440,7,250299.4,241504.0,237952,265728,13188.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_25/MatMul,PushPop,1751232,316640,7,250176.0,242656.0,234432,266272,12540.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_16/MatMul,PushPop,1744224,300736,7,249174.9,243168.0,239072,265472,10467.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_15/MatMul,PushPop,1735840,298464,7,247977.1,247744.0,244160,254272,3538.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_14/MatMul,PushPop,1734080,305792,7,247725.7,245120.0,240960,257152,6114.0,7,1.0,3.7,0.0
myelin-exec:/up_proj/MatMul,PushPop,1732448,48872416,7,247492.6,243840.0,239200,260608,7980.1,7,1.0,3.7,0.0
myelin-exec:/up_proj_12/MatMul,PushPop,1732320,295840,7,247474.3,242080.0,237984,258400,8378.6,7,1.0,3.7,0.0
myelin-exec:/up_proj_27/MatMul,PushPop,1731264,353344,7,247323.4,245440.0,238720,254784,6673.4,7,1.0,3.7,0.0
myelin-exec:__myl_MulMaxSubExpSumDivMul,PushPop,1730880,1759552,112,15454.3,16320.0,12064,17792,1723.8,112,1.0,4.0,0.0
myelin-exec:/up_proj_13/MatMul,PushPop,1729376,303200,7,247053.7,247232.0,235104,256800,8334.6,7,1.0,3.7,0.0
myelin-exec:/up_proj_19/MatMul,PushPop,1724000,336160,7,246285.7,240832.0,238208,257408,8700.8,7,1.0,3.7,0.0
myelin-exec:/up_proj_4/MatMul,PushPop,1715776,298016,7,245110.9,245248.0,234656,252032,5495.6,7,1.0,3.7,0.0
myelin-exec:/up_proj_18/MatMul,PushPop,1713376,309984,7,244768.0,243520.0,239008,256928,6433.0,7,1.0,3.7,0.0
myelin-exec:/up_proj_17/MatMul,PushPop,1711968,315328,7,244566.9,242272.0,235296,256064,7666.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_5/MatMul,PushPop,1697984,299232,7,242569.1,242272.0,240352,245248,1816.6,7,1.0,3.7,0.0
myelin-exec:/up_proj_2/MatMul,PushPop,1682464,294048,7,240352.0,241216.0,235680,244960,4268.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_1/MatMul,PushPop,1672288,446240,7,238898.3,237728.0,235456,243488,3343.5,7,1.0,3.7,0.0
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,PushPop,1387904,1487520,81,17134.6,17216.0,15264,19264,965.5,81,1.0,3.3,0.0
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,PushPop,1332864,1123392,81,16455.1,16544.0,14944,17760,727.6,81,1.0,3.3,0.0
myelin-exec:__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas,PushPop,1322976,1626880,78,16961.2,16864.0,16480,17984,386.7,78,1.0,3.3,0.0
myelin-exec:__myl_ResTraResSliRepRes,PushPop,1292096,1820992,84,15382.1,15008.0,13280,36352,2460.5,84,1.0,3.3,0.0
myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd,PushPop,1202112,1428608,108,11130.7,11408.0,9248,12544,734.9,108,1.0,4.0,0.0
myelin-exec:__myl_FcNegExpAddDivMulMul,PushPop,1037664,602080,4,259416.0,258896.0,257760,262112,1891.8,4,1.0,4.0,0.0
myelin-exec:__myl_MulMinMaxRouCas,PushPop,871168,1940128,100,8711.7,8768.0,7904,10080,377.0,100,1.0,4.0,0.0
myelin-exec:__myl_ResTra,PushPop,815776,890048,75,10877.0,10624.0,10368,11808,445.0,75,1.0,3.3,0.0
myelin-exec:/gate_proj_27/MatMul,PushPop,769056,134048,3,256352.0,256608.0,254944,257504,1299.1,3,1.0,3.3,0.0
myelin-exec:/MatMul_43,PushPop,204128,207488,4,51032.0,51152.0,50176,51648,633.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_35,PushPop,204096,187072,4,51024.0,51088.0,50400,51520,552.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_11,PushPop,204064,149600,4,51016.0,51056.0,50496,51456,394.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_17,PushPop,203968,145952,4,50992.0,51008.0,50528,51424,388.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_15,PushPop,203552,153760,4,50888.0,50912.0,50560,51168,270.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_29,PushPop,203232,163328,4,50808.0,50864.0,50208,51296,489.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_1,PushPop,202976,237920,4,50744.0,50736.0,50656,50848,102.4,4,1.0,4.0,0.0
