Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
20.5,2944838624,1,2944838624.0,2944838624.0,2944838624,2944838624,0.0,:A1_decode_step_0
19.2,2759425664,1,2759425664.0,2759425664.0,2759425664,2759425664,0.0,:A1_decode_step_2
19.1,2741906368,1,2741906368.0,2741906368.0,2741906368,2741906368,0.0,:A1_decode_step_3
19.1,2739096416,1,2739096416.0,2739096416.0,2739096416,2739096416,0.0,:A1_decode_step_1
16.1,2311468928,1,2311468928.0,2311468928.0,2311468928,2311468928,0.0,:A1_prefill_S8
2.1,297558112,28,10627075.4,206656.0,126336,84731456,20443926.9,TensorRT:ExecutionContext::enqueue
2.0,282802080,7,40400297.1,33296992.0,31068960,83149952,18896768.2,TensorRT:{ForeignNode[/Cast.../Add_111]}
0.6,82174944,567,144929.4,140704.0,123680,343360,17025.2,myelin-exec:__myl_FcCas
0.3,48872416,7,6981773.7,56384.0,47584,48500416,18308006.4,myelin-exec:/up_proj/MatMul
0.2,31105376,217,143342.7,138048.0,127264,215680,14080.9,myelin-exec:__myl_FcAdd
0.2,27458688,189,145284.1,140288.0,129024,287808,16425.8,myelin-exec:__myl_FcCasNegExpAddDivMulMul
0.2,25395744,175,145118.5,141024.0,131040,191136,11506.6,myelin-exec:__myl_FcCasAdd
0.0,6877888,384,17911.2,17456.0,12576,45472,3725.9,myelin-exec:__myl_ResMulMea
0.0,3868352,189,20467.5,19808.0,13760,72416,5103.0,myelin-exec:__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas
0.0,2306080,108,21352.6,18656.0,14304,75744,7701.3,myelin-exec:__myl_ResConResRep
0.0,1981568,108,18347.9,16976.0,14368,39424,3657.0,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1940128,100,19401.3,18048.0,12448,84320,7500.2,myelin-exec:__myl_MulMinMaxRouCas
0.0,1820992,84,21678.5,20832.0,14592,50496,6076.9,myelin-exec:__myl_ResTraResSliRepRes
0.0,1759552,112,15710.3,14400.0,13184,25408,2771.7,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,1654240,104,15906.2,15328.0,13152,20768,1791.9,myelin-exec:__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas
0.0,1626880,78,20857.4,20432.0,16832,32160,2720.9,myelin-exec:__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas
0.0,1547008,84,18416.8,18608.0,13056,27328,1909.4,myelin-exec:_gemm_mha_v2
0.0,1487520,81,18364.4,17728.0,15232,24640,2329.4,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes
