Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.5,154867776,122,1269408.0,129664.0,78656,3179712,1241835.7,cuModuleLoadData
31.0,91534752,126,726466.3,56448.0,26528,1852992,773442.4,cuModuleUnload
11.3,33300672,14,2378619.4,9968.0,2624,21082528,6082868.0,cudaStreamSynchronize
1.4,4019232,195,20611.4,20512.0,12608,37152,3625.2,cuLaunchKernelEx
1.1,3251424,225,14450.8,13568.0,8416,86912,7625.6,cuLaunchKernel
1.0,2881280,56,51451.4,49424.0,46304,93024,6950.0,cuMemcpyDtoH_v2
0.7,2022208,4,505552.0,517008.0,436928,551264,48844.4,cuModuleLoadFatBinary
0.4,1257280,852,1475.7,992.0,736,213056,7943.6,cudaEventDestroy
0.3,1005984,852,1180.7,1088.0,896,22240,841.6,cudaEventCreateWithFlags
0.1,394592,6,65765.3,19808.0,7168,300096,115052.7,cudaMalloc
0.1,175712,9,19523.6,17504.0,2688,73280,22606.2,cudaFree
0.0,87872,2,43936.0,43936.0,27552,60320,23170.5,cudaLaunchKernel
0.0,84064,2,42032.0,42032.0,34400,49664,10793.3,cudaMemcpyAsync
0.0,64096,4,16024.0,11120.0,8064,33792,11939.5,cuStreamCreate
0.0,63680,4,15920.0,13344.0,11392,25600,6541.7,cudaStreamCreate
0.0,62592,8,7824.0,912.0,320,56992,19870.2,cudaMemsetAsync
0.0,40224,4,10056.0,9200.0,7104,14720,3315.1,cuStreamDestroy_v2
0.0,39968,5,7993.6,7008.0,5472,10624,2263.6,cudaStreamIsCapturing_v10000
0.0,37952,4,9488.0,7056.0,5824,18016,5742.5,cudaStreamDestroy
0.0,28704,4,7176.0,4144.0,3648,16768,6403.8,cuEventCreate
0.0,20256,8,2532.0,1984.0,1408,6624,1683.6,cuCtxSetCurrent
0.0,10624,4,2656.0,2448.0,1920,3808,825.0,cuEventDestroy_v2
0.0,3808,4,952.0,976.0,672,1184,241.4,cuModuleGetLoadingMode
