Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
39.4,19388864,82,236449.6,242400.0,162688,308096,56150.4,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
20.5,10114560,1,10114560.0,10114560.0,10114560,10114560,0.0,CUDA_KERNEL,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
14.5,7161824,28,255779.4,255584.0,250400,264640,3254.3,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
13.0,6402400,28,228657.1,228656.0,227040,230336,799.7,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
2.8,1383840,28,49422.9,49456.0,48032,50272,646.1,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.8,872832,28,31172.6,30944.0,30560,31840,477.2,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.2,569504,27,21092.7,20928.0,20224,22048,521.5,CUDA_KERNEL,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
1.0,503456,28,17980.6,17696.0,17376,19648,590.7,CUDA_KERNEL,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
0.8,374176,27,13858.4,13792.0,13600,14880,317.3,CUDA_KERNEL,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.7,353344,28,12619.4,12560.0,12096,14784,446.6,CUDA_KERNEL,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.7,351936,28,12569.1,12544.0,12416,12832,124.5,CUDA_KERNEL,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.7,335776,28,11992.0,11936.0,11744,12416,188.1,CUDA_KERNEL,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.6,301984,1,301984.0,301984.0,301984,301984,0.0,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.6,296192,56,5289.1,5280.0,5216,5376,48.3,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.6,288736,28,10312.0,10160.0,9856,11136,383.8,CUDA_KERNEL,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.5,252704,27,9359.4,9344.0,9248,9792,109.2,CUDA_KERNEL,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.3,159904,1,159904.0,159904.0,159904,159904,0.0,CUDA_KERNEL,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
0.1,28096,1,28096.0,28096.0,28096,28096,0.0,CUDA_KERNEL,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
0.0,23424,1,23424.0,23424.0,23424,23424,0.0,CUDA_KERNEL,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
0.0,20800,1,20800.0,20800.0,20800,20800,0.0,CUDA_KERNEL,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
0.0,18720,1,18720.0,18720.0,18720,18720,0.0,CUDA_KERNEL,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,15744,1,15744.0,15744.0,15744,15744,0.0,MEMORY_OPER,[CUDA memset]
0.0,4000,2,2000.0,2000.0,1472,2528,746.7,MEMORY_OPER,[CUDA memcpy Host-to-Device]
