Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.4,194325568,310,626856.7,85168.0,74144,3189216,1089275.0,cuModuleLoadData
31.7,113157120,310,365023.0,36480.0,26496,2170624,676441.8,cuModuleUnload
9.7,34621312,13,2663177.8,17216.0,2816,22008384,6507463.0,cudaStreamSynchronize
1.0,3538080,254,13929.4,12672.0,8992,77888,7800.4,cuLaunchKernel
0.8,2971744,56,53066.9,49520.0,46784,95136,8868.5,cuMemcpyDtoH_v2
0.5,1723648,1238,1392.3,1280.0,1024,44288,1273.9,cudaEventCreateWithFlags
0.4,1584224,86,18421.2,16384.0,13920,58688,6500.1,cudaLaunchKernel
0.4,1520896,1238,1228.5,960.0,736,136096,3982.8,cudaEventDestroy
0.3,1103456,56,19704.6,19024.0,16064,26656,2523.4,cuLaunchKernelEx
0.2,756064,5,151212.8,22976.0,17952,662112,285661.1,cudaMalloc
0.2,575072,9,63896.9,19488.0,1376,443584,143461.0,cudaFree
0.1,316672,110,2878.8,2768.0,2016,9184,861.1,cuEventRecord
0.1,251648,110,2287.7,2208.0,1504,7680,602.8,cuStreamWaitEvent
0.0,89952,114,789.1,512.0,448,16928,1641.5,cuEventCreate
0.0,81504,5,16300.8,13376.0,5056,40224,13945.4,cuStreamCreate
0.0,75200,5,15040.0,6016.0,5664,47296,18132.3,cudaStreamDestroy
0.0,70560,8,8820.0,976.0,352,64832,22635.0,cudaMemsetAsync
0.0,68864,114,604.1,608.0,320,3008,413.3,cuEventDestroy_v2
0.0,66976,5,13395.2,11584.0,6016,25568,7326.2,cudaStreamCreate
0.0,56864,1,56864.0,56864.0,56864,56864,0.0,cudaMemcpyAsync
0.0,44864,5,8972.8,8032.0,5248,15424,3921.1,cuStreamDestroy_v2
0.0,26400,4,6600.0,6768.0,4928,7936,1262.9,cudaStreamIsCapturing_v10000
0.0,19808,8,2476.0,2128.0,1440,5536,1319.1,cuCtxSetCurrent
0.0,4160,4,1040.0,1040.0,704,1376,298.5,cuModuleGetLoadingMode
