Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.1,615429952,281,2190142.2,2875744.0,517600,3952256,1308559.9,cuModuleLoadData
33.3,324819008,285,1139715.8,1808544.0,22240,2356096,946851.8,cuModuleUnload
1.3,12294720,14,878194.3,8656.0,2432,10943168,2904985.4,cudaStreamSynchronize
0.9,8328288,165,50474.5,49280.0,45728,91616,4835.1,cuMemcpyDtoH_v2
0.5,5081664,250,20326.7,19568.0,12608,38944,4667.2,cuLaunchKernelEx
0.4,4131744,250,16527.0,15216.0,9696,82400,8507.6,cuLaunchKernel
0.2,1616384,1410,1146.4,1088.0,896,9152,336.6,cudaEventCreateWithFlags
0.1,1445568,1410,1025.2,832.0,736,35296,1033.3,cudaEventDestroy
0.1,531712,4,132928.0,118272.0,107776,187392,36662.1,cuModuleLoadFatBinary
0.0,397600,6,66266.7,16784.0,8096,308192,118779.8,cudaMalloc
0.0,262144,114,2299.5,2304.0,1408,6912,605.3,cuStreamWaitEvent
0.0,252608,86,2937.3,2752.0,1792,10400,1052.5,cuEventRecord
0.0,142752,6,23792.0,10912.0,5632,78592,27803.1,cudaStreamCreate
0.0,128064,9,14229.3,16800.0,1984,41344,13262.3,cudaFree
0.0,77248,6,12874.7,6432.0,5440,46688,16575.2,cudaStreamDestroy
0.0,74720,2,37360.0,37360.0,30624,44096,9526.1,cudaMemcpyAsync
0.0,72640,6,12106.7,8048.0,5184,33632,10823.0,cuStreamCreate
0.0,72416,90,804.6,512.0,448,16640,1785.7,cuEventCreate
0.0,57696,8,7212.0,592.0,384,52832,18436.3,cudaMemsetAsync
0.0,53088,1,53088.0,53088.0,53088,53088,0.0,cudaLaunchKernel
0.0,45664,6,7610.7,6128.0,5216,15104,3762.5,cuStreamDestroy_v2
0.0,44000,90,488.9,352.0,320,3968,471.0,cuEventDestroy_v2
0.0,33600,5,6720.0,6528.0,4672,10016,2054.4,cudaStreamIsCapturing_v10000
0.0,17632,8,2204.0,1424.0,1312,6656,1834.8,cuCtxSetCurrent
0.0,3232,4,808.0,800.0,576,1056,211.3,cuModuleGetLoadingMode
