Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
23.1,10118432,1,10118432.0,10118432.0,10118432,10118432,0.0,CUDA_KERNEL,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
20.1,8834752,106,83346.7,84624.0,52832,94464,9787.0,CUDA_KERNEL,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
14.7,6444096,28,230146.3,230176.0,223648,235232,2448.8,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
14.4,6329504,26,243442.5,241456.0,234432,305088,13034.6,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
8.6,3782144,27,140079.4,140512.0,134752,144032,2281.6,CUDA_KERNEL,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
3.2,1412512,28,50446.9,50512.0,49856,50976,296.9,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
2.1,910560,28,32520.0,32768.0,30528,33632,774.6,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
2.0,867424,165,5257.1,5248.0,5184,5504,47.4,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.8,779488,4,194872.0,172592.0,172192,262112,44827.1,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
1.7,730400,3,243466.7,242080.0,240768,247552,3598.3,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
