Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.8,551482464,416,1325679.0,110144.0,73856,3760064,1501155.0,cuModuleLoadData
35.4,321286176,416,772322.5,49184.0,26080,2373696,897918.7,cuModuleUnload
1.6,14492896,13,1114838.2,9312.0,2688,10706656,2965215.6,cudaStreamSynchronize
0.9,8293792,164,50571.9,48640.0,45120,96480,5908.4,cuMemcpyDtoH_v2
0.4,3695584,252,14665.0,13200.0,9312,78688,6793.5,cuLaunchKernel
0.4,3292352,164,20075.3,19168.0,15584,36352,3669.9,cuLaunchKernelEx
0.2,1491712,1310,1138.7,1056.0,896,8064,327.9,cudaEventCreateWithFlags
0.1,1326368,1310,1012.5,832.0,736,22784,732.0,cudaEventDestroy
0.1,594240,32,18570.0,15488.0,14144,52192,9161.7,cudaLaunchKernel
0.0,236000,88,2681.8,2400.0,1856,8736,855.8,cuEventRecord
0.0,224128,116,1932.1,1952.0,992,7424,682.8,cuStreamWaitEvent
0.0,130176,9,14464.0,17632.0,1632,43360,13740.0,cudaFree
0.0,90016,5,18003.2,16160.0,7584,31264,8570.9,cudaMalloc
0.0,83648,8,10456.0,592.0,320,79328,27830.0,cudaMemsetAsync
0.0,77120,6,12853.3,6080.0,5344,45856,16192.5,cudaStreamDestroy
0.0,75232,92,817.7,480.0,448,17568,1882.1,cuEventCreate
0.0,74464,6,12410.7,8672.0,3808,36704,12108.8,cuStreamCreate
0.0,70208,6,11701.3,10512.0,4800,25792,7542.0,cudaStreamCreate
0.0,49472,92,537.7,352.0,320,3648,480.3,cuEventDestroy_v2
0.0,47648,1,47648.0,47648.0,47648,47648,0.0,cudaMemcpyAsync
0.0,45856,6,7642.7,6016.0,5536,16000,4105.5,cuStreamDestroy_v2
0.0,25888,4,6472.0,5952.0,4896,9088,1955.6,cudaStreamIsCapturing_v10000
0.0,16896,8,2112.0,1488.0,1088,5536,1507.9,cuCtxSetCurrent
0.0,4000,4,1000.0,1008.0,704,1280,263.1,cuModuleGetLoadingMode
