Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
39.5,17188448,28,613873.1,265568.0,244512,10116352,1862327.1,CUDA_KERNEL,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
24.5,10667712,106,100638.8,86960.0,54752,146912,25588.8,CUDA_KERNEL,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
17.1,7439200,31,239974.2,241024.0,164768,264736,25369.7,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
5.9,2551744,27,94509.0,94944.0,89952,96704,1996.2,CUDA_KERNEL,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
2.0,863008,164,5262.2,5248.0,5184,6144,79.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.8,772448,3,257482.7,236032.0,235456,300960,37653.6,CUDA_KERNEL,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
1.1,474208,27,17563.3,17600.0,15872,19264,880.3,CUDA_KERNEL,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
1.0,452128,27,16745.5,16672.0,14944,17760,776.6,CUDA_KERNEL,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
1.0,438720,26,16873.8,16672.0,16480,17632,383.3,CUDA_KERNEL,__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0x14bacf080290e339db28d1223365390a_com_vec
1.0,415072,27,15373.0,15264.0,13824,16672,725.1,CUDA_KERNEL,__myl_ResTraResSliRepRes_0xb5ca1ead775f2215fdc6b72339368a3f_com
0.8,340352,27,12605.6,12512.0,11040,14240,787.7,CUDA_KERNEL,__myl_ResMulMea_0x356824d54c2e1ab1f7825eefa1e6b632_com_vec
0.8,330624,27,12245.3,12288.0,9920,13216,621.3,CUDA_KERNEL,__myl_ResMulMea_0x9a67bce87aa70b5a86539a0972d2e0f6_com_vec
0.6,282272,25,11290.9,11392.0,10528,11808,372.8,CUDA_KERNEL,__myl_ResTra_0xc03916d7cfa55338996dbe92c4283d8c_com
0.2,75616,3,25205.3,24928.0,24832,25856,565.5,CUDA_KERNEL,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.1,51520,2,25760.0,25760.0,25056,26464,995.6,CUDA_KERNEL,_gemm_mha_v2_0x122877a3036390a4bf8dcfb1427b867b
0.1,30848,1,30848.0,30848.0,30848,30848,0.0,CUDA_KERNEL,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.1,30560,2,15280.0,15280.0,15232,15328,67.9,CUDA_KERNEL,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x06bdba4595fd33adf3c728cf049f0b03_com_vec
0.1,28320,1,28320.0,28320.0,28320,28320,0.0,MEMORY_OPER,[CUDA memset]
0.1,27520,1,27520.0,27520.0,27520,27520,0.0,CUDA_KERNEL,_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52
0.1,27232,2,13616.0,13616.0,12352,14880,1787.6,CUDA_KERNEL,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x631eac58eb6694e001a0929b8bf99c28_com_vec
0.1,27136,1,27136.0,27136.0,27136,27136,0.0,CUDA_KERNEL,_gemm_mha_v2_0x122d493ce64aa00c197ae40baf03a637
0.1,26880,1,26880.0,26880.0,26880,26880,0.0,CUDA_KERNEL,_gemm_mha_v2_0x868207ee750ff7049028a80d32d17323
0.1,26848,1,26848.0,26848.0,26848,26848,0.0,CUDA_KERNEL,_gemm_mha_v2_0xccf3a8474acc5fc16b0ad4e1c69800bb
0.1,26784,1,26784.0,26784.0,26784,26784,0.0,CUDA_KERNEL,_gemm_mha_v2_0x1c8140cface6b993997d7cd4b7477616
