runtime,range,wall_reduction,cuda_api_time_reduction,module_load_unload_count_old,module_load_unload_count_new,module_load_unload_count_reduction,module_load_unload_time_reduction,gpu_kernel_count_old,gpu_kernel_count_new,gpu_kernel_time_old_ms,gpu_kernel_time_new_ms
fp16,PHASE3B_STEADY_PREFILL_S8,0.973068,0.93784,620,0,1.0,1.0,396,396,47.209248,22.68992
mixed,PHASE3B_STEADY_PREFILL_S8,0.985626,0.97886,832,0,1.0,1.0,448,448,42.623168,20.851936
fp16,PHASE3B_STEADY_DECODE_STEP_0,0.965319,0.893955,248,0,1.0,1.0,422,422,48.912576,45.6728
mixed,PHASE3B_STEADY_DECODE_STEP_0,0.977149,0.975759,566,0,1.0,1.0,501,501,43.069952,35.628704
fp16,PHASE3B_STEADY_DECODE_STEP_1,0.970283,0.877757,248,0,1.0,1.0,422,422,49.623808,43.621184
mixed,PHASE3B_STEADY_DECODE_STEP_1,0.978379,0.955759,566,0,1.0,1.0,501,501,43.952448,44.082016
fp16,PHASE3B_STEADY_DECODE_STEP_2,0.978966,0.942304,248,0,1.0,1.0,422,422,49.681824,23.632512
mixed,PHASE3B_STEADY_DECODE_STEP_2,0.986392,0.980853,566,0,1.0,1.0,501,501,44.153536,21.41088
fp16,PHASE3B_STEADY_DECODE_STEP_3,0.972076,0.889899,248,0,1.0,1.0,422,422,49.779424,37.704288
mixed,PHASE3B_STEADY_DECODE_STEP_3,0.984386,0.975481,566,0,1.0,1.0,501,501,44.255712,26.68976
