label,range,wall_ms,gpu_kernel_count,gpu_kernel_time_ms,gpu_busy_pct,cuda_api_calls,cuda_api_time_ms,cuda_api_pct,cuModuleLoadData_calls,cuModuleLoadData_ms,cuModuleUnload_calls,cuModuleUnload_ms,cudaStreamSynchronize_calls,cudaStreamSynchronize_ms,cuMemcpyDtoH_v2_calls,cuMemcpyDtoH_v2_ms,memcpy_calls,memcpy_ms
fp16_legacy,PHASE3B_STEADY_PREFILL_S8,1559.612512,396,47.209248,3.026986,4068,352.113856,22.577009,310,191.8216,310,112.28992,13,33.495552,56,2.905824,56,2.905824
fp16_legacy,PHASE3B_STEADY_DECODE_STEP_0,2133.3008,422,48.912576,2.292812,2514,311.266368,14.590834,122,169.385376,126,92.655968,14,34.513536,56,2.860128,56,2.860128
fp16_legacy,PHASE3B_STEADY_DECODE_STEP_1,2046.549376,422,49.623808,2.424755,2512,320.713888,15.670958,122,177.884,126,92.591104,14,36.133024,56,2.89712,56,2.89712
fp16_legacy,PHASE3B_STEADY_DECODE_STEP_2,2024.833536,422,49.681824,2.453625,2512,299.62784,14.797653,122,155.427488,126,93.191072,14,35.372928,56,2.952384,56,2.952384
fp16_legacy,PHASE3B_STEADY_DECODE_STEP_3,2007.107488,422,49.779424,2.480157,2512,294.1536,14.655598,122,153.661504,126,91.131904,14,36.468064,56,2.882848,56,2.882848
fp16_persistent,PHASE3B_STEADY_PREFILL_S8,42.002944,396,22.68992,54.019833,626,21.887232,52.108805,0,0.0,0,0.0,5,13.575872,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_0,73.985056,422,45.6728,61.732467,436,33.008256,44.614761,0,0.0,0,0.0,6,21.372192,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_1,60.816832,422,43.621184,71.725512,434,39.204992,64.464048,0,0.0,0,0.0,6,31.950624,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,42.59104,422,23.632512,55.487051,434,17.287264,40.588969,0,0.0,0,0.0,6,9.234976,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,56.046368,422,37.704288,67.273383,434,32.386464,57.785125,0,0.0,0,0.0,6,24.313888,0,0.0,0,0.0
mixed_legacy,PHASE3B_STEADY_PREFILL_S8,2310.85664,448,42.623168,1.844475,4528,896.73344,38.805239,416,549.0904,416,312.627936,13,14.970208,164,8.35568,164,8.35568
mixed_legacy,PHASE3B_STEADY_DECODE_STEP_0,2881.659744,501,43.069952,1.494623,4516,926.188256,32.140792,281,575.0448,285,315.095296,14,12.055552,165,8.288,165,8.288
mixed_legacy,PHASE3B_STEADY_DECODE_STEP_1,2745.432544,501,43.952448,1.60093,4514,902.453568,32.871089,281,554.2416,285,310.786112,14,14.88032,165,8.241984,165,8.241984
mixed_legacy,PHASE3B_STEADY_DECODE_STEP_2,2742.902304,501,44.153536,1.609738,4514,886.060928,32.303773,281,542.845632,285,307.410816,14,14.482816,165,8.176576,165,8.176576
mixed_legacy,PHASE3B_STEADY_DECODE_STEP_3,2735.757088,501,44.255712,1.617677,4514,895.43456,32.730777,281,547.878624,285,309.725344,14,15.18816,165,8.256128,165,8.256128
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,33.216608,448,20.851936,62.775633,662,18.957184,57.071402,0,0.0,0,0.0,5,12.359776,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,65.848352,501,35.628704,54.107207,715,22.452,34.096525,0,0.0,0,0.0,6,10.385696,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,59.359296,501,44.082016,74.263037,713,39.925696,67.261067,0,0.0,0,0.0,6,32.28032,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,37.32432,501,21.41088,57.364421,713,16.965024,45.453002,0,0.0,0,0.0,6,9.255072,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,42.714848,501,26.68976,62.483565,713,21.955296,51.399682,0,0.0,0,0.0,6,13.74816,0,0.0,0,0.0
