Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.2,1278552640,1418,901659.1,110528.0,72832,13659040,1235906.0,cuModuleLoadData
20.5,811817344,42,19328984.4,21600.0,7392,483432064,85860380.0,cudaMalloc
17.9,711938560,1434,496470.4,36544.0,25632,2600672,737564.7,cuModuleUnload
14.1,560105024,21,26671667.8,47296.0,1184,207185728,63348728.5,cudaMemcpyAsync
6.5,257193824,78,3297356.7,18128.0,1760,102725728,15469173.2,cudaFree
6.1,242486400,105,2309394.3,14752.0,2624,23241248,5845160.1,cudaStreamSynchronize
0.6,22890016,1662,13772.6,12480.0,8288,99520,7451.3,cuLaunchKernel
0.5,20712928,392,52839.1,49696.0,44512,379424,18304.2,cuMemcpyDtoH_v2
0.5,18121184,948,19115.2,19072.0,11904,56384,3995.9,cuLaunchKernelEx
0.3,11483392,266,43170.6,17408.0,13024,6089920,372300.6,cudaLaunchKernel
0.2,9693728,7122,1361.1,1184.0,896,240832,3013.5,cudaEventCreateWithFlags
0.2,7700288,7122,1081.2,832.0,736,101600,1712.0,cudaEventDestroy
0.2,7029184,16,439324.0,400592.0,118016,982656,290114.9,cuModuleLoadFatBinary
0.0,1207040,66,18288.5,912.0,352,133888,36178.2,cudaMemsetAsync
0.0,986080,330,2988.1,2800.0,1824,31488,1764.3,cuEventRecord
0.0,919840,41,22435.1,14432.0,5280,94496,17599.3,cudaStreamCreate
0.0,748544,330,2268.3,2208.0,1440,8704,615.9,cuStreamWaitEvent
0.0,514272,358,1436.5,352.0,320,284224,15030.0,cuEventDestroy_v2
0.0,489088,31,15777.0,11584.0,5536,37024,10462.8,cuStreamCreate
0.0,478048,41,11659.7,7392.0,4224,47840,11050.4,cudaStreamDestroy
0.0,376416,358,1051.4,512.0,448,17312,2319.0,cuEventCreate
0.0,292640,31,9440.0,8000.0,4608,16192,3682.2,cuStreamDestroy_v2
0.0,269024,6,44837.3,13136.0,12704,204064,78005.1,cudaDeviceSynchronize
0.0,223136,30,7437.9,7376.0,4576,15936,2411.2,cudaStreamIsCapturing_v10000
0.0,218336,410,532.5,416.0,224,5568,370.0,cuGetProcAddress_v2
0.0,137184,56,2449.7,1920.0,1280,6624,1490.5,cuCtxSetCurrent
0.0,29248,30,974.9,896.0,608,2560,341.5,cuModuleGetLoadingMode
0.0,12192,1,12192.0,12192.0,12192,12192,0.0,cuInit
