Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.8,77542816,328,236411.0,240960.0,162272,313088,56321.6,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
20.8,70797536,7,10113933.7,10115616.0,10100704,10120192,6640.2,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
19.2,65089472,252,258291.6,237376.0,234080,304160,30561.8,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
10.2,34512864,168,205433.7,205312.0,161696,260640,37514.6,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
8.4,28660448,112,255896.9,256064.0,248960,263584,3050.5,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
7.5,25627584,112,228817.7,228672.0,227232,231104,837.9,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
1.6,5584448,112,49861.1,49776.0,48096,51648,635.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.0,3491808,112,31176.9,31328.0,30336,32832,436.1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.8,2765440,81,34141.2,33824.0,31552,37280,1440.1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.7,2470176,84,29406.9,29232.0,27616,31264,975.7,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
0.5,1846400,84,21981.0,21952.0,21280,23520,518.0,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.4,1496864,108,13859.9,13728.0,13600,15072,363.2,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.4,1488064,81,18371.2,18560.0,17280,19040,468.5,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.4,1402816,112,12525.1,12512.0,12352,13056,106.7,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
