NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,82,19382112,236367.2,240352.0,163616,311232,56292.2,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,10117632,10117632.0,10117632.0,10117632,10117632,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,7180320,256440.0,256608.0,251424,262176,2881.4,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,6407840,228851.4,228704.0,227680,230208,767.9,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,1380704,49310.9,49488.0,48096,50720,626.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,866528,30947.4,30848.0,30336,31616,406.8,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,27,563232,20860.4,20736.0,20320,21696,417.3,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,507008,18107.4,18192.0,17472,19360,442.4,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,27,377344,13975.7,13792.0,13600,15072,421.0,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,351296,12546.3,12448.0,12384,14336,361.9,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,351040,12537.1,12512.0,12352,12832,115.7,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,332032,11858.3,11840.0,11648,12192,145.1,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,301920,301920.0,301920.0,301920,301920,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,28,292000,10428.6,10560.0,9856,10752,304.4,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,27,251616,9319.1,9312.0,9152,9600,115.8,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,158688,158688.0,158688.0,158688,158688,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,28992,28992.0,28992.0,28992,28992,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,23168,23168.0,23168.0,23168,23168,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,20128,20128.0,20128.0,20128,20128,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667349,667349,1,1,18976,18976.0,18976.0,18976,18976,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,82,19379104,236330.5,242352.0,162624,308320,56348.3,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,10100704,10100704.0,10100704.0,10100704,10100704,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,7174016,256214.9,256096.0,250656,261984,2915.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,6406272,228795.4,228688.0,227552,231104,863.0,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,1403712,50132.6,50144.0,48736,51648,624.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,27,879840,32586.7,32416.0,31552,33664,652.7,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,874880,31245.7,31376.0,30496,32608,438.0,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,795072,28395.4,28160.0,27616,29472,580.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,446624,15950.9,15776.0,15648,17792,470.9,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,27,373408,13829.9,13728.0,13632,15040,344.8,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,350944,12533.7,12480.0,12416,13056,128.6,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,332192,11864.0,11808.0,11680,12576,187.1,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,308096,308096.0,308096.0,308096,308096,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,28,290272,10366.9,10528.0,9824,10688,313.1,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,27,251552,9316.7,9312.0,9120,9600,93.8,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,158144,158144.0,158144.0,158144,158144,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,39072,39072.0,39072.0,39072,39072,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,21792,21792.0,21792.0,21792,21792,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,20160,20160.0,20160.0,20160,20160,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667349,667349,1,1,17952,17952.0,17952.0,17952,17952,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,82,19387584,236434.0,241152.0,162272,313088,56804.9,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,1,10120192,10120192.0,10120192.0,10120192,10120192,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,7138624,254950.9,254896.0,248960,260352,3286.4,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,6408192,228864.0,228624.0,227584,230848,858.3,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,1404576,50163.4,50224.0,49248,51488,516.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,27,917376,33976.9,33824.0,33376,34656,371.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,875968,31284.6,31360.0,30624,32832,424.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,821120,29325.7,29184.0,28960,30432,360.8,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,444416,15872.0,15744.0,15584,17056,348.6,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,27,373504,13833.5,13760.0,13600,15008,335.1,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,350944,12533.7,12512.0,12384,12928,107.7,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,330912,11818.3,11776.0,11648,12576,171.1,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,1,302976,302976.0,302976.0,302976,302976,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,28,293280,10474.3,10560.0,9888,10784,260.1,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,27,251808,9326.2,9280.0,9184,9920,136.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,1,157664,157664.0,157664.0,157664,157664,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,1,40576,40576.0,40576.0,40576,40576,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:PHASE3B_STEADY_DECODE_STEP_2,PushPop,667349,667349,1,1,23136,23136.0,23136.0,23136,23136,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
