Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
21.9,3850693856,1,3850693856.0,3850693856.0,3850693856,3850693856,0.0,:PHASE3B_INIT
19.2,3380026432,1,3380026432.0,3380026432.0,3380026432,3380026432,0.0,:PHASE3B_WARMUP
12.1,2133300800,1,2133300800.0,2133300800.0,2133300800,2133300800,0.0,:PHASE3B_STEADY_DECODE_STEP_0
11.6,2046549376,1,2046549376.0,2046549376.0,2046549376,2046549376,0.0,:PHASE3B_STEADY_DECODE_STEP_1
11.5,2024833536,1,2024833536.0,2024833536.0,2024833536,2024833536,0.0,:PHASE3B_STEADY_DECODE_STEP_2
11.4,2007107488,1,2007107488.0,2007107488.0,2007107488,2007107488,0.0,:PHASE3B_STEADY_DECODE_STEP_3
8.9,1559612512,1,1559612512.0,1559612512.0,1559612512,1559612512,0.0,:PHASE3B_STEADY_PREFILL_S8
1.1,199692544,28,7131876.6,206032.0,145280,72807168,15378285.4,TensorRT:ExecutionContext::enqueue
1.1,187833024,7,26833289.1,19348416.0,18955520,71762048,19815513.0,TensorRT:{ForeignNode[/Cast.../Add_111]}
0.3,51931296,7,7418756.6,119968.0,103392,51230176,19319021.3,myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul
0.2,43215808,280,154342.2,152080.0,125376,340416,24272.7,myelin-exec:__myl_FcAdd
0.1,16780960,112,149830.0,146496.0,133856,308768,19411.8,myelin-exec:__myl_FcNegExpAddDivMulMul
0.0,4878560,277,17612.1,17152.0,12576,32224,2686.4,myelin-exec:__myl_MulMeaAddSqrDivMulMul
0.0,2953824,224,13186.7,12192.0,9920,61600,4130.7,myelin-exec:__myl_MovResMulMea
0.0,2692448,168,16026.5,15184.0,11904,33088,3453.7,myelin-exec:__myl_ResMulMea
0.0,2321280,112,20725.7,20736.0,14592,31328,3117.2,myelin-exec:__myl_MovResConResRep
0.0,1878432,112,16771.7,16096.0,12160,60608,5204.7,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,1867040,108,17287.4,17648.0,12128,27232,3116.7,myelin-exec:__myl_AddMulMeaAddSqrDivMulMul
0.0,1623904,108,15036.1,14720.0,12416,41216,2805.4,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1519200,84,18085.7,17216.0,13824,35776,3362.6,myelin-exec:__myl_ResTraResSliRepRes
0.0,1517856,84,18069.7,17456.0,14176,25504,2597.5,myelin-exec:__myl_NegExpAddDivMulMul
0.0,1462528,81,18055.9,15904.0,13408,39456,4744.3,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes
0.0,1239072,108,11472.9,11104.0,10080,19200,1428.2,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd
0.0,1194784,7,170683.4,157952.0,156800,238336,29966.6,TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]}
0.0,1106208,11,100564.4,115808.0,50144,190432,42890.8,myelin-exec:/MatMul
0.0,1086880,84,12939.0,12240.0,10848,28416,2319.5,myelin-exec:_gemm_mha_v2
0.0,1053152,81,13001.9,12384.0,10720,19232,1852.3,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes
0.0,1014592,7,144941.7,138688.0,132448,169824,14028.0,TensorRT:{ForeignNode[/Cast.../Cast_1]}
