Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.8,597850976,14,42703641.1,660144.0,15840,305569344,101359518.7,cudaMalloc
24.1,557762944,21,26560140.2,46240.0,1120,207666848,62731654.0,cudaMemcpyAsync
19.2,444598080,430,1033949.0,135888.0,89088,13007424,1419154.3,cuModuleLoadData
10.0,231744352,27,8583124.1,6656.0,2336,100616160,23087660.0,cudaFree
10.0,230579904,434,531290.1,42528.0,28192,2798336,816644.1,cuModuleUnload
7.6,176005856,59,2983150.1,17312.0,2272,29890912,6472420.6,cudaStreamSynchronize
1.1,26246976,1662,15792.4,14112.0,7808,135264,6940.7,cuLaunchKernel
0.9,21820896,948,23017.8,21632.0,13888,102944,7097.8,cuLaunchKernelEx
0.4,9146048,266,34383.6,17440.0,12352,3833056,234143.2,cudaLaunchKernel
0.3,6476960,112,57830.0,53760.0,47488,488000,41582.8,cuMemcpyDtoH_v2
0.1,3443552,2078,1657.1,992.0,896,511488,11282.2,cudaEventCreateWithFlags
0.1,2083328,4,520832.0,390272.0,272736,1030048,347469.9,cuModuleLoadFatBinary
0.1,1749184,2078,841.8,800.0,736,6816,246.2,cudaEventDestroy
0.1,1189216,6,198202.7,16512.0,7712,1104384,444030.7,cuStreamCreate
0.0,985632,330,2986.8,2752.0,1760,41184,2263.8,cuEventRecord
0.0,949184,20,47459.2,20272.0,512,138624,54245.4,cudaMemsetAsync
0.0,767360,330,2325.3,2256.0,1536,8640,664.5,cuStreamWaitEvent
0.0,537184,16,33574.0,28432.0,8288,110432,23765.9,cudaStreamCreate
0.0,254016,410,619.6,512.0,320,5792,373.9,cuGetProcAddress_v2
0.0,196064,30,6535.5,6368.0,3968,10432,1679.4,cudaStreamIsCapturing_v10000
0.0,188064,16,11754.0,9440.0,3456,46432,10653.1,cudaStreamDestroy
0.0,157248,6,26208.0,26288.0,23648,28384,2109.8,cudaDeviceSynchronize
0.0,107648,115,936.1,512.0,448,16320,2152.2,cuEventCreate
0.0,96896,6,16149.3,16320.0,5440,25248,8129.1,cuStreamDestroy_v2
0.0,69216,115,601.9,384.0,320,4160,643.6,cuEventDestroy_v2
0.0,36704,10,3670.4,3216.0,1664,5792,1494.4,cuCtxSetCurrent
0.0,12928,1,12928.0,12928.0,12928,12928,0.0,cuInit
0.0,9248,7,1321.1,960.0,832,3424,934.7,cuModuleGetLoadingMode
