Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.8,60948768,328,185819.4,166368.0,78336,310880,69510.7,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
20.0,53573696,252,212594.0,236192.0,108864,302752,69619.9,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
19.4,52013984,7,7430569.1,7591040.0,4695424,10111936,2708300.7,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
10.7,28689408,168,170770.3,165120.0,79680,260064,58557.3,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
8.4,22473568,112,200656.9,197744.0,115104,263104,56778.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
7.5,20025504,112,178799.1,173680.0,104704,230208,50942.8,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
1.7,4448512,112,39718.9,39488.0,24576,50752,10097.4,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.0,2710848,112,24204.0,23792.0,13728,31424,7088.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.8,2051872,81,25331.8,27264.0,15424,33824,7078.7,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.7,1869760,84,22259.0,23552.0,13920,29504,5835.4,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
0.6,1541856,84,18355.4,21856.0,10112,22976,5443.5,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.5,1251968,81,15456.4,18208.0,8928,19360,4246.3,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.5,1229568,108,11384.9,11168.0,6848,14496,2492.6,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.4,1146624,112,10237.7,10048.0,5952,13856,2466.6,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.4,1099488,84,13089.1,15184.0,8096,16160,3376.1,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
0.4,1085184,112,9689.1,9632.0,6144,12672,2314.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.4,1072096,84,12763.0,14816.0,7648,17056,3418.8,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
0.4,1027488,84,12232.0,13888.0,7680,16256,3031.1,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
0.4,989536,84,11780.2,11840.0,7232,16672,3432.7,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
0.4,987744,81,12194.4,13920.0,7648,14944,3051.6,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
0.4,972096,81,12001.2,13984.0,6880,15104,3501.3,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.3,926880,112,8275.7,8352.0,4768,10784,2153.6,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.3,856992,84,10202.3,11920.0,5984,12768,2678.0,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
