NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,82,17956544,218982.2,240736.0,78592,307104,67635.9,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,10111520,10111520.0,10111520.0,10111520,10111520,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,6599040,235680.0,255424.0,115104,263104,49289.9,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,5909856,211066.3,228672.0,104704,230176,43447.7,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,1242368,44370.3,47888.0,24800,49856,8727.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,785664,28059.4,30672.0,13728,31424,6354.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,27,527264,19528.3,20672.0,9984,21792,3757.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,465952,16641.1,18128.0,9184,18496,3156.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,27,347712,12878.2,13728.0,6848,14016,2227.7,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,322592,11521.1,12528.0,5952,13824,2372.3,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,318336,11369.1,12384.0,5504,12640,2348.2,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,311296,11117.7,11808.0,6400,12672,1878.6,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,28,266720,9525.7,10464.0,4864,10784,1896.8,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,27,238336,8827.3,9312.0,4320,10528,1462.3,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,142048,142048.0,142048.0,142048,142048,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,74944,74944.0,74944.0,74944,74944,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,15648,15648.0,15648.0,15648,15648,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,13088,13088.0,13088.0,13088,13088,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,12704,12704.0,12704.0,12704,12704,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667514,667514,1,1,11168,11168.0,11168.0,11168,11168,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667514,667514,1,82,19202464,234176.4,242192.0,101984,310880,58304.0,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667514,667514,1,28,7003968,250141.7,255184.0,143296,260928,22706.7,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667514,667514,1,28,6203776,221563.4,229024.0,108256,230208,27523.7,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667514,667514,1,1,4696096,4696096.0,4696096.0,4696096,4696096,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667514,667514,1,28,1394912,49818.3,50176.0,44288,50752,1242.4,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
