Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
87.4,6862188288,1,6862188288.0,6862188288.0,6862188288,6862188288,0.0,:PHASE3B_INIT
2.5,196628256,1,196628256.0,196628256.0,196628256,196628256,0.0,:PHASE3B_WARMUP
2.3,180039776,28,6429992.0,158656.0,111008,72065920,15083296.9,TensorRT:ExecutionContext::enqueue
2.2,169636480,7,24233782.9,15528320.0,10387392,70912704,21548046.9,TensorRT:{ForeignNode[/Cast.../Add_111]}
0.9,73985056,1,73985056.0,73985056.0,73985056,73985056,0.0,:PHASE3B_STEADY_DECODE_STEP_0
0.8,60816832,1,60816832.0,60816832.0,60816832,60816832,0.0,:PHASE3B_STEADY_DECODE_STEP_1
0.7,56046368,1,56046368.0,56046368.0,56046368,56046368,0.0,:PHASE3B_STEADY_DECODE_STEP_3
0.7,51761376,7,7394482.3,117312.0,46304,51125568,19283633.9,myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul
0.5,42591040,1,42591040.0,42591040.0,42591040,42591040,0.0,:PHASE3B_STEADY_DECODE_STEP_2
0.5,42002944,1,42002944.0,42002944.0,42002944,42002944,0.0,:PHASE3B_STEADY_PREFILL_S8
0.3,22862464,280,81651.7,36592.0,26880,529120,76043.0,myelin-exec:__myl_FcAdd
0.1,9555584,112,85317.7,37104.0,28384,363968,87559.3,myelin-exec:__myl_FcNegExpAddDivMulMul
0.1,5083104,277,18350.6,16704.0,12992,38880,4601.4,myelin-exec:__myl_MulMeaAddSqrDivMulMul
0.0,3513184,224,15683.9,14400.0,11584,38080,3652.1,myelin-exec:__myl_MovResMulMea
0.0,3063104,168,18232.8,17440.0,12000,62816,6604.5,myelin-exec:__myl_ResMulMea
0.0,2669728,112,23836.9,23760.0,15968,45856,4984.7,myelin-exec:__myl_MovResConResRep
0.0,2568896,108,23786.1,23520.0,14720,58848,5584.8,myelin-exec:__myl_AddMulMeaAddSqrDivMulMul
0.0,2478432,112,22128.9,22176.0,14976,35264,4494.2,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,1887680,108,17478.5,16928.0,14752,28896,2332.5,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1608128,84,19144.4,18192.0,13824,55040,6042.8,myelin-exec:__myl_NegExpAddDivMulMul
