Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.9,3946372832,2372,1663732.2,640960.0,70784,13120832,1597859.8,cuModuleLoadData
29.5,2198526272,2388,920655.9,145808.0,22880,2696288,909736.8,cuModuleUnload
6.0,446758048,21,21274192.8,47552.0,1216,150682048,47789840.5,cudaMemcpyAsync
4.9,362580512,44,8240466.2,20688.0,6784,204079648,35595139.0,cudaMalloc
2.7,199311648,80,2491395.6,14736.0,1376,110359552,13165071.5,cudaFree
1.3,96653728,105,920511.7,8896.0,2240,10906848,2701050.2,cudaStreamSynchronize
0.8,58720992,1152,50973.1,48992.0,45088,533984,15347.8,cuMemcpyDtoH_v2
0.8,56252832,100,562528.3,16208.0,13216,50359616,5044892.4,cudaLaunchKernel
0.4,29321088,1492,19652.2,18112.0,12608,61312,5090.3,cuLaunchKernelEx
0.4,26352480,1756,15007.1,13504.0,8384,85440,7244.1,cuLaunchKernel
0.2,11380736,9570,1189.2,1056.0,864,28320,731.1,cudaEventCreateWithFlags
0.1,10045440,9570,1049.7,832.0,736,81856,1656.4,cudaEventDestroy
0.1,5867200,16,366700.0,431248.0,114272,634208,196796.3,cuModuleLoadFatBinary
0.0,1716160,608,2822.6,2560.0,1600,17696,1184.7,cuEventRecord
0.0,1666336,804,2072.6,2032.0,1024,10848,745.5,cuStreamWaitEvent
0.0,1145056,66,17349.3,704.0,320,116256,32804.3,cudaMemsetAsync
0.0,968608,52,18627.1,11744.0,4160,105024,18340.2,cudaStreamCreate
0.0,630144,52,12118.2,6320.0,4064,48032,14054.3,cudaStreamDestroy
0.0,559232,636,879.3,512.0,416,18240,1796.6,cuEventCreate
0.0,534880,42,12735.2,8880.0,4096,38752,10530.5,cuStreamCreate
0.0,341568,42,8132.6,6624.0,4896,17472,3884.1,cuStreamDestroy_v2
0.0,340064,636,534.7,352.0,320,11456,631.0,cuEventDestroy_v2
0.0,214432,30,7147.7,6928.0,4704,14624,2390.1,cudaStreamIsCapturing_v10000
0.0,184576,410,450.2,320.0,192,5536,362.3,cuGetProcAddress_v2
0.0,131584,56,2349.7,1728.0,1344,6112,1411.8,cuCtxSetCurrent
0.0,79552,6,13258.7,13056.0,12352,14720,924.3,cudaDeviceSynchronize
0.0,27392,30,913.1,816.0,480,3904,594.4,cuModuleGetLoadingMode
0.0,10208,1,10208.0,10208.0,10208,10208,0.0,cuInit
