Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.3,91800608,88,1043188.7,261376.0,238016,10119680,2681708.2,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
15.6,47114144,426,110596.6,91552.0,54144,149344,28403.0,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
14.4,43626656,505,86389.4,88256.0,53376,97248,7282.9,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
8.6,25936512,112,231576.0,231568.0,226016,236192,1820.3,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
8.4,25408480,104,244312.3,242064.0,232608,305664,12088.5,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
7.3,22231776,93,239051.4,239680.0,164544,265696,24239.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
1.9,5698048,112,50875.4,50880.0,49856,51840,511.0,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.2,3665824,112,32730.6,32832.0,30720,33856,754.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.1,3223328,16,201458.0,194224.0,170528,256128,33869.5,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
1.0,2899104,12,241592.0,243616.0,233856,247552,4984.4,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.9,2785376,81,34387.4,34912.0,31520,37984,1820.6,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.9,2615872,81,32294.7,32992.0,28128,36224,2085.4,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
0.8,2312736,9,256970.7,236256.0,233728,302048,32732.8,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
0.6,1867744,104,17959.1,17888.0,17728,18528,185.4,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
0.5,1404832,81,17343.6,17632.0,15232,19296,1038.8,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.5,1373376,84,16349.7,16336.0,15488,17088,325.5,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
0.4,1353728,108,12534.5,12544.0,10816,14208,658.1,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
0.4,1338368,81,16523.1,16640.0,13920,17856,971.4,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.4,1322368,78,16953.4,16848.0,16448,17856,389.2,__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0x14bacf080290e339db28d1223365390a_com_vec
0.4,1290848,108,11952.3,12144.0,10208,12960,564.6,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
0.4,1285760,81,15873.6,15264.0,13568,43488,3736.4,__myl_ResTraResSliRepRes_0xb5ca1ead775f2215fdc6b72339368a3f_com
0.4,1192928,108,11045.6,11328.0,9280,12480,735.8,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.3,1013344,81,12510.4,12544.0,10816,14016,745.8,__myl_ResMulMea_0x356824d54c2e1ab1f7825eefa1e6b632_com_vec
0.3,982720,81,12132.3,12160.0,9504,13984,607.6,__myl_ResMulMea_0x9a67bce87aa70b5a86539a0972d2e0f6_com_vec
0.3,816640,75,10888.5,10592.0,10336,11712,453.8,__myl_ResTra_0xc03916d7cfa55338996dbe92c4283d8c_com
0.2,589504,27,21833.5,21792.0,20128,24448,876.3,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.2,514656,27,19061.3,18240.0,16928,33856,3160.5,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com
0.1,350944,28,12533.7,12416.0,12128,14912,522.1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.1,218592,9,24288.0,24544.0,22944,25344,947.4,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.1,153664,6,25610.7,25472.0,24864,26496,568.7,_gemm_mha_v2_0x122877a3036390a4bf8dcfb1427b867b
0.0,139904,7,19986.3,20160.0,19072,20288,419.6,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,126176,3,42058.7,41920.0,40032,44224,2099.4,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
0.0,110208,8,13776.0,13872.0,12224,15040,1228.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
0.0,106496,8,13312.0,13200.0,12928,13856,365.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
0.0,102240,4,25560.0,25600.0,24960,26080,516.2,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
0.0,100672,8,12584.0,12544.0,12352,12960,180.8,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.0,94240,8,11780.0,11728.0,10336,12608,771.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
0.0,92576,8,11572.0,10768.0,10304,13824,1524.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
0.0,90080,4,22520.0,22384.0,21728,23584,885.8,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
0.0,89344,3,29781.3,29696.0,29312,30336,517.3,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.0,87456,6,14576.0,14720.0,11840,16224,1627.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2cc3c24a31f9b93e7da9ce04660164df_com_vec
0.0,84512,3,28170.7,28128.0,27168,29216,1024.7,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
0.0,79840,3,26613.3,26496.0,26272,27072,412.7,_gemm_mha_v2_0xc2d92b3cbb126a251b76d78c57684e17
0.0,79488,3,26496.0,26496.0,26432,26560,64.0,_gemm_mha_v2_0x122d493ce64aa00c197ae40baf03a637
0.0,79232,3,26410.7,26624.0,25952,26656,397.5,_gemm_mha_v2_0x1c8140cface6b993997d7cd4b7477616
0.0,79200,3,26400.0,26464.0,26080,26656,293.3,_gemm_mha_v2_0x69db25f8b455550858c08191df7c4023
0.0,79104,3,26368.0,26400.0,25952,26752,401.0,_gemm_mha_v2_0x582f9c30de38a93e722c6de99876bc60
0.0,79008,3,26336.0,26336.0,25920,26752,416.0,_gemm_mha_v2_0x2f61b06ce635a250b28ae8ee2ab3b5cb
0.0,79008,3,26336.0,26624.0,25600,26784,642.4,_gemm_mha_v2_0xab4761469dea155adca77ef52bd80a61
0.0,78976,3,26325.3,26208.0,25952,26816,443.8,_gemm_mha_v2_0x868207ee750ff7049028a80d32d17323
0.0,78976,3,26325.3,26176.0,26048,26752,375.0,_gemm_mha_v2_0xccf3a8474acc5fc16b0ad4e1c69800bb
0.0,78784,3,26261.3,26112.0,25824,26848,528.1,_gemm_mha_v2_0xf766752c8950edccd27d326ac8c5c5d0
0.0,78624,3,26208.0,26240.0,25760,26624,432.9,_gemm_mha_v2_0xf65d6b1571997bdfc737df09a44d72ad
0.0,78496,3,26165.3,26208.0,25888,26400,258.7,_gemm_mha_v2_0xf4c36af1b3c39fab3312671f178aa157
0.0,78464,3,26154.7,26432.0,25440,26592,624.1,_gemm_mha_v2_0xa7ca53b515adf180e9a745693ffd0464
0.0,78336,3,26112.0,25984.0,25824,26528,369.0,_gemm_mha_v2_0xe6bc19e69c82f8044e9874292acae825
0.0,78112,3,26037.3,26112.0,25600,26400,405.2,_gemm_mha_v2_0xe051501b8c48027b8c2c96139ee1b93f
0.0,77984,3,25994.7,26144.0,25184,26656,747.3,_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52
0.0,77888,3,25962.7,25792.0,25504,26592,563.7,_gemm_mha_v2_0x5365bc7530dd58ba06615d617f2617f3
0.0,77696,3,25898.7,25952.0,25536,26208,339.2,_gemm_mha_v2_0xee0414de60764f75e46b3b8d1e16fc19
0.0,77600,3,25866.7,25696.0,25664,26240,323.7,_gemm_mha_v2_0xeb55f16e4b7e71fdcdb973b60cd3db5e
0.0,75840,6,12640.0,11744.0,11584,14976,1511.5,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x06bdba4595fd33adf3c728cf049f0b03_com_vec
0.0,75552,3,25184.0,25216.0,25088,25248,84.7,_gemm_mha_v2_0x1f788b071d831d329684abd45c8719fb
0.0,75520,3,25173.3,25216.0,25088,25216,73.9,_gemm_mha_v2_0xbbc42f75034653fb101166ea3f96b8ac
0.0,75168,3,25056.0,25216.0,24704,25248,305.3,_gemm_mha_v2_0xb386849c29e984208fe41d8ff07d34fc
0.0,74464,6,12410.7,11792.0,11584,13920,1112.8,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x631eac58eb6694e001a0929b8bf99c28_com_vec
0.0,72896,6,12149.3,12240.0,11616,12512,315.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc1e4e1e5e4fa4b9df1194c070c461029_com_vec
0.0,71744,3,23914.7,24000.0,23520,24224,359.7,_gemm_mha_v2_0x60fab5add8bb246f4c8714685e81d651
0.0,71040,8,8880.0,8848.0,8672,9152,168.5,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
0.0,66688,3,22229.3,22368.0,21920,22400,268.4,__myl_MovMulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0xc7a30bf0a7462c13e72d54b03c27c3b2_com_vec
0.0,59424,4,14856.0,14896.0,14592,15040,192.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
0.0,55072,4,13768.0,13744.0,13472,14112,278.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
0.0,54720,4,13680.0,13824.0,13152,13920,355.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
0.0,54592,4,13648.0,13648.0,13280,14016,389.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
0.0,54592,4,13648.0,13712.0,13376,13792,189.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
0.0,54496,4,13624.0,13744.0,13120,13888,349.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
0.0,54432,4,13608.0,13744.0,13088,13856,350.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
0.0,54208,4,13552.0,13520.0,13216,13952,335.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
0.0,53984,4,13496.0,13520.0,13088,13856,385.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
0.0,53760,4,13440.0,13440.0,13056,13824,391.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
0.0,53120,4,13280.0,13312.0,12832,13664,345.6,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.0,52704,4,13176.0,13024.0,12960,13696,349.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
0.0,51104,4,12776.0,12576.0,12288,13664,607.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
0.0,50080,4,12520.0,12496.0,12384,12704,139.2,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.0,49408,3,16469.3,16480.0,15488,17440,976.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
0.0,46304,3,15434.7,15456.0,15392,15456,37.0,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
0.0,45760,3,15253.3,15392.0,14880,15488,326.9,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
0.0,45216,3,15072.0,14944.0,14656,15616,492.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa7a56a9ae5b9c92481e0f5772d53a4c2_com_vec
0.0,45184,3,15061.3,15072.0,14976,15136,80.5,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6db55c2885f6b73e7dbf474aec093db8_com_vec
0.0,45088,3,15029.3,14880.0,14304,15904,810.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x69b2836c7bea850742d274e0c94ca89a_com_vec
0.0,45056,3,15018.7,14976.0,14880,15200,164.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe663a90863e1c63edebb2571b115f54d_com_vec
0.0,44672,3,14890.7,14880.0,14848,14944,48.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe71ebe1a59b22d4bca83cb15f0059a7c_com_vec
0.0,44288,3,14762.7,13920.0,13760,16608,1600.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf1def207df08f4e6d789049433c3866b_com_vec
0.0,44288,3,14762.7,14784.0,14688,14816,66.6,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
0.0,43424,3,14474.7,14688.0,13696,15040,696.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xaa5ba99515f1ab5b5fe1bff8e1cdf965_com_vec
0.0,42720,3,14240.0,14080.0,14016,14624,334.1,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
0.0,42560,3,14186.7,14720.0,12832,15008,1182.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdb3307c818c43e652e527c56f123786c_com_vec
0.0,42304,4,10576.0,10400.0,10336,11168,396.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
0.0,41728,4,10432.0,10400.0,10368,10560,86.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
0.0,41696,3,13898.7,13760.0,13760,14176,240.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0f05f340665da317c2be64fa415c473a_com_vec
0.0,41664,4,10416.0,10336.0,10304,10688,183.8,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
0.0,41632,3,13877.3,14944.0,11680,15008,1903.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8a866b4697691e17e265b1490eb77602_com_vec
0.0,41536,4,10384.0,10384.0,10368,10400,18.5,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
0.0,41344,4,10336.0,10336.0,10304,10368,26.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
0.0,41344,4,10336.0,10336.0,10240,10432,82.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
0.0,41344,4,10336.0,10320.0,10304,10400,45.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
0.0,40992,3,13664.0,13056.0,12832,15104,1252.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb8020f747bc473120c074e71691b4a60_com_vec
0.0,40768,3,13589.3,14112.0,11776,14880,1616.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x7b2198561702574d86c9afed3e2e35ba_com_vec
0.0,39520,3,13173.3,13760.0,11968,13792,1044.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0ded10591a9065a1ce867a2c40e34ad5_com_vec
0.0,39168,3,13056.0,12832.0,11712,14624,1468.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x24a69f107a63616e3e844d5227fd6f6c_com_vec
0.0,38656,3,12885.3,11968.0,11744,14944,1786.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0f631e6ab9f0eda3ff940fe21a35a79e_com_vec
0.0,38592,3,12864.0,12864.0,12832,12896,32.0,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
0.0,38464,3,12821.3,12640.0,12096,13728,831.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2354092d3df3900c1fd6815a7ba9dac1_com_vec
0.0,38112,3,12704.0,11776.0,11712,14624,1663.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9c020f3e6c1f94e17da10163a8e4f733_com_vec
0.0,36768,3,12256.0,12256.0,11680,12832,576.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x39930415a2956c4b8d18ef510c0d5c8a_com_vec
0.0,36352,4,9088.0,8928.0,8736,9760,457.1,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
0.0,36192,4,9048.0,8944.0,8640,9664,500.8,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
0.0,36000,4,9000.0,8992.0,8704,9312,249.8,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
0.0,35936,4,8984.0,8816.0,8640,9664,461.0,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
0.0,35648,4,8912.0,8864.0,8736,9184,206.6,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
0.0,35616,4,8904.0,8736.0,8704,9440,357.7,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
0.0,35552,4,8888.0,8768.0,8672,9344,308.5,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
0.0,35520,3,11840.0,11776.0,11616,12128,261.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x55aaf8a4cec60956953a80afc5c7b2a6_com_vec
0.0,35456,3,11818.7,11616.0,11456,12384,496.1,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
0.0,35360,4,8840.0,8816.0,8800,8928,60.6,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
0.0,35296,4,8824.0,8768.0,8640,9120,220.7,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
0.0,35296,4,8824.0,8800.0,8672,9024,148.7,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
0.0,35264,4,8816.0,8704.0,8544,9312,340.2,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
