NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,10109344,10109344.0,10109344.0,10109344,10109344,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,106,8923104,84180.2,84800.0,53376,95360,8780.5,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,28,6463296,230832.0,231408.0,226016,234432,2090.7,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,26,6332640,243563.1,241504.0,232608,299200,11697.5,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,27,3769248,139601.8,139808.0,135872,142016,1691.3,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,28,1417952,50641.1,50576.0,49952,51648,469.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,28,911424,32550.9,32672.0,31104,33504,594.4,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,4,817824,204456.0,194656.0,172544,255968,35889.6,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,3,730080,243360.0,243968.0,241440,244672,1699.6,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,27,589504,21833.5,21792.0,20128,24448,876.3,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,27,514656,19061.3,18240.0,16928,33856,3160.5,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,26,467104,17965.5,17920.0,17728,18368,174.4,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,28,350944,12533.7,12416.0,12128,14912,522.1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,27,335360,12420.7,12640.0,10816,13952,795.3,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,27,323360,11976.3,12128.0,10656,12768,566.1,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,27,296256,10972.4,11264.0,9280,12448,793.6,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,29760,29760.0,29760.0,29760,29760,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,2,27456,13728.0,13728.0,12736,14720,1402.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,2,26272,13136.0,13136.0,12992,13280,203.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,25888,25888.0,25888.0,25888,25888,0.0,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,2,25280,12640.0,12640.0,12576,12704,90.5,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,22912,22912.0,22912.0,22912,22912,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,2,22752,11376.0,11376.0,10336,12416,1470.8,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,2,20640,10320.0,10320.0,10304,10336,22.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,19072,19072.0,19072.0,19072,19072,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,2,17920,8960.0,8960.0,8768,9152,271.5,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,17184,17184.0,17184.0,17184,17184,0.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,14592,14592.0,14592.0,14592,14592,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,14016,14016.0,14016.0,14016,14016,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13888,13888.0,13888.0,13888,13888,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13824,13824.0,13824.0,13824,13824,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13792,13792.0,13792.0,13792,13792,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13792,13792.0,13792.0,13792,13792,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13760,13760.0,13760.0,13760,13760,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13728,13728.0,13728.0,13728,13728,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13664,13664.0,13664.0,13664,13664,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13632,13632.0,13632.0,13632,13632,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13344,13344.0,13344.0,13344,13344,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13248,13248.0,13248.0,13248,13248,0.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,13056,13056.0,13056.0,13056,13056,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,12448,12448.0,12448.0,12448,12448,0.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
