Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
22.5,4886586272,1,4886586272.0,4886586272.0,4886586272,4886586272,0.0,:PHASE3B_WARMUP
13.2,2881659744,1,2881659744.0,2881659744.0,2881659744,2881659744,0.0,:PHASE3B_STEADY_DECODE_STEP_0
12.6,2745432544,1,2745432544.0,2745432544.0,2745432544,2745432544,0.0,:PHASE3B_STEADY_DECODE_STEP_1
12.6,2742902304,1,2742902304.0,2742902304.0,2742902304,2742902304,0.0,:PHASE3B_STEADY_DECODE_STEP_2
12.6,2735757088,1,2735757088.0,2735757088.0,2735757088,2735757088,0.0,:PHASE3B_STEADY_DECODE_STEP_3
11.9,2597748640,1,2597748640.0,2597748640.0,2597748640,2597748640,0.0,:PHASE3B_INIT
10.6,2310856640,1,2310856640.0,2310856640.0,2310856640,2310856640,0.0,:PHASE3B_STEADY_PREFILL_S8
1.4,297014208,28,10607650.3,208768.0,125280,86539104,20600438.9,TensorRT:ExecutionContext::enqueue
1.3,282379968,7,40339995.4,32979552.0,30771904,85014240,19738984.8,TensorRT:{ForeignNode[/Cast.../Add_111]}
0.4,81682272,567,144060.4,139872.0,122976,313952,16579.8,myelin-exec:__myl_FcCas
0.2,50855712,7,7265101.7,52160.0,50464,50461728,19047933.4,myelin-exec:/up_proj/MatMul
0.1,30696992,217,141460.8,135392.0,126176,210944,13486.6,myelin-exec:__myl_FcAdd
0.1,27246336,189,144160.5,137856.0,126368,296448,18242.7,myelin-exec:__myl_FcCasNegExpAddDivMulMul
0.1,25295808,175,144547.5,139232.0,131008,189376,12880.6,myelin-exec:__myl_FcCasAdd
0.0,6771648,384,17634.5,16624.0,12480,37248,3821.0,myelin-exec:__myl_ResMulMea
0.0,3843200,189,20334.4,19680.0,13760,45984,4163.5,myelin-exec:__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas
0.0,2225184,108,20603.6,18256.0,15520,51456,5766.0,myelin-exec:__myl_ResConResRep
0.0,1960960,108,18157.0,16576.0,14432,33152,3463.3,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1862240,100,18622.4,17696.0,12480,84704,6974.5,myelin-exec:__myl_MulMinMaxRouCas
0.0,1754016,84,20881.1,20512.0,14656,43936,4578.6,myelin-exec:__myl_ResTraResSliRepRes
0.0,1691296,112,15100.9,14080.0,13152,22912,2400.6,myelin-exec:__myl_MulMaxSubExpSumDivMul
