Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.4,1274530784,695,1833857.2,353120.0,72448,13294880,1830454.3,cuModuleLoadData
21.3,688008160,699,984274.9,191744.0,22368,3244224,989284.6,cuModuleUnload
13.9,450816064,21,21467431.6,55360.0,1504,150960800,48339125.5,cudaMemcpyAsync
11.3,366153440,16,22884590.0,69312.0,6240,206594112,57969523.7,cudaMalloc
5.9,192187232,29,6627145.9,14784.0,2208,101587360,19989773.7,cudaFree
3.8,121468000,59,2058779.7,11744.0,2464,23304288,4839443.4,cudaStreamSynchronize
1.7,54844864,100,548448.6,14880.0,11008,49910432,4996426.8,cudaLaunchKernel
0.8,27438944,1492,18390.7,16384.0,11136,73856,5939.5,cuLaunchKernelEx
0.7,24162144,1756,13759.8,12528.0,8000,92480,5994.5,cuLaunchKernel
0.5,17358976,329,52762.8,49600.0,46048,479264,24241.1,cuMemcpyDtoH_v2
0.1,4335712,2708,1601.1,992.0,896,500768,9700.7,cudaEventCreateWithFlags
0.1,2251168,2708,831.3,800.0,736,6560,214.9,cudaEventDestroy
0.1,1626176,804,2022.6,1824.0,992,52640,2294.5,cuStreamWaitEvent
0.0,1612032,19,84843.8,27360.0,5024,1110368,249064.4,cudaStreamCreate
0.0,1572384,608,2586.2,2336.0,1472,28224,1409.4,cuEventRecord
0.0,914592,4,228648.0,193680.0,121120,406112,124931.3,cuModuleLoadFatBinary
0.0,900768,20,45038.4,20208.0,352,132608,51166.6,cudaMemsetAsync
0.0,612704,30,20423.5,5840.0,3840,438272,78941.8,cudaStreamIsCapturing_v10000
0.0,235072,19,12372.2,8128.0,3456,47584,13154.7,cudaStreamDestroy
0.0,190400,9,21155.6,11040.0,4544,73248,22547.9,cuStreamCreate
0.0,176352,410,430.1,320.0,192,4480,333.1,cuGetProcAddress_v2
0.0,162272,6,27045.3,27232.0,21696,34080,4325.1,cudaDeviceSynchronize
0.0,139808,179,781.1,512.0,448,16608,1747.1,cuEventCreate
0.0,101824,9,11313.8,8288.0,4864,23872,6861.4,cuStreamDestroy_v2
0.0,101472,179,566.9,352.0,320,3776,546.9,cuEventDestroy_v2
0.0,34112,10,3411.2,2768.0,1536,6656,1663.7,cuCtxSetCurrent
0.0,9408,1,9408.0,9408.0,9408,9408,0.0,cuInit
0.0,8256,7,1179.4,992.0,704,2464,595.9,cuModuleGetLoadingMode
