Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.2,71660352,88,814322.2,256240.0,118048,10115232,2138904.1,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
16.0,36816320,426,86423.3,84176.0,26080,149600,34906.2,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
13.5,31061312,505,61507.5,49344.0,24736,99456,22979.0,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
8.1,18611968,112,166178.3,119792.0,104896,238048,56168.7,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
8.0,18507840,93,199009.0,236864.0,83168,266144,60753.0,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
7.7,17762464,104,170792.9,128400.0,109184,310048,61886.7,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
1.8,4206112,112,37554.6,27616.0,25056,52800,11884.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.1,2588704,112,23113.4,16224.0,13952,33664,8315.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.1,2431264,16,151954.0,159728.0,79744,262208,64442.6,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
0.9,2086656,12,173888.0,149408.0,111808,246848,64718.9,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.8,1909824,9,212202.7,235616.0,111232,301696,73407.5,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
0.8,1836992,81,22678.9,17696.0,15360,32960,7212.9,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.8,1751104,81,21618.6,17536.0,13984,31136,6315.3,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
0.6,1369216,104,13165.5,9776.0,8992,18624,4139.5,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
0.5,1153312,81,14238.4,16448.0,7712,19072,4271.2,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.5,1137216,81,14039.7,14624.0,7616,44960,5821.9,__myl_ResTraResSliRepRes_0xb5ca1ead775f2215fdc6b72339368a3f_com
0.5,1136256,78,14567.4,16672.0,9056,17824,3475.1,__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0x14bacf080290e339db28d1223365390a_com_vec
0.5,1125952,81,13900.6,15488.0,7936,17600,3585.6,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.4,986880,108,9137.8,7904.0,5280,14272,2745.1,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
0.4,953504,108,8828.7,7136.0,5408,12736,2496.9,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
0.4,932544,84,11101.7,8224.0,7328,17728,3992.8,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
0.4,908160,108,8408.9,6800.0,4384,12064,2534.3,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.4,864128,81,10668.2,12288.0,6048,13504,2623.7,__myl_ResMulMea_0x356824d54c2e1ab1f7825eefa1e6b632_com_vec
0.4,836512,81,10327.3,11776.0,6048,12832,2569.4,__myl_ResMulMea_0x9a67bce87aa70b5a86539a0972d2e0f6_com_vec
0.3,683552,75,9114.0,10528.0,4864,12256,2703.7,__myl_ResTra_0xc03916d7cfa55338996dbe92c4283d8c_com
0.3,593504,27,21981.6,17856.0,8064,48128,14333.0,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com
0.2,445216,27,16489.5,20256.0,9536,21664,5378.7,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.1,273632,28,9772.6,12128.0,5504,13056,3394.4,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.1,184480,9,20497.8,23872.0,12608,25120,5792.3,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.1,127776,6,21296.0,24992.0,12256,26944,6873.1,_gemm_mha_v2_0x122877a3036390a4bf8dcfb1427b867b
0.0,94432,7,13490.3,14400.0,6976,16896,3888.7,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,83616,8,10452.0,10512.0,6976,14048,2462.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
0.0,78240,3,26080.0,20064.0,18496,39680,11804.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
0.0,75328,8,9416.0,8576.0,6720,12608,2784.0,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.0,74816,3,24938.7,29472.0,15200,30144,8440.6,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.0,73792,8,9224.0,10416.0,5248,13920,2998.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
0.0,72352,6,12058.7,12432.0,8064,16320,3409.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2cc3c24a31f9b93e7da9ce04660164df_com_vec
0.0,72192,8,9024.0,8656.0,5312,13248,3055.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
0.0,71392,8,8924.0,7200.0,5696,14208,3255.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
0.0,71264,6,11877.3,12288.0,7840,15360,3122.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x06bdba4595fd33adf3c728cf049f0b03_com_vec
0.0,70592,6,11765.3,11712.0,8576,14976,2848.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x631eac58eb6694e001a0929b8bf99c28_com_vec
0.0,66944,3,22314.7,26272.0,13312,27360,7815.5,_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52
0.0,66688,3,22229.3,26272.0,13344,27072,7705.3,_gemm_mha_v2_0xc2d92b3cbb126a251b76d78c57684e17
0.0,66592,3,22197.3,26656.0,12928,27008,8029.4,_gemm_mha_v2_0x69db25f8b455550858c08191df7c4023
0.0,66528,3,22176.0,26368.0,13184,26976,7793.2,_gemm_mha_v2_0xeb55f16e4b7e71fdcdb973b60cd3db5e
0.0,66464,3,22154.7,26752.0,12832,26880,8073.9,_gemm_mha_v2_0xf4c36af1b3c39fab3312671f178aa157
0.0,66368,3,22122.7,26560.0,13184,26624,7741.2,_gemm_mha_v2_0xe6bc19e69c82f8044e9874292acae825
0.0,66080,4,16520.0,13808.0,13536,24928,5608.0,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
0.0,65792,3,21930.7,25824.0,13664,26304,7163.2,_gemm_mha_v2_0xf65d6b1571997bdfc737df09a44d72ad
0.0,65632,3,21877.3,26144.0,13024,26464,7668.9,_gemm_mha_v2_0x868207ee750ff7049028a80d32d17323
0.0,65600,3,21866.7,26080.0,13344,26176,7381.0,_gemm_mha_v2_0xa7ca53b515adf180e9a745693ffd0464
0.0,65536,3,21845.3,25824.0,13056,26656,7623.1,_gemm_mha_v2_0x2f61b06ce635a250b28ae8ee2ab3b5cb
0.0,65472,3,21824.0,25824.0,13152,26496,7517.7,_gemm_mha_v2_0x5365bc7530dd58ba06615d617f2617f3
0.0,65248,6,10874.7,11840.0,6272,15072,3203.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc1e4e1e5e4fa4b9df1194c070c461029_com_vec
0.0,65152,3,21717.3,25888.0,13152,26112,7418.6,_gemm_mha_v2_0x1c8140cface6b993997d7cd4b7477616
0.0,64928,3,21642.7,25664.0,13120,26144,7384.7,_gemm_mha_v2_0xf766752c8950edccd27d326ac8c5c5d0
0.0,64768,3,21589.3,25664.0,13184,25920,7280.4,_gemm_mha_v2_0xccf3a8474acc5fc16b0ad4e1c69800bb
0.0,64736,3,21578.7,25600.0,13152,25984,7300.2,_gemm_mha_v2_0xb386849c29e984208fe41d8ff07d34fc
