Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
87.1,6686201952,1,6686201952.0,6686201952.0,6686201952,6686201952,0.0,:PHASE3B_INIT
2.6,199306176,28,7118077.7,157696.0,98496,86475168,17994872.2,TensorRT:ExecutionContext::enqueue
2.4,187056928,7,26722418.3,13636736.0,10322816,84899008,27546754.1,TensorRT:{ForeignNode[/Cast.../Add_111]}
2.4,180977664,1,180977664.0,180977664.0,180977664,180977664,0.0,:PHASE3B_WARMUP
0.9,65848352,1,65848352.0,65848352.0,65848352,65848352,0.0,:PHASE3B_STEADY_DECODE_STEP_0
0.8,59359296,1,59359296.0,59359296.0,59359296,59359296,0.0,:PHASE3B_STEADY_DECODE_STEP_1
0.7,50269952,7,7181421.7,44832.0,26208,50024096,18891846.6,myelin-exec:/up_proj/MatMul
0.6,42714848,1,42714848.0,42714848.0,42714848,42714848,0.0,:PHASE3B_STEADY_DECODE_STEP_3
0.5,37678144,567,66451.8,30368.0,21952,628928,62703.2,myelin-exec:__myl_FcCas
0.5,37324320,1,37324320.0,37324320.0,37324320,37324320,0.0,:PHASE3B_STEADY_DECODE_STEP_2
0.4,33216608,1,33216608.0,33216608.0,33216608,33216608,0.0,:PHASE3B_STEADY_PREFILL_S8
0.2,13881024,217,63967.9,27936.0,21600,186240,59222.7,myelin-exec:__myl_FcAdd
0.2,12476320,189,66012.3,27520.0,21440,296352,62944.2,myelin-exec:__myl_FcCasNegExpAddDivMulMul
0.1,11454976,175,65457.0,28320.0,21664,187712,60489.4,myelin-exec:__myl_FcCasAdd
0.1,5766432,384,15016.8,13088.0,10240,52736,4311.4,myelin-exec:__myl_ResMulMea
0.0,3433888,189,18168.7,17216.0,11264,43104,4308.3,myelin-exec:__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas
0.0,2076640,108,19228.1,17728.0,12768,41024,5798.7,myelin-exec:__myl_ResConResRep
0.0,1951136,100,19511.4,17456.0,12480,79104,8427.8,myelin-exec:__myl_MulMinMaxRouCas
0.0,1907712,108,17664.0,17968.0,12544,27520,3022.7,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1742528,112,15558.3,14464.0,11936,23904,3082.0,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,1556512,104,14966.5,13456.0,11520,36640,3954.4,myelin-exec:__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas
0.0,1450880,84,17272.4,17072.0,11456,26304,2525.0,myelin-exec:_gemm_mha_v2
0.0,1418304,84,16884.6,16512.0,11328,31168,4633.4,myelin-exec:__myl_ResTraResSliRepRes
0.0,1412000,78,18102.6,17152.0,13056,30912,4605.1,myelin-exec:__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas
0.0,1366016,108,12648.3,11904.0,9664,31520,2821.9,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd
0.0,1305536,81,16117.7,15552.0,11840,23616,2923.8,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes
0.0,1029536,81,12710.3,11680.0,10016,22336,2759.4,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes
0.0,865120,75,11534.9,11008.0,9600,17312,1672.7,myelin-exec:__myl_ResTra
0.0,823328,7,117618.3,110880.0,87904,152512,25328.1,TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]}
0.0,822368,7,117481.1,110112.0,94208,148256,22447.5,TensorRT:{ForeignNode[/Cast.../Cast_1]}
0.0,786688,11,71517.1,76960.0,38560,99936,19566.7,myelin-exec:/MatMul
0.0,730368,7,104338.3,91424.0,78784,152096,28385.4,TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]}
0.0,400896,7,57270.9,36352.0,28576,163872,49136.8,myelin-exec:/up_proj_1/MatMul
0.0,325856,7,46550.9,40256.0,35456,62208,12111.9,myelin-exec:__myl_MovMulMeaAddSqrDivMulMulCas
0.0,318656,7,45522.3,33248.0,20128,99936,29946.4,myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul
0.0,316000,7,45142.9,38016.0,32992,73408,14871.1,myelin-exec:__myl_CasGat
0.0,296192,7,42313.1,36640.0,18112,101760,28207.0,myelin-exec:/up_proj_9/MatMul
0.0,290464,4,72616.0,64128.0,60896,101312,19210.6,myelin-exec:__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas
0.0,289024,7,41289.1,36608.0,19008,70592,20833.3,myelin-exec:/up_proj_24/MatMul
0.0,274976,7,39282.3,35776.0,18144,74944,17449.6,myelin-exec:/up_proj_8/MatMul
0.0,271584,7,38797.7,36288.0,22432,70304,15642.7,myelin-exec:/up_proj_2/MatMul
