Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.2,153661504,122,1259520.5,119616.0,77248,2778816,1239691.6,cuModuleLoadData
31.0,91131904,126,723269.1,59584.0,26944,1825792,769607.1,cuModuleUnload
12.4,36468064,14,2604861.7,16032.0,2784,23241248,6571653.5,cudaStreamSynchronize
1.2,3532256,195,18114.1,17856.0,12256,30176,3685.4,cuLaunchKernelEx
1.0,2959200,225,13152.0,11648.0,8448,76800,6925.2,cuLaunchKernel
1.0,2882848,56,51479.4,48512.0,45376,100448,8577.4,cuMemcpyDtoH_v2
0.4,1113792,852,1307.3,1184.0,960,22912,831.3,cudaEventCreateWithFlags
0.3,1029440,852,1208.3,960.0,736,101600,3609.8,cudaEventDestroy
0.2,607200,4,151800.0,129488.0,124320,223904,48182.8,cuModuleLoadFatBinary
0.1,163040,9,18115.6,18112.0,1856,72064,22054.2,cudaFree
0.0,94112,5,18822.4,17696.0,8896,32224,8407.2,cudaMalloc
0.0,80128,2,40064.0,40064.0,32832,47296,10227.6,cudaMemcpyAsync
0.0,78080,2,39040.0,39040.0,24448,53632,20636.2,cudaLaunchKernel
0.0,63616,4,15904.0,13056.0,11392,26112,6852.8,cudaStreamCreate
0.0,63136,4,15784.0,11600.0,8192,31744,10771.5,cuStreamCreate
0.0,61600,8,7700.0,656.0,384,57120,19969.9,cudaMemsetAsync
0.0,38464,4,9616.0,7408.0,5664,17984,5655.4,cudaStreamDestroy
0.0,37728,4,9432.0,7776.0,6080,16096,4538.5,cuStreamDestroy_v2
0.0,27488,4,6872.0,3872.0,3648,16096,6150.3,cuEventCreate
0.0,27392,4,6848.0,6816.0,4576,9184,1952.8,cudaStreamIsCapturing_v10000
0.0,18400,8,2300.0,1696.0,1344,6144,1607.2,cuCtxSetCurrent
0.0,10560,4,2640.0,2176.0,1600,4608,1343.9,cuEventDestroy_v2
0.0,3648,4,912.0,928.0,800,992,84.7,cuModuleGetLoadingMode
