Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.5,191821600,310,618779.4,85040.0,73888,3095520,1074668.3,cuModuleLoadData
31.9,112289920,310,362225.5,35712.0,27328,2257120,670924.7,cuModuleUnload
9.5,33495552,13,2576580.9,13728.0,2624,20867776,6225718.9,cudaStreamSynchronize
1.0,3543360,254,13950.2,12576.0,9216,99520,7657.5,cuLaunchKernel
0.8,2905824,56,51889.7,50240.0,45632,98656,7927.6,cuMemcpyDtoH_v2
0.5,1697568,86,19739.2,17024.0,13888,55424,7418.5,cudaLaunchKernel
0.4,1495232,1238,1207.8,1120.0,896,24000,748.5,cudaEventCreateWithFlags
0.4,1337504,1238,1080.4,864.0,736,29024,999.0,cudaEventDestroy
0.3,1114624,56,19904.0,19184.0,16800,26496,2428.3,cuLaunchKernelEx
0.2,696352,5,139270.4,20864.0,16416,603104,259398.7,cudaMalloc
0.2,566144,9,62904.9,18176.0,1792,432448,139643.5,cudaFree
0.1,323264,110,2938.8,2896.0,1952,9504,864.7,cuEventRecord
0.1,255392,110,2321.7,2240.0,1504,7552,615.5,cuStreamWaitEvent
0.0,85408,114,749.2,512.0,448,16064,1546.9,cuEventCreate
0.0,76896,5,15379.2,8160.0,6048,46528,17463.3,cudaStreamDestroy
0.0,71680,5,14336.0,9696.0,5536,36480,12530.2,cuStreamCreate
0.0,68224,5,13644.8,12544.0,5600,25248,7275.2,cudaStreamCreate
0.0,64960,8,8120.0,832.0,480,59040,20577.7,cudaMemsetAsync
0.0,56544,114,496.0,352.0,320,3808,460.2,cuEventDestroy_v2
0.0,52800,1,52800.0,52800.0,52800,52800,0.0,cudaMemcpyAsync
0.0,45120,5,9024.0,7648.0,5120,15712,4168.6,cuStreamDestroy_v2
0.0,28192,4,7048.0,6432.0,4896,10432,2487.6,cudaStreamIsCapturing_v10000
0.0,18656,8,2332.0,1888.0,1504,5792,1416.3,cuCtxSetCurrent
0.0,3040,4,760.0,768.0,608,896,120.8,cuModuleGetLoadingMode
