Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.2,547878624,281,1949746.0,2915200.0,74816,4001824,1561445.8,cuModuleLoadData
34.6,309725344,285,1086755.6,1709024.0,23424,2292960,901915.5,cuModuleUnload
1.7,15188160,14,1084868.6,8784.0,2784,10718432,2885968.4,cudaStreamSynchronize
0.9,8256128,165,50037.1,48768.0,45184,97568,5205.4,cuMemcpyDtoH_v2
0.5,4465664,250,17862.7,16832.0,12832,55936,4905.4,cuLaunchKernelEx
0.4,3567136,250,14268.5,12480.0,9376,80672,6694.2,cuLaunchKernel
0.2,1820160,4,455040.0,441824.0,413600,522912,47862.9,cuModuleLoadFatBinary
0.2,1683936,1410,1194.3,1120.0,896,28320,793.9,cudaEventCreateWithFlags
0.2,1499552,1410,1063.5,832.0,736,39872,1491.6,cudaEventDestroy
0.0,245088,86,2849.9,2400.0,1856,17696,1906.9,cuEventRecord
0.0,234208,114,2054.5,2016.0,1440,7392,600.3,cuStreamWaitEvent
0.0,135392,9,15043.6,15072.0,1856,50048,15592.9,cudaFree
0.0,98816,5,19763.2,19040.0,6784,35840,10424.7,cudaMalloc
0.0,79840,2,39920.0,39920.0,31776,48064,11517.4,cudaMemcpyAsync
0.0,77920,6,12986.7,6160.0,5088,48032,17179.5,cudaStreamDestroy
0.0,76800,90,853.3,544.0,448,16160,1766.6,cuEventCreate
0.0,73472,6,12245.3,9008.0,4096,33888,10937.2,cuStreamCreate
0.0,69856,6,11642.7,11200.0,4832,24896,7129.2,cudaStreamCreate
0.0,60928,1,60928.0,60928.0,60928,60928,0.0,cudaLaunchKernel
0.0,58304,8,7288.0,640.0,352,53728,18767.1,cudaMemsetAsync
0.0,47104,6,7850.7,6928.0,5184,15360,3784.2,cuStreamDestroy_v2
0.0,43168,90,479.6,352.0,320,3360,434.1,cuEventDestroy_v2
0.0,26784,4,6696.0,5952.0,5056,9824,2218.2,cudaStreamIsCapturing_v10000
0.0,18432,8,2304.0,1680.0,1472,5792,1475.6,cuCtxSetCurrent
0.0,3744,4,936.0,992.0,672,1088,189.1,cuModuleGetLoadingMode
