Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.2,549090400,416,1319928.8,104640.0,70976,3702624,1499145.2,cuModuleLoadData
34.9,312627936,416,751509.5,49104.0,26880,2288480,871512.1,cuModuleUnload
1.7,14970208,13,1151554.5,9600.0,2752,10697888,2983655.4,cudaStreamSynchronize
0.9,8355680,164,50949.3,48768.0,45280,103008,7065.9,cuMemcpyDtoH_v2
0.4,3606240,252,14310.5,12848.0,8608,78592,6768.5,cuLaunchKernel
0.4,3277952,164,19987.5,18352.0,15456,44064,4356.6,cuLaunchKernelEx
0.2,1513760,1310,1155.5,1056.0,896,23008,705.6,cudaEventCreateWithFlags
0.2,1449216,1310,1106.3,832.0,736,43232,1779.0,cudaEventDestroy
0.1,579872,32,18121.0,15216.0,13216,68064,10511.6,cudaLaunchKernel
0.0,234432,88,2664.0,2400.0,1728,9056,865.0,cuEventRecord
0.0,223936,116,1930.5,1920.0,1024,7264,673.6,cuStreamWaitEvent
0.0,133312,9,14812.4,14208.0,1376,49024,15366.3,cudaFree
0.0,104064,5,20812.8,21184.0,7136,36256,10447.8,cudaMalloc
0.0,78912,6,13152.0,6816.0,5344,47008,16601.2,cudaStreamDestroy
0.0,78112,6,13018.7,9712.0,5056,34848,11090.1,cuStreamCreate
0.0,76160,92,827.8,512.0,448,16096,1755.8,cuEventCreate
0.0,71072,6,11845.3,11296.0,4160,26080,7830.3,cudaStreamCreate
0.0,61024,8,7628.0,688.0,480,56128,19599.0,cudaMemsetAsync
0.0,52384,6,8730.7,7504.0,5120,17280,4426.6,cuStreamDestroy_v2
0.0,49856,1,49856.0,49856.0,49856,49856,0.0,cudaMemcpyAsync
0.0,49344,92,536.3,352.0,320,3584,461.2,cuEventDestroy_v2
0.0,27520,4,6880.0,6352.0,4704,10112,2461.4,cudaStreamIsCapturing_v10000
0.0,19072,8,2384.0,1808.0,1568,5856,1451.0,cuCtxSetCurrent
0.0,2976,4,744.0,752.0,640,832,88.1,cuModuleGetLoadingMode
