label,range,wall_ms,gpu_kernel_count,gpu_kernel_time_ms,gpu_busy_pct,gpu_idle_ms,cuda_api_calls,cuda_api_time_ms,cuda_api_pct,host_gap_proxy_ms,sync_calls,sync_time_ms,memcpy_api_calls,memcpy_api_time_ms,gpu_memop_calls,gpu_memop_time_ms,cuModuleLoadData_calls,cuModuleLoadData_ms,cuModuleUnload_calls,cuModuleUnload_ms
fp16_persistent,PHASE3B_STEADY_PREFILL_S8,38.567424,396,22.677568,58.7998,15.889856,626,21.160256,54.865619,15.889856,6,14.211968,1,0.074016,1,0.001408,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_0,72.192768,422,48.415392,67.064047,23.777376,436,31.982784,44.301922,23.777376,8,20.063744,2,0.104672,2,0.002016,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_1,68.297056,422,49.625984,72.661967,18.671072,434,45.17584,66.146102,18.671072,8,38.313504,2,0.097632,2,0.004032,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,69.668704,422,49.711104,71.353565,19.9576,434,44.50352,63.878783,19.9576,8,36.262048,2,0.10256,2,0.002976,0,0.0,0,0.0
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,70.607072,422,49.279648,69.79421,21.327424,434,43.552,61.682207,21.327424,8,34.958688,2,0.138336,2,0.002944,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,33.651328,448,20.975776,62.332684,12.675552,662,18.028736,53.57511,12.675552,6,10.844128,1,0.051872,1,0.00144,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,67.147072,501,36.16176,53.85456,30.985312,715,23.029312,34.296822,30.985312,8,10.284864,2,0.108768,2,0.002016,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,58.274784,501,42.863744,73.554531,15.41104,713,37.55392,64.44283,15.41104,8,29.157824,2,0.092512,2,0.004096,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,36.746592,501,21.190464,57.666474,15.556128,713,16.326688,44.430482,15.556128,8,8.011008,2,0.093248,2,0.001312,0,0.0,0,0.0
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,41.9808,501,26.638816,63.45476,15.341984,713,21.81072,51.954036,15.341984,8,13.246784,2,0.08304,2,0.00128,0,0.0,0,0.0
