label,category,count,time_ms,top_names,evidence
fp16_persistent,GEMM,929,202.919104,"['sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt', 'trt_ampere_h16816gemm_128x64_ldg8_nn_v1', 'sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused', 'sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused', 'trt_ampere_h16816gemm_256x64_ldg8_tn_v1', 'sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused', 'sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt', 'sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt', 'sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt', 'trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1']",NAME_BASED_GEMM_TACTIC
fp16_persistent,Attention,28,0.294816,['_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff'],NAME_BASED_MHA_GEMM_TACTIC_ONLY
fp16_persistent,RMSNorm,0,0.0,[],NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
fp16_persistent,RoPE,0,0.0,[],NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
fp16_persistent,Elementwise,1,0.004384,"['void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)']",NAME_BASED_TORCH_STYLE_KERNEL
fp16_persistent,Memory,9,0.013376,[],NSYS_CUDA_GPU_MEM_TIME_SUM
fp16_persistent,TensorRT internal,1126,16.491392,"['__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f', '__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a', '__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f', '__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99', '__myl_MovResMulMea_0x8729692710be644f17c7f997918851be', '__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f', '__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459', '__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4', '__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com', '__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com']",TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
fp16_persistent,Unknown,0,0.0,[],NO_SAFE_NAME_MAPPING
mixed_persistent,GEMM,1199,133.532448,"['trt_ampere_h16816gemm_128x64_ldg8_nn_v1', 'sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused', 'sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused', 'sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt', 'sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused', 'sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt', 'sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused', 'sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt', 'sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused', 'sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt']",NAME_BASED_GEMM_TACTIC
mixed_persistent,Attention,28,0.36656,"['_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff', '_gemm_mha_v2_0x122877a3036390a4bf8dcfb1427b867b', '_gemm_mha_v2_0xe6bc19e69c82f8044e9874292acae825', '_gemm_mha_v2_0xf766752c8950edccd27d326ac8c5c5d0', '_gemm_mha_v2_0xab4761469dea155adca77ef52bd80a61', '_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52', '_gemm_mha_v2_0x2f61b06ce635a250b28ae8ee2ab3b5cb', '_gemm_mha_v2_0xf65d6b1571997bdfc737df09a44d72ad', '_gemm_mha_v2_0xccf3a8474acc5fc16b0ad4e1c69800bb', '_gemm_mha_v2_0x868207ee750ff7049028a80d32d17323']",NAME_BASED_MHA_GEMM_TACTIC_ONLY
mixed_persistent,RMSNorm,0,0.0,[],NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,RoPE,0,0.0,[],NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,Elementwise,1,0.00416,"['void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)']",NAME_BASED_TORCH_STYLE_KERNEL
mixed_persistent,Memory,9,0.010144,[],NSYS_CUDA_GPU_MEM_TIME_SUM
mixed_persistent,TensorRT internal,1224,13.927392,"['__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f', '__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1', '__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5', '__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a', '__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656', '__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f', '__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4', '__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com', '__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com', '__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com']",TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
mixed_persistent,Unknown,0,0.0,[],NO_SAFE_NAME_MAPPING
