label,kernel_name,time_ms,category,evidence
fp16_persistent,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,77.583328,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,44.566752,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused,28.646528,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused,25.60752,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,trt_ampere_h16816gemm_256x64_ldg8_tn_v1,10.20368,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused,5.723264,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,5.524832,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,3.454912,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f,2.765344,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a,2.482304,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f,1.485952,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99,1.404992,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be,1.347104,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f,1.341824,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459,1.15392,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,1.060288,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4,1.016416,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com,0.566784,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1,0.548,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com,0.49312,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com,0.347168,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
