Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.4,563364000,14,40240285.7,807136.0,9632,295026784,94666515.9,cudaMalloc
24.4,561835040,21,26754049.5,44512.0,1216,209672576,63504462.2,cudaMemcpyAsync
18.0,414825504,430,964710.5,116448.0,73408,13105280,1451848.0,cuModuleLoadData
10.6,244249312,434,562786.4,43056.0,27392,3512384,892591.0,cuModuleUnload
10.0,231431584,27,8571540.1,6304.0,1728,107905504,23524681.6,cudaFree
9.2,213044928,59,3610931.0,14368.0,2752,30451616,7664802.7,cudaStreamSynchronize
1.1,25750240,1662,15493.5,13584.0,8256,90112,6306.4,cuLaunchKernel
1.0,21949152,948,23153.1,21472.0,12544,64480,6996.7,cuLaunchKernelEx
0.5,11111360,266,41772.0,15552.0,11456,6105184,373401.4,cudaLaunchKernel
0.3,6085216,112,54332.3,50048.0,46496,374528,30987.2,cuMemcpyDtoH_v2
0.2,3801984,2078,1829.6,992.0,896,479168,13204.8,cudaEventCreateWithFlags
0.1,1837376,2078,884.2,800.0,736,64832,1425.0,cudaEventDestroy
0.1,1194176,6,199029.3,14624.0,8128,1108992,445930.8,cuStreamCreate
0.0,967200,4,241800.0,210112.0,149888,397088,108803.6,cuModuleLoadFatBinary
0.0,926656,330,2808.0,2560.0,1632,45696,2456.8,cuEventRecord
0.0,920928,20,46046.4,20400.0,416,136672,54555.1,cudaMemsetAsync
0.0,710112,330,2151.9,2112.0,1472,8448,538.6,cuStreamWaitEvent
0.0,545600,16,34100.0,28416.0,7744,120992,26603.4,cudaStreamCreate
0.0,436096,30,14536.5,6432.0,4032,252864,45031.1,cudaStreamIsCapturing_v10000
0.0,199776,16,12486.0,9104.0,3776,43712,10999.2,cudaStreamDestroy
0.0,171552,410,418.4,320.0,192,4544,323.6,cuGetProcAddress_v2
0.0,165600,6,27600.0,28352.0,21856,30976,3738.6,cudaDeviceSynchronize
0.0,103200,115,897.4,512.0,448,15936,2087.9,cuEventCreate
0.0,97728,6,16288.0,16992.0,5952,26336,8102.1,cuStreamDestroy_v2
0.0,87456,115,760.5,416.0,384,6848,842.7,cuEventDestroy_v2
0.0,37056,10,3705.6,3392.0,1728,6304,1650.4,cuCtxSetCurrent
0.0,10080,7,1440.0,1088.0,672,3712,1032.6,cuModuleGetLoadingMode
0.0,9600,1,9600.0,9600.0,9600,9600,0.0,cuInit
