Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.0,77583328,328,236534.5,241808.0,163200,313120,56390.5,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
19.7,61132256,7,8733179.4,10110016.0,4696512,10116896,2226412.4,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
17.3,53603520,252,212712.4,236512.0,108320,303552,69841.4,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
9.3,28782656,168,171325.3,166400.0,80128,260096,58711.9,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
9.2,28646528,112,255772.6,256128.0,226400,264032,4226.9,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
8.2,25607520,112,228638.6,228752.0,216704,230336,1392.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
1.8,5524832,112,49328.9,49792.0,25856,51040,2419.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.1,3454912,112,30847.4,30896.0,14272,31776,1610.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.9,2765344,81,34140.0,34016.0,31488,36768,1452.4,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.8,2482304,84,29551.2,29504.0,27712,31680,1093.1,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
0.5,1532256,84,18241.1,21696.0,10112,22752,5499.6,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.5,1485952,108,13758.8,13728.0,13600,14240,90.9,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.5,1404992,112,12544.6,12544.0,5920,13984,749.2,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.4,1347104,112,12027.7,12016.0,7168,12832,524.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.4,1341824,84,15974.1,15936.0,15360,16928,243.8,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
0.4,1244384,81,15362.8,17760.0,8960,19040,4075.9,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.4,1153920,112,10302.9,10368.0,5472,10880,568.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.4,1100096,84,13096.4,15232.0,8224,16192,3334.5,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
0.3,1078560,84,12840.0,14944.0,7808,16224,3433.7,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
0.3,1060288,4,265072.0,302800.0,144064,310624,80767.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.3,1028864,84,12248.4,13888.0,7680,16576,3017.9,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
0.3,1016416,108,9411.3,9344.0,9216,10624,274.1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.3,985568,81,12167.5,13888.0,7552,15040,3011.4,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
0.3,970624,81,11983.0,13984.0,6912,15200,3437.1,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.3,846880,84,10081.9,11520.0,6080,12576,2615.3,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
0.3,813120,84,9680.0,11232.0,5536,12512,2484.3,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
0.2,566784,27,20992.0,20960.0,20128,21792,393.7,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.2,548000,4,137000.0,157392.0,74912,158304,41395.1,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
0.2,493120,28,17611.4,17696.0,10112,18912,1524.9,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
0.1,347168,28,12398.9,12544.0,7296,13408,1019.1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.0,120256,3,40085.3,39776.0,38080,42400,2176.5,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
0.0,105664,7,15094.9,15488.0,9216,18592,2914.9,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,72704,3,24234.7,28896.0,13920,29888,8946.5,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.0,69696,4,17424.0,19248.0,10656,20544,4553.2,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
0.0,68096,4,17024.0,18928.0,10880,19360,4108.6,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
0.0,37472,3,12490.7,14144.0,7744,15584,4173.3,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
0.0,31424,3,10474.7,11168.0,6528,13728,3649.7,__myl_MovMulMeaAddSqrDivMulMul_0x8c7c765d132892c540be4329124deccc_com_vec
0.0,26272,3,8757.3,8384.0,6144,11744,2818.6,__myl_RepIotIotRepCasAddCasEqlLtOrSel_0xeed00a2999d9a920ce4be4d44852c879_com
0.0,22496,3,7498.7,8928.0,4384,9184,2700.4,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,12480,1,12480.0,12480.0,12480,12480,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
