NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,82,19329760,235728.8,241440.0,163200,313120,57002.1,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,1,10112160,10112160.0,10112160.0,10112160,10112160,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,7133280,254760.0,255872.0,226400,261184,6438.4,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,6393280,228331.4,228848.0,216704,230176,2441.6,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,1332512,47589.7,48368.0,25856,50176,4364.8,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,852640,30451.4,30896.0,14272,31744,3191.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,27,566784,20992.0,20960.0,20128,21792,393.7,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,493120,17611.4,17696.0,10112,18912,1524.9,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,27,372608,13800.3,13792.0,13696,14240,113.5,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,347168,12398.9,12544.0,7296,13408,1019.1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,343968,12284.6,12576.0,5920,13760,1402.7,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,332032,11858.3,11920.0,7168,12832,960.4,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675599,675599,1,28,281792,10064.0,10112.0,5472,10720,947.6,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
