Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
87.1,7041904704,1,7041904704.0,7041904704.0,7041904704,7041904704,0.0,:PHASE3B_INIT
2.5,199092800,1,199092800.0,199092800.0,199092800,199092800,0.0,:PHASE3B_WARMUP
2.3,184893728,28,6603347.4,150944.0,110400,75085248,15674511.8,TensorRT:ExecutionContext::enqueue
2.1,173755264,7,24822180.6,16522432.0,9968576,73938848,22809806.0,TensorRT:{ForeignNode[/Cast.../Add_111]}
0.9,72192768,1,72192768.0,72192768.0,72192768,72192768,0.0,:PHASE3B_STEADY_DECODE_STEP_0
0.9,70607072,1,70607072.0,70607072.0,70607072,70607072,0.0,:PHASE3B_STEADY_DECODE_STEP_3
0.9,69668704,1,69668704.0,69668704.0,69668704,69668704,0.0,:PHASE3B_STEADY_DECODE_STEP_2
0.8,68297056,1,68297056.0,68297056.0,68297056,68297056,0.0,:PHASE3B_STEADY_DECODE_STEP_1
0.7,54949216,7,7849888.0,124640.0,41856,53823200,20273345.7,myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul
0.5,38567424,1,38567424.0,38567424.0,38567424,38567424,0.0,:PHASE3B_STEADY_PREFILL_S8
0.3,23199072,280,82853.8,36160.0,26464,847232,86810.3,myelin-exec:__myl_FcAdd
0.1,9992960,112,89222.9,40672.0,30880,321632,88551.4,myelin-exec:__myl_FcNegExpAddDivMulMul
0.1,5062208,277,18275.1,16384.0,12576,93152,6737.9,myelin-exec:__myl_MulMeaAddSqrDivMulMul
0.0,3713888,224,16579.9,15488.0,12256,35776,3533.3,myelin-exec:__myl_MovResMulMea
0.0,2793504,112,24942.0,25104.0,16928,50208,5927.3,myelin-exec:__myl_MovResConResRep
0.0,2777568,168,16533.1,15392.0,11840,43264,4084.5,myelin-exec:__myl_ResMulMea
0.0,2565408,108,23753.8,23888.0,15424,33696,4712.0,myelin-exec:__myl_AddMulMeaAddSqrDivMulMul
0.0,2470592,112,22058.9,22384.0,14368,42816,5287.2,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,2009984,108,18611.0,18336.0,15232,31840,2252.8,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1567712,108,14515.9,14400.0,12128,25088,1560.7,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd
0.0,1521920,81,18789.1,16864.0,13280,60320,6146.9,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes
0.0,1461632,84,17400.4,16272.0,13056,46240,4778.1,myelin-exec:__myl_ResTraResSliRepRes
0.0,1441760,84,17163.8,16368.0,13280,28064,2916.1,myelin-exec:__myl_NegExpAddDivMulMul
0.0,1166848,84,13891.0,12912.0,10720,35328,3981.9,myelin-exec:_gemm_mha_v2
0.0,1100544,81,13587.0,12896.0,10592,25120,2881.0,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes
0.0,1051616,7,150230.9,129344.0,111104,285920,61247.2,TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]}
0.0,984224,7,140603.4,116288.0,96160,314016,77119.7,TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]}
0.0,881920,11,80174.5,64288.0,54368,233824,51499.2,myelin-exec:/MatMul
0.0,847040,7,121005.7,120576.0,102976,137312,11213.1,TensorRT:{ForeignNode[/Cast.../Cast_1]}
0.0,528672,4,132168.0,92224.0,83424,260800,85866.5,myelin-exec:/o_proj/MatMul
0.0,449696,7,64242.3,67744.0,27424,109216,26111.8,myelin-exec:/up_proj/MatMul
0.0,400736,7,57248.0,45216.0,25408,113088,32198.8,myelin-exec:/up_proj_3/MatMul
0.0,400704,7,57243.4,56448.0,28320,90848,21126.4,myelin-exec:/up_proj_14/MatMul
0.0,393280,7,56182.9,64160.0,26528,91520,23617.3,myelin-exec:__myl_MovMulMeaAddSqrDivMulMul
0.0,392032,7,56004.6,51904.0,21152,94656,29190.3,myelin-exec:/up_proj_8/MatMul
0.0,390208,7,55744.0,68448.0,23264,79840,24052.6,myelin-exec:/v_proj_23/MatMul+/k_proj_23/MatMul+/q_proj_23/MatMul
0.0,382528,7,54646.9,56032.0,21440,85600,25048.2,myelin-exec:/v_proj_17/MatMul+/k_proj_17/MatMul+/q_proj_17/MatMul
0.0,378848,7,54121.1,57728.0,19904,85312,25238.7,myelin-exec:/v_proj_6/MatMul+/k_proj_6/MatMul+/q_proj_6/MatMul
0.0,378016,7,54002.3,52544.0,23872,85056,18510.8,myelin-exec:/v_proj_12/MatMul+/k_proj_12/MatMul+/q_proj_12/MatMul
0.0,375840,7,53691.4,56800.0,22112,93408,26963.8,myelin-exec:/up_proj_16/MatMul
0.0,374656,7,53522.3,54304.0,26304,74720,17954.2,myelin-exec:/up_proj_18/MatMul
0.0,373504,7,53357.7,53152.0,23264,88000,24828.6,myelin-exec:/up_proj_25/MatMul
0.0,367904,7,52557.7,51456.0,27904,90400,19133.6,myelin-exec:/up_proj_9/MatMul
0.0,366144,7,52306.3,56736.0,22848,81792,19419.5,myelin-exec:/up_proj_23/MatMul
0.0,364864,7,52123.4,48064.0,21984,117600,32268.0,myelin-exec:/up_proj_13/MatMul
0.0,363872,7,51981.7,56768.0,22784,73920,21572.2,myelin-exec:/up_proj_22/MatMul
0.0,363360,7,51908.6,50944.0,23104,82464,23145.9,myelin-exec:/v_proj_19/MatMul+/k_proj_19/MatMul+/q_proj_19/MatMul
0.0,360832,7,51547.4,48640.0,21600,95648,23060.6,myelin-exec:/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul
0.0,360736,7,51533.7,51648.0,27136,76640,18498.6,myelin-exec:/up_proj_26/MatMul
0.0,359200,7,51314.3,46464.0,21344,77472,21118.8,myelin-exec:/v_proj_11/MatMul+/k_proj_11/MatMul+/q_proj_11/MatMul
0.0,357760,7,51108.6,60128.0,23136,76928,20285.2,myelin-exec:/up_proj_17/MatMul
0.0,357056,7,51008.0,47424.0,22080,89600,23515.6,myelin-exec:/up_proj_11/MatMul
0.0,356512,7,50930.3,48608.0,20544,101952,26599.0,myelin-exec:/up_proj_4/MatMul
0.0,355392,7,50770.3,53408.0,30656,82176,17830.0,myelin-exec:/up_proj_12/MatMul
0.0,351552,7,50221.7,50912.0,24928,86304,21470.9,myelin-exec:/up_proj_15/MatMul
0.0,351552,7,50221.7,50336.0,20672,75456,18788.4,myelin-exec:/up_proj_6/MatMul
0.0,350176,7,50025.1,45664.0,24448,86272,20775.4,myelin-exec:/up_proj_21/MatMul
0.0,349536,7,49933.7,50528.0,42272,56416,4441.8,myelin-exec:__myl_MovMulMeaAddSqrDivMulMulCas
