Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.3,1283804768,695,1847201.1,347648.0,76288,13998496,1857535.6,cuModuleLoadData
21.5,703259808,699,1006094.1,193888.0,24000,2831168,1006451.8,cuModuleUnload
13.7,448972000,21,21379619.0,52992.0,1184,151307488,48047954.1,cudaMemcpyAsync
11.4,372891520,16,23305720.0,69104.0,7104,208974816,59029113.8,cudaMalloc
6.2,203289760,29,7009991.7,14496.0,2016,112745248,21919985.5,cudaFree
3.5,114714656,59,1944316.2,11808.0,2368,22099520,4578798.4,cudaStreamSynchronize
1.7,54444448,100,544444.5,16608.0,12576,49372288,4942600.7,cudaLaunchKernel
0.9,30361504,1492,20349.5,18560.0,11136,76864,6380.9,cuLaunchKernelEx
0.8,26436992,1756,15055.2,14128.0,8640,82944,6024.5,cuLaunchKernel
0.5,17829696,329,54193.6,51040.0,47232,500384,25205.2,cuMemcpyDtoH_v2
0.1,4284480,2708,1582.2,992.0,896,496160,9596.7,cudaEventCreateWithFlags
0.1,2257920,2708,833.8,800.0,736,7296,234.4,cudaEventDestroy
0.1,1669312,19,87858.5,26816.0,4736,1131232,253739.7,cudaStreamCreate
0.0,1633312,804,2031.5,1920.0,928,30560,1205.4,cuStreamWaitEvent
0.0,1618048,608,2661.3,2496.0,1568,9728,951.4,cuEventRecord
0.0,938048,20,46902.4,24208.0,416,152512,52808.4,cudaMemsetAsync
0.0,865248,4,216312.0,184912.0,112960,382464,117581.0,cuModuleLoadFatBinary
0.0,243424,19,12811.8,8512.0,4160,48832,13614.3,cudaStreamDestroy
0.0,212768,410,518.9,384.0,224,4672,339.8,cuGetProcAddress_v2
0.0,192768,9,21418.7,11168.0,4960,69376,21237.6,cuStreamCreate
0.0,176096,30,5869.9,5184.0,4160,10656,1692.2,cudaStreamIsCapturing_v10000
0.0,150784,6,25130.7,25328.0,21920,28448,2535.1,cudaDeviceSynchronize
0.0,141216,179,788.9,512.0,448,16896,1726.7,cuEventCreate
0.0,104512,179,583.9,384.0,320,3488,503.7,cuEventDestroy_v2
0.0,101920,9,11324.4,7904.0,4608,23712,7034.4,cuStreamDestroy_v2
0.0,35744,10,3574.4,2912.0,1888,6560,1736.3,cuCtxSetCurrent
0.0,10880,1,10880.0,10880.0,10880,10880,0.0,cuInit
0.0,9152,7,1307.4,960.0,800,3520,980.5,cuModuleGetLoadingMode
