Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.5,72717216,88,826332.0,258704.0,121088,10106112,2165413.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
15.7,36354528,426,85339.3,83792.0,25984,148352,35510.6,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
13.5,31153920,505,61690.9,53312.0,24640,98048,22836.8,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
8.0,18580768,112,165899.7,116912.0,106336,239392,57025.8,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
8.0,18503424,93,198961.5,235968.0,83904,266528,59883.9,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
7.8,17964064,104,172731.4,143552.0,110048,301056,62321.8,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
1.8,4237568,112,37835.4,27584.0,25856,52640,11973.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.1,2593856,112,23159.4,16336.0,14304,33888,8312.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.1,2437152,16,152322.0,150944.0,81792,259104,63088.6,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
0.9,2072032,12,172669.3,146288.0,112576,245408,64074.1,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.8,1914624,9,212736.0,234848.0,110880,301216,72835.8,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
0.8,1835296,81,22658.0,16992.0,15008,34528,7824.8,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
0.8,1745632,81,21551.0,16704.0,13664,32512,7097.9,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
0.6,1375008,104,13221.2,9712.0,8928,18560,4220.8,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
0.6,1283744,81,15848.7,15200.0,7584,46976,8950.3,__myl_ResTraResSliRepRes_0xb5ca1ead775f2215fdc6b72339368a3f_com
0.5,1137600,81,14044.4,16512.0,7840,17632,3624.6,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.5,1130784,78,14497.2,16640.0,9184,17760,3438.8,__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0x14bacf080290e339db28d1223365390a_com_vec
0.5,1130464,81,13956.3,15648.0,7680,18880,4024.0,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.4,983072,108,9102.5,7760.0,5280,13472,2629.9,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
0.4,962528,108,8912.3,7216.0,5408,13088,2526.0,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
0.4,935904,84,11141.7,8192.0,7360,16992,3972.0,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
0.4,912512,108,8449.2,6992.0,4320,12288,2556.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.4,843296,81,10411.1,11104.0,6432,14720,2522.4,__myl_ResMulMea_0x356824d54c2e1ab1f7825eefa1e6b632_com_vec
0.4,836768,81,10330.5,11840.0,6080,13248,2518.8,__myl_ResMulMea_0x9a67bce87aa70b5a86539a0972d2e0f6_com_vec
0.3,680928,75,9079.0,10464.0,4896,11744,2693.1,__myl_ResTra_0xc03916d7cfa55338996dbe92c4283d8c_com
0.2,574368,27,21272.9,16608.0,8000,49120,14435.3,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com
0.2,468672,27,17358.2,20608.0,9632,22112,5075.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.1,278560,28,9948.6,12080.0,5600,12224,3046.2,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.1,186912,9,20768.0,24640.0,12000,25984,6016.9,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.1,128960,6,21493.3,24832.0,12320,27072,6691.2,_gemm_mha_v2_0x122877a3036390a4bf8dcfb1427b867b
0.0,95520,7,13645.7,14944.0,6880,17312,4052.4,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,79072,8,9884.0,10480.0,6112,13920,2517.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
0.0,77888,3,25962.7,20224.0,18720,38944,11267.3,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
0.0,75872,8,9484.0,8720.0,6720,12736,2811.8,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.0,75744,8,9468.0,8752.0,6208,13888,3011.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
0.0,75616,8,9452.0,9552.0,6080,12640,2163.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
0.0,74304,3,24768.0,29728.0,14112,30464,9235.7,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.0,73824,8,9228.0,7808.0,5728,15136,3280.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
0.0,72128,6,12021.3,12512.0,8192,15520,3200.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2cc3c24a31f9b93e7da9ce04660164df_com_vec
0.0,71392,6,11898.7,12384.0,7968,15424,3138.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x06bdba4595fd33adf3c728cf049f0b03_com_vec
0.0,67424,3,22474.7,26208.0,13824,27392,7515.1,_gemm_mha_v2_0xe6bc19e69c82f8044e9874292acae825
0.0,67232,3,22410.7,26496.0,13344,27392,7864.7,_gemm_mha_v2_0xccf3a8474acc5fc16b0ad4e1c69800bb
0.0,66592,3,22197.3,26208.0,13504,26880,7536.1,_gemm_mha_v2_0x2f61b06ce635a250b28ae8ee2ab3b5cb
0.0,66496,3,22165.3,26240.0,13536,26720,7477.1,_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52
0.0,66368,3,22122.7,26336.0,13184,26848,7745.3,_gemm_mha_v2_0xc2d92b3cbb126a251b76d78c57684e17
0.0,66336,3,22112.0,26240.0,13568,26528,7400.7,_gemm_mha_v2_0xab4761469dea155adca77ef52bd80a61
0.0,66336,3,22112.0,26336.0,13120,26880,7792.0,_gemm_mha_v2_0xb386849c29e984208fe41d8ff07d34fc
0.0,66240,3,22080.0,26304.0,13152,26784,7735.6,_gemm_mha_v2_0xee0414de60764f75e46b3b8d1e16fc19
0.0,66208,3,22069.3,26400.0,13120,26688,7751.7,_gemm_mha_v2_0x1c8140cface6b993997d7cd4b7477616
0.0,66208,3,22069.3,26208.0,12992,27008,7871.4,_gemm_mha_v2_0xf4c36af1b3c39fab3312671f178aa157
0.0,66112,3,22037.3,26304.0,13056,26752,7781.3,_gemm_mha_v2_0x122d493ce64aa00c197ae40baf03a637
0.0,66016,3,22005.3,26304.0,13152,26560,7668.3,_gemm_mha_v2_0xeb55f16e4b7e71fdcdb973b60cd3db5e
0.0,66016,3,22005.3,26208.0,13376,26432,7474.1,_gemm_mha_v2_0xf65d6b1571997bdfc737df09a44d72ad
0.0,65952,3,21984.0,25856.0,13696,26400,7182.8,_gemm_mha_v2_0xf766752c8950edccd27d326ac8c5c5d0
0.0,65920,3,21973.3,26272.0,12992,26656,7780.4,_gemm_mha_v2_0x69db25f8b455550858c08191df7c4023
0.0,65664,3,21888.0,26048.0,13024,26592,7681.3,_gemm_mha_v2_0x5365bc7530dd58ba06615d617f2617f3
0.0,65632,3,21877.3,26112.0,13184,26336,7529.5,_gemm_mha_v2_0xe051501b8c48027b8c2c96139ee1b93f
