Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
87.8,7215997664,1,7215997664.0,7215997664.0,7215997664,7215997664,0.0,:PHASE3B_INIT
2.5,207550336,28,7412512.0,136688.0,99744,87933888,18393868.9,TensorRT:ExecutionContext::enqueue
2.4,195640896,7,27948699.4,15172704.0,11561472,86332672,27652080.4,TensorRT:{ForeignNode[/Cast.../Add_111]}
2.1,172736576,1,172736576.0,172736576.0,172736576,172736576,0.0,:PHASE3B_WARMUP
0.8,67147072,1,67147072.0,67147072.0,67147072,67147072,0.0,:PHASE3B_STEADY_DECODE_STEP_0
0.7,58274784,1,58274784.0,58274784.0,58274784,58274784,0.0,:PHASE3B_STEADY_DECODE_STEP_1
0.6,49748960,7,7106994.3,50272.0,27072,49474816,18682457.2,myelin-exec:/up_proj/MatMul
0.5,41980800,1,41980800.0,41980800.0,41980800,41980800,0.0,:PHASE3B_STEADY_DECODE_STEP_3
0.5,39029280,567,68834.7,32608.0,21888,341408,61577.7,myelin-exec:__myl_FcCas
0.4,36746592,1,36746592.0,36746592.0,36746592,36746592,0.0,:PHASE3B_STEADY_DECODE_STEP_2
0.4,33651328,1,33651328.0,33651328.0,33651328,33651328,0.0,:PHASE3B_STEADY_PREFILL_S8
0.2,14524928,217,66935.2,29504.0,21856,202240,60448.3,myelin-exec:__myl_FcAdd
0.2,13069696,189,69151.8,30752.0,23744,317120,64159.2,myelin-exec:__myl_FcCasNegExpAddDivMulMul
0.1,12111808,175,69210.3,31520.0,24032,198816,61408.9,myelin-exec:__myl_FcCasAdd
0.1,6403648,384,16676.2,14624.0,11232,50336,4976.1,myelin-exec:__myl_ResMulMea
0.0,3661664,189,19373.9,18048.0,12448,45056,4726.4,myelin-exec:__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas
0.0,2237184,100,22371.8,21040.0,13728,85792,9068.2,myelin-exec:__myl_MulMinMaxRouCas
0.0,2183168,108,20214.5,20064.0,14048,50752,6188.7,myelin-exec:__myl_ResConResRep
0.0,2042432,112,18236.0,18208.0,13280,23264,2656.6,myelin-exec:__myl_MulMaxSubExpSumDivMul
0.0,2028352,108,18781.0,19536.0,14080,27744,3100.5,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra
0.0,1635616,84,19471.6,19088.0,12672,45248,5933.2,myelin-exec:__myl_ResTraResSliRepRes
0.0,1607744,104,15459.1,13488.0,12320,24544,3718.6,myelin-exec:__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas
0.0,1585920,84,18880.0,18656.0,13280,29248,2960.0,myelin-exec:_gemm_mha_v2
0.0,1558560,78,19981.5,17472.0,14176,33600,5442.3,myelin-exec:__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas
0.0,1518496,81,18746.9,18272.0,12896,81856,7668.1,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes
0.0,1444704,108,13376.9,12336.0,10880,21120,2409.5,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd
0.0,1183488,81,14611.0,13280.0,11040,26688,3245.3,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes
0.0,941312,75,12550.8,11776.0,10368,19200,2012.4,myelin-exec:__myl_ResTra
0.0,805536,7,115076.6,113632.0,104768,137824,11828.0,TensorRT:{ForeignNode[/Cast.../Cast_1]}
0.0,786432,7,112347.4,111360.0,95456,129536,12737.8,TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]}
0.0,714464,11,64951.3,65504.0,41120,99072,15986.5,myelin-exec:/MatMul
0.0,705248,7,100749.7,93088.0,86624,127648,14960.5,TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]}
0.0,446208,7,63744.0,47104.0,33760,162624,45022.3,myelin-exec:/up_proj_1/MatMul
0.0,327040,7,46720.0,46496.0,35200,59712,9095.7,myelin-exec:__myl_MovMulMeaAddSqrDivMulMulCas
0.0,323968,7,46281.1,50112.0,21984,70912,16364.3,myelin-exec:/up_proj_27/MatMul
0.0,315776,7,45110.9,49760.0,22368,68896,16329.7,myelin-exec:/up_proj_4/MatMul
0.0,315296,7,45042.3,41984.0,21440,69888,15436.3,myelin-exec:/up_proj_7/MatMul
0.0,315200,7,45028.6,48608.0,25120,70624,14835.9,myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul
0.0,313856,7,44836.6,51424.0,20704,69216,17839.1,myelin-exec:/up_proj_11/MatMul
0.0,313024,7,44717.7,44992.0,37248,55552,7279.3,myelin-exec:__myl_CasGat
0.0,312064,7,44580.6,47072.0,22240,72160,16434.6,myelin-exec:/up_proj_18/MatMul
0.0,311840,7,44548.6,43680.0,20736,77408,17850.2,myelin-exec:/up_proj_17/MatMul
0.0,311616,7,44516.6,45024.0,21536,81280,19232.5,myelin-exec:/up_proj_8/MatMul
0.0,311456,7,44493.7,45728.0,21056,73184,18527.0,myelin-exec:/up_proj_24/MatMul
0.0,311360,7,44480.0,43520.0,26144,73568,14800.7,myelin-exec:/up_proj_2/MatMul
0.0,308992,7,44141.7,44704.0,21728,67552,16532.5,myelin-exec:/up_proj_23/MatMul
0.0,308192,7,44027.4,42016.0,24320,62912,12063.1,myelin-exec:/up_proj_3/MatMul
0.0,308032,7,44004.6,46240.0,20672,75936,18645.1,myelin-exec:/up_proj_21/MatMul
0.0,303168,7,43309.7,45536.0,20992,69888,16825.1,myelin-exec:/up_proj_15/MatMul
0.0,302368,7,43195.4,46432.0,21760,71168,16949.3,myelin-exec:/up_proj_26/MatMul
0.0,296384,7,42340.6,43008.0,21504,70624,17163.7,myelin-exec:/up_proj_22/MatMul
0.0,295072,7,42153.1,41408.0,19296,74784,17740.1,myelin-exec:/up_proj_13/MatMul
0.0,294016,7,42002.3,41792.0,21440,66816,16463.0,myelin-exec:/up_proj_20/MatMul
0.0,293408,7,41915.4,44768.0,21472,65248,14954.2,myelin-exec:/up_proj_16/MatMul
0.0,293408,7,41915.4,42240.0,21664,65312,13979.6,myelin-exec:/up_proj_5/MatMul
0.0,293120,7,41874.3,44544.0,20384,67808,15654.7,myelin-exec:/up_proj_12/MatMul
0.0,291968,7,41709.7,44672.0,20352,71520,17345.0,myelin-exec:/up_proj_14/MatMul
0.0,289472,7,41353.1,39808.0,20096,69728,17346.7,myelin-exec:/up_proj_25/MatMul
0.0,287584,7,41083.4,40672.0,21120,65568,15836.0,myelin-exec:/up_proj_19/MatMul
0.0,287264,14,20518.9,18272.0,15072,33952,5758.2,myelin-exec:__myl_MulMeaAddSqrDivMulMul
0.0,286656,7,40950.9,40128.0,20768,70784,15916.8,myelin-exec:/up_proj_9/MatMul
0.0,282048,7,40292.6,41152.0,21280,65920,14540.7,myelin-exec:/up_proj_6/MatMul
0.0,280672,7,40096.0,41856.0,21152,68512,15957.5,myelin-exec:/up_proj_10/MatMul
0.0,272128,4,68032.0,58080.0,43488,112480,31113.3,myelin-exec:/MatMul_12
0.0,257088,4,64272.0,37072.0,32448,150496,57535.2,myelin-exec:__myl_FcNegExpAddDivMulMul
0.0,251008,4,62752.0,56864.0,48224,89056,18587.3,myelin-exec:/MatMul_30
0.0,234368,4,58592.0,52272.0,46880,82944,16782.5,myelin-exec:__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas
0.0,221120,4,55280.0,51216.0,47584,71104,10689.7,myelin-exec:/MatMul_24
0.0,220704,4,55176.0,54032.0,44864,67776,10079.1,myelin-exec:/MatMul_31
0.0,219232,4,54808.0,56128.0,48384,58592,4468.1,myelin-exec:/MatMul_2
0.0,219200,4,54800.0,52000.0,46112,69088,10190.4,myelin-exec:/MatMul_44
0.0,218528,4,54632.0,53520.0,45408,66080,8633.8,myelin-exec:/MatMul_52
0.0,217952,4,54488.0,51584.0,46496,68288,9576.8,myelin-exec:/MatMul_22
0.0,214336,4,53584.0,51872.0,45824,64768,8847.2,myelin-exec:/MatMul_23
