Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.8,561211840,10,56121184.0,23760.0,1216,209672576,84453659.0,cudaMemcpyAsync
33.8,561014528,12,46751210.7,268336.0,9632,295026784,101328357.6,cudaMalloc
25.0,414825504,430,964710.5,116448.0,73408,13105280,1451848.0,cuModuleLoadData
6.5,107968960,15,7197930.7,5024.0,1728,107905504,27859911.1,cudaFree
0.4,6085216,112,54332.3,50048.0,46496,374528,30987.2,cuMemcpyDtoH_v2
0.2,3801984,2078,1829.6,992.0,896,479168,13204.8,cudaEventCreateWithFlags
0.1,1194176,6,199029.3,14624.0,8128,1108992,445930.8,cuStreamCreate
0.1,967200,4,241800.0,210112.0,149888,397088,108803.6,cuModuleLoadFatBinary
0.1,920928,20,46046.4,20400.0,416,136672,54555.1,cudaMemsetAsync
0.0,646912,20,32345.6,12656.0,2752,394848,85976.1,cudaStreamSynchronize
0.0,545600,16,34100.0,28416.0,7744,120992,26603.4,cudaStreamCreate
0.0,171552,410,418.4,320.0,192,4544,323.6,cuGetProcAddress_v2
0.0,103200,115,897.4,512.0,448,15936,2087.9,cuEventCreate
0.0,99360,10,9936.0,7744.0,3776,33088,8825.3,cudaStreamDestroy
0.0,19968,5,3993.6,3584.0,1728,6304,2104.4,cuCtxSetCurrent
0.0,9600,1,9600.0,9600.0,9600,9600,0.0,cuInit
0.0,6368,6,1061.3,1088.0,672,1472,274.1,cuModuleGetLoadingMode
