Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.9,69105280,10,6910528.0,628688.0,7968,30451616,10556080.8,cudaStreamSynchronize
10.3,9232384,172,53676.7,15552.0,11456,6105184,464351.7,cudaLaunchKernel
7.5,6734784,508,13257.4,11936.0,8256,57088,4943.7,cuLaunchKernel
2.4,2189792,112,19551.7,19952.0,12544,33760,3647.8,cuLaunchKernelEx
1.3,1134400,1,1134400.0,1134400.0,1134400,1134400,0.0,cudaMalloc
0.7,618464,220,2811.2,2528.0,1632,45696,2975.9,cuEventRecord
0.5,458528,220,2084.2,1968.0,1472,8448,572.9,cuStreamWaitEvent
0.3,300288,9,33365.3,5600.0,4032,252864,82328.6,cudaStreamIsCapturing_v10000
0.1,105984,2,52992.0,52992.0,44512,61472,11992.5,cudaMemcpyAsync
0.0,30976,1,30976.0,30976.0,30976,30976,0.0,cudaDeviceSynchronize
