Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.2,1283804768,695,1847201.1,347648.0,76288,13998496,1857535.6,cuModuleLoadData
20.0,448433856,10,44843385.6,105488.0,1184,151307488,62947639.1,cudaMemcpyAsync
16.5,370919296,14,26494235.4,55824.0,7104,208974816,62712938.8,cudaMalloc
5.0,112809920,15,7520661.3,4896.0,2016,112745248,29109505.2,cudaFree
0.8,17829696,329,54193.6,51040.0,47232,500384,25205.2,cuMemcpyDtoH_v2
0.2,4284480,2708,1582.2,992.0,896,496160,9596.7,cudaEventCreateWithFlags
0.1,1669312,19,87858.5,26816.0,4736,1131232,253739.7,cudaStreamCreate
0.0,938048,20,46902.4,24208.0,416,152512,52808.4,cudaMemsetAsync
0.0,865248,4,216312.0,184912.0,112960,382464,117581.0,cuModuleLoadFatBinary
0.0,663904,20,33195.2,7760.0,2368,434336,95030.9,cudaStreamSynchronize
0.0,212768,410,518.9,384.0,224,4672,339.8,cuGetProcAddress_v2
0.0,192768,9,21418.7,11168.0,4960,69376,21237.6,cuStreamCreate
0.0,141216,179,788.9,512.0,448,16896,1726.7,cuEventCreate
0.0,94912,10,9491.2,7264.0,4160,33312,8674.6,cudaStreamDestroy
0.0,19872,5,3974.4,3104.0,1888,6560,2294.5,cuCtxSetCurrent
0.0,10880,1,10880.0,10880.0,10880,10880,0.0,cuInit
0.0,5632,6,938.7,928.0,800,1088,106.5,cuModuleGetLoadingMode
