Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.9,53753600,64,839900.0,17648.0,12704,49372288,6175962.6,cudaLaunchKernel
37.5,42935584,10,4293558.4,515568.0,7232,22099520,7355193.6,cudaStreamSynchronize
7.0,8043168,504,15958.7,15248.0,8640,76000,6520.7,cuLaunchKernel
6.7,7715520,328,23522.9,22848.0,12544,57088,6786.7,cuLaunchKernelEx
0.8,895648,1,895648.0,895648.0,895648,895648,0.0,cudaMalloc
0.4,504256,176,2865.1,2720.0,1600,9696,1085.9,cuEventRecord
0.4,466848,232,2012.3,1856.0,1024,7968,821.7,cuStreamWaitEvent
0.1,108704,2,54352.0,54352.0,42592,66112,16631.2,cudaMemcpyAsync
0.1,58816,9,6535.1,5472.0,4512,10656,2156.3,cudaStreamIsCapturing_v10000
0.0,25600,1,25600.0,25600.0,25600,25600,0.0,cudaDeviceSynchronize
