Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.5,598664704,15,39910980.3,961920.0,7104,361324000,96548812.3,cudaMalloc
25.7,560315840,69,8120519.4,31904.0,1248,209707168,36442076.5,cudaMemcpyAsync
19.8,432503776,430,1005822.7,121792.0,74560,13267808,1439053.5,cuModuleLoadData
10.4,227373088,27,8421225.5,5984.0,2304,108648000,23566869.4,cudaFree
10.0,218458816,434,503361.3,42736.0,30240,2171104,756029.0,cuModuleUnload
2.4,51259072,9,5695452.4,69216.0,22080,46187488,15261370.3,cudaDeviceSynchronize
1.0,21279488,25,851179.5,10784.0,2624,20361728,4066669.7,cudaStreamSynchronize
0.8,17045760,105,162340.6,15584.0,5856,10916768,1119134.4,cudaLaunchKernel
0.5,10580832,128,82662.8,3264.0,2016,2251808,327848.1,cudaStreamCreateWithPriority
0.4,8255648,704,11726.8,11040.0,1088,838208,31961.5,cuLaunchKernel
0.3,6753696,446,15142.8,17680.0,1408,45696,10016.7,cuLaunchKernelEx
0.3,6516576,4,1629144.0,866096.0,115232,4669152,2140986.6,cudaGraphInstantiateWithFlags_v11040
0.3,5911296,112,52779.4,49648.0,47104,135776,10031.8,cuMemcpyDtoH_v2
0.2,3435072,2078,1653.1,992.0,896,491744,10840.7,cudaEventCreateWithFlags
0.1,1776864,4,444216.0,187664.0,145728,1255808,542096.6,cuModuleLoadFatBinary
0.1,1740736,2078,837.7,800.0,736,6432,233.4,cudaEventDestroy
0.1,1326144,16,82884.0,31264.0,8160,834432,201652.1,cudaStreamCreate
0.1,1194752,4,298688.0,48704.0,22432,1074912,517905.1,cudaGraphExecDestroy_v10000
0.0,942400,20,47120.0,17616.0,416,161440,58953.6,cudaMemsetAsync
0.0,815008,4,203752.0,54960.0,33120,671968,312615.4,cudaGraphLaunch_v10000
0.0,597856,110,5435.1,2672.0,1728,300672,28414.2,cuEventRecord
0.0,489888,4,122472.0,38272.0,34176,379168,171142.8,cudaStreamBeginCapture_v10000
0.0,416832,4,104208.0,25056.0,9344,357376,169407.9,cudaGraphDestroy_v10000
0.0,253152,410,617.4,512.0,352,5600,379.9,cuGetProcAddress_v2
0.0,240864,110,2189.7,2128.0,1472,8864,697.7,cuStreamWaitEvent
0.0,203072,16,12692.0,9728.0,3072,43104,11210.7,cudaStreamDestroy
0.0,167008,26,6423.4,5568.0,1408,15456,4476.2,cudaStreamIsCapturing_v10000
0.0,113600,6,18933.3,13536.0,5920,36576,13409.1,cuStreamCreate
0.0,104352,115,907.4,512.0,448,15968,2091.8,cuEventCreate
0.0,92192,6,15365.3,16752.0,6144,23680,6848.0,cuStreamDestroy_v2
0.0,68160,4,17040.0,8592.0,7360,43616,17727.2,cudaStreamEndCapture_v10000
0.0,67584,115,587.7,384.0,320,3744,582.1,cuEventDestroy_v2
0.0,47104,4,11776.0,5648.0,4672,31136,12921.2,cudaGraphGetNodes_v10000
0.0,34912,10,3491.2,2912.0,1472,6656,1749.2,cuCtxSetCurrent
0.0,22240,4,5560.0,5104.0,4704,7328,1193.7,cudaStreamGetCaptureInfo_v2_v11030
0.0,12544,1,12544.0,12544.0,12544,12544,0.0,cuInit
0.0,8352,7,1193.1,1088.0,768,2304,508.9,cuModuleGetLoadingMode
