Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.0,21689536,84,258208.8,237168.0,235072,302816,30732.9,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
19.1,11494784,56,205264.0,204624.0,162176,261024,38262.6,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
15.2,9130496,82,111347.5,112336.0,78112,147040,25915.3,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
7.8,4725120,1,4725120.0,4725120.0,4725120,4725120,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
5.5,3294048,28,117644.6,117728.0,115584,120096,1234.4,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
4.9,2967936,28,105997.7,105888.0,104672,107776,677.1,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
1.2,698528,28,24947.4,24976.0,23872,26016,546.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.0,615808,28,21993.1,21920.0,21440,22848,485.6,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.8,494944,27,18331.3,18528.0,17472,18880,464.2,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.7,428864,28,15316.6,15200.0,14912,16032,320.7,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
0.7,423488,28,15124.6,15040.0,14752,15872,296.4,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
0.7,401408,28,14336.0,14320.0,13888,14752,195.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.7,397120,28,14182.9,13968.0,13728,15456,458.5,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
0.6,387360,27,14346.7,14144.0,13760,15072,477.4,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.6,383584,27,14206.8,14080.0,13728,14944,422.9,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
0.6,331456,28,11837.7,12096.0,9920,12800,634.1,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
0.5,316512,28,11304.0,11248.0,11104,11744,153.5,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
0.5,276352,27,10235.3,10336.0,9504,10784,331.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.4,266816,28,9529.1,9408.0,9344,10272,254.1,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
0.3,201568,27,7465.5,7520.0,5568,8448,508.4,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.3,191360,28,6834.3,6752.0,5856,8000,369.0,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.3,182080,28,6502.9,6400.0,6240,7360,277.5,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.3,168672,28,6024.0,5920.0,5568,7424,357.4,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.3,157696,1,157696.0,157696.0,157696,157696,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.2,144576,28,5163.4,4992.0,4800,5632,331.2,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.2,136416,27,5052.4,5152.0,4448,5344,258.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.2,125664,16,7854.0,7536.0,6048,12096,1966.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::Array<char *, (int)1>>(int, T2, T3)"
0.1,75168,1,75168.0,75168.0,75168,75168,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
