Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3700364480,10729632,683,,,,,,,,,,311.165,28938.338,Device,,Orin (0),1,,13,[CUDA memset]
3711097856,10655584,684,,,,,,,,,,311.165,28938.338,Device,,Orin (0),1,,13,[CUDA memset]
3721762912,52564320,685,,,,,,,,,,311.165,5912.134,Pageable,Device,Orin (0),1,,13,[CUDA memcpy Host-to-Device]
4552337632,30088896,751,,,,,,,,,,880.933,29070.797,Device,,Orin (0),1,,17,[CUDA memset]
4582430496,30060544,752,,,,,,,,,,880.933,29070.797,Device,,Orin (0),1,,17,[CUDA memset]
4612502656,149041952,753,,,,,,,,,,880.933,5285.599,Pageable,Device,Orin (0),1,,17,[CUDA memcpy Host-to-Device]
4784544064,161376,2017,,,,,,,,,,4.793,29699.559,Device,,Orin (0),1,,19,[CUDA memset]
6004173984,8736,2868,,,,,,,,,,0.000,7.326,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6008320320,5280,2875,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6012061728,5952,2882,,,,,,,,,,0.000,10.753,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6015863616,5792,2889,,,,,,,,,,0.000,11.050,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6019587968,5184,2896,,,,,,,,,,0.000,12.346,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6023230368,5216,2903,,,,,,,,,,0.000,12.270,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6026968224,5248,2910,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6030636224,5248,2917,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6034472864,5312,2924,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6038138464,5280,2931,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6041866464,5280,2938,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6045517568,5312,2945,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6049190464,5312,2952,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
