Name,Projected Start (ns),Projected Duration (ns),Orig Start (ns),Orig Duration (ns),Style,PID,TID,NumGPUOps,Lvl,NumChild,RangeId,ParentId,RangeStack
myelin-exec:myelinGraphLoadPersistent,6004173984,207169568,5626224800,585438464,StartEnd,687017,687017,56,0,0,9,,:9
myelin-exec:myelinGraphLoadPersistent,9173917248,213208320,8674228576,713616608,StartEnd,687017,687017,56,0,0,13,,:13
TensorRT:ExecutionContext::enqueue,9785052160,15392,9784828576,501216,PushPop,687017,687017,1,0,1,23,,:23
TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]},9785052160,15392,9784951584,370816,PushPop,687017,687017,1,1,1,27,23,:23:27
myelin-exec:myelinGraphExecute ,9785052160,15392,9784995680,58880,StartEnd,687017,687017,1,2,1,33,27,:23:27:33
myelin-exec:__myl_CasGat,9785052160,15392,9785001696,51488,PushPop,687017,687017,1,3,0,35,33,:23:27:33:35
TensorRT:ExecutionContext::enqueue,9796060032,89367328,9794251456,70779456,PushPop,687017,687017,392,0,1,38,,:38
TensorRT:{ForeignNode[/Cast.../Add_111]},9796060032,89367328,9795212992,69769440,PushPop,687017,687017,392,1,1,42,38,:38:42
myelin-exec:myelinGraphExecute ,9796060032,89367328,9795405568,69298080,StartEnd,687017,687017,392,2,392,48,42,:38:42:48
myelin-exec:__myl_RepIotIotRepCasAddCasEqlLtOrSel,9796060032,8384,9795410880,57376,PushPop,687017,687017,1,3,0,50,48,:38:42:48:50
myelin-exec:__myl_MovMulMeaAddSqrDivMulMul,9796072256,11200,9795469792,27520,PushPop,687017,687017,1,3,0,51,48,:38:42:48:51
myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul,9845982688,301312,9795498976,50038784,PushPop,687017,687017,1,3,0,52,48,:38:42:48:52
myelin-exec:__myl_ResTraResSliRepRes,9846287712,15584,9845548832,35488,PushPop,687017,687017,1,3,0,53,48,:38:42:48:53
myelin-exec:__myl_ResMulMea,9846307040,11392,9845586176,18848,PushPop,687017,687017,1,3,0,54,48,:38:42:48:54
myelin-exec:__myl_ResMulMea,9846321952,9920,9845606912,17984,PushPop,687017,687017,1,3,0,55,48,:38:42:48:55
myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc,9846335616,28544,9845626304,38016,PushPop,687017,687017,1,3,0,56,48,:38:42:48:56
myelin-exec:_gemm_mha_v2,9846367840,22848,9845666048,17888,PushPop,687017,687017,1,3,0,57,48,:38:42:48:57
myelin-exec:__myl_FcAdd,9846394496,163840,9845685824,325920,PushPop,687017,687017,1,3,0,58,48,:38:42:48:58
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9846563936,13824,9846014432,22080,PushPop,687017,687017,1,3,0,59,48,:38:42:48:59
myelin-exec:/gate_proj/MatMul,9846581728,236736,9846346400,120448,PushPop,687017,687017,1,3,0,61,48,:38:42:48:61
myelin-exec:/up_proj/MatMul,9846827456,239392,9846483424,53920,PushPop,687017,687017,1,3,0,63,48,:38:42:48:63
myelin-exec:__myl_NegExpAddDivMulMul,9847073600,15264,9846549984,24128,PushPop,687017,687017,1,3,0,66,48,:38:42:48:66
myelin-exec:__myl_FcAdd,9847092864,233184,9846575744,172032,PushPop,687017,687017,1,3,0,67,48,:38:42:48:67
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9847334272,14944,9846750496,21600,PushPop,687017,687017,1,3,0,68,48,:38:42:48:68
myelin-exec:/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul,9847357376,299296,9846773984,41952,PushPop,687017,687017,1,3,0,69,48,:38:42:48:69
myelin-exec:__myl_ResTraResSliRepRes,9847660832,14976,9846823456,15616,PushPop,687017,687017,1,3,0,71,48,:38:42:48:71
myelin-exec:__myl_ResMulMea,9847683680,11264,9846844736,30336,PushPop,687017,687017,1,3,0,73,48,:38:42:48:73
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,9847701728,18560,9846876608,20992,PushPop,687017,687017,1,3,0,74,48,:38:42:48:74
myelin-exec:__myl_ResMulMea,9847727040,12256,9846903552,13824,PushPop,687017,687017,1,3,0,76,48,:38:42:48:76
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,9847744800,14048,9846918464,15488,PushPop,687017,687017,1,3,0,77,48,:38:42:48:77
myelin-exec:_gemm_mha_v2,9847764192,21600,9846939296,12800,PushPop,687017,687017,1,3,0,79,48,:38:42:48:79
myelin-exec:__myl_FcAdd,9847792608,163168,9846953568,179712,PushPop,687017,687017,1,3,0,80,48,:38:42:48:80
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9847959808,14016,9847135936,19968,PushPop,687017,687017,1,3,0,81,48,:38:42:48:81
myelin-exec:/gate_proj_1/MatMul,9847979392,235360,9847163808,48512,PushPop,687017,687017,1,3,0,83,48,:38:42:48:83
myelin-exec:/up_proj_1/MatMul,9848225920,237056,9847219712,37056,PushPop,687017,687017,1,3,0,85,48,:38:42:48:85
myelin-exec:__myl_NegExpAddDivMulMul,9848467840,15264,9847267584,14432,PushPop,687017,687017,1,3,0,88,48,:38:42:48:88
myelin-exec:__myl_FcAdd,9848487456,231904,9847283264,196352,PushPop,687017,687017,1,3,0,89,48,:38:42:48:89
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9848723360,13824,9847481888,16672,PushPop,687017,687017,1,3,0,90,48,:38:42:48:90
myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul,9848741152,301440,9847500256,44064,PushPop,687017,687017,1,3,0,91,48,:38:42:48:91
myelin-exec:__myl_ResTraResSliRepRes,9849050816,14912,9847552512,14048,PushPop,687017,687017,1,3,0,93,48,:38:42:48:93
myelin-exec:__myl_ResMulMea,9849073856,11264,9847572448,14400,PushPop,687017,687017,1,3,0,95,48,:38:42:48:95
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,9849091840,18688,9847588320,20832,PushPop,687017,687017,1,3,0,96,48,:38:42:48:96
myelin-exec:__myl_ResMulMea,9849117248,12192,9847615392,12864,PushPop,687017,687017,1,3,0,98,48,:38:42:48:98
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,9849135264,15072,9847629632,11072,PushPop,687017,687017,1,3,0,99,48,:38:42:48:99
myelin-exec:_gemm_mha_v2,9849155520,22464,9847645440,11232,PushPop,687017,687017,1,3,0,101,48,:38:42:48:101
myelin-exec:__myl_FcAdd,9849183680,162496,9847658304,172896,PushPop,687017,687017,1,3,0,102,48,:38:42:48:102
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9849353152,14816,9847833504,15808,PushPop,687017,687017,1,3,0,103,48,:38:42:48:103
myelin-exec:/gate_proj_2/MatMul,9849376128,235072,9847856768,41216,PushPop,687017,687017,1,3,0,105,48,:38:42:48:105
myelin-exec:/up_proj_2/MatMul,9849621632,237376,9847905568,41216,PushPop,687017,687017,1,3,0,107,48,:38:42:48:107
myelin-exec:__myl_NegExpAddDivMulMul,9849863168,15200,9847958720,14848,PushPop,687017,687017,1,3,0,110,48,:38:42:48:110
myelin-exec:__myl_FcAdd,9849882368,230944,9847974944,179808,PushPop,687017,687017,1,3,0,111,48,:38:42:48:111
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9850117632,14624,9848157216,16224,PushPop,687017,687017,1,3,0,112,48,:38:42:48:112
myelin-exec:/v_proj_3/MatMul+/k_proj_3/MatMul+/q_proj_3/MatMul,9850136256,301632,9848175360,41152,PushPop,687017,687017,1,3,0,113,48,:38:42:48:113
myelin-exec:__myl_ResTraResSliRepRes,9850442144,14976,9848224256,15648,PushPop,687017,687017,1,3,0,115,48,:38:42:48:115
myelin-exec:__myl_ResMulMea,9850465184,11232,9848245440,15936,PushPop,687017,687017,1,3,0,117,48,:38:42:48:117
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,9850483488,18048,9848262784,21728,PushPop,687017,687017,1,3,0,118,48,:38:42:48:118
myelin-exec:__myl_ResMulMea,9850509280,12288,9848290752,13728,PushPop,687017,687017,1,3,0,120,48,:38:42:48:120
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,9850527360,13888,9848306176,11168,PushPop,687017,687017,1,3,0,121,48,:38:42:48:121
myelin-exec:_gemm_mha_v2,9850546592,22272,9848321952,11712,PushPop,687017,687017,1,3,0,123,48,:38:42:48:123
myelin-exec:__myl_FcAdd,9850576032,163264,9848335008,164480,PushPop,687017,687017,1,3,0,124,48,:38:42:48:124
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9850744928,14496,9848501824,14688,PushPop,687017,687017,1,3,0,125,48,:38:42:48:125
myelin-exec:/gate_proj_3/MatMul,9850763584,236800,9848524256,42048,PushPop,687017,687017,1,3,0,127,48,:38:42:48:127
myelin-exec:/up_proj_3/MatMul,9851010816,239328,9848573120,38624,PushPop,687017,687017,1,3,0,129,48,:38:42:48:129
myelin-exec:__myl_NegExpAddDivMulMul,9851258272,15200,9848622368,14080,PushPop,687017,687017,1,3,0,132,48,:38:42:48:132
myelin-exec:__myl_FcAdd,9851277504,234912,9848638272,162304,PushPop,687017,687017,1,3,0,133,48,:38:42:48:133
myelin-exec:__myl_MulMeaAddSqrDivMulMul,9851519808,13920,9848803136,18176,PushPop,687017,687017,1,3,0,134,48,:38:42:48:134
myelin-exec:/v_proj_4/MatMul+/k_proj_4/MatMul+/q_proj_4/MatMul,9851537760,301824,9848823488,43648,PushPop,687017,687017,1,3,0,135,48,:38:42:48:135
myelin-exec:__myl_ResTraResSliRepRes,9851843584,15264,9848874240,14624,PushPop,687017,687017,1,3,0,137,48,:38:42:48:137
myelin-exec:__myl_ResMulMea,9851867040,11168,9848894272,13344,PushPop,687017,687017,1,3,0,139,48,:38:42:48:139
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,9851884928,18720,9848909120,13184,PushPop,687017,687017,1,3,0,140,48,:38:42:48:140
myelin-exec:__myl_ResMulMea,9851910496,12320,9848927360,12352,PushPop,687017,687017,1,3,0,142,48,:38:42:48:142
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,9851928576,15008,9848940736,11584,PushPop,687017,687017,1,3,0,143,48,:38:42:48:143
myelin-exec:_gemm_mha_v2,9851948704,21920,9848956352,11072,PushPop,687017,687017,1,3,0,145,48,:38:42:48:145
myelin-exec:__myl_FcAdd,9851977376,163968,9848968768,153184,PushPop,687017,687017,1,3,0,146,48,:38:42:48:146
